EHLPAIKB_00001	K02204
EHLPAIKB_00002	K03469
EHLPAIKB_00004	K03790
EHLPAIKB_00005	K17732
EHLPAIKB_00006	K01733
EHLPAIKB_00007	K14998
EHLPAIKB_00009	K02262
EHLPAIKB_00010	K02258
EHLPAIKB_00012	K02257
EHLPAIKB_00013	K02256
EHLPAIKB_00014	K01356
EHLPAIKB_00015	K03750
EHLPAIKB_00016	K03637
EHLPAIKB_00017	K01609
EHLPAIKB_00018	K00766
EHLPAIKB_00019	K01658
EHLPAIKB_00020	K01657
EHLPAIKB_00021	K03046
EHLPAIKB_00022	K02950
EHLPAIKB_00023	K02992
EHLPAIKB_00024	K02355
EHLPAIKB_00025	K02946
EHLPAIKB_00026	K02906
EHLPAIKB_00027	K02926
EHLPAIKB_00028	K02892
EHLPAIKB_00029	K02886
EHLPAIKB_00030	K02965
EHLPAIKB_00031	K02890
EHLPAIKB_00032	K02982
EHLPAIKB_00033	K02878
EHLPAIKB_00034	K02904
EHLPAIKB_00035	K02961
EHLPAIKB_00036	K02874
EHLPAIKB_00037	K02895
EHLPAIKB_00038	K02931
EHLPAIKB_00039	K02954
EHLPAIKB_00040	K02994
EHLPAIKB_00041	K02933
EHLPAIKB_00042	K02881
EHLPAIKB_00044	K01652
EHLPAIKB_00045	K07749
EHLPAIKB_00046	K00289
EHLPAIKB_00047	K01938
EHLPAIKB_00048	K00335
EHLPAIKB_00049	K00123
EHLPAIKB_00050	K00077
EHLPAIKB_00051	K03742
EHLPAIKB_00053	K00108
EHLPAIKB_00054	K03631
EHLPAIKB_00055	K05807
EHLPAIKB_00056	K02535
EHLPAIKB_00058	K02049
EHLPAIKB_00062	K01159
EHLPAIKB_00063	K03550
EHLPAIKB_00064	K03551
EHLPAIKB_00065	K03562
EHLPAIKB_00066	K03560
EHLPAIKB_00068	K03641
EHLPAIKB_00069	K03640
EHLPAIKB_00070	K04075
EHLPAIKB_00071	K03798
EHLPAIKB_00072	K03431
EHLPAIKB_00075	K00058
EHLPAIKB_00076	K01939
EHLPAIKB_00078	K03089
EHLPAIKB_00079	K06180
EHLPAIKB_00083	K01082
EHLPAIKB_00085	K02483
EHLPAIKB_00086	K09767
EHLPAIKB_00087	K00566
EHLPAIKB_00089	K08223
EHLPAIKB_00090	K18702
EHLPAIKB_00091	K01644
EHLPAIKB_00094	K02049
EHLPAIKB_00096	K17744
EHLPAIKB_00097	K02518
EHLPAIKB_00098	K03704
EHLPAIKB_00099	K03704
EHLPAIKB_00101	K18204
EHLPAIKB_00103	K07006
EHLPAIKB_00106	K07090
EHLPAIKB_00109	K06861
EHLPAIKB_00110	K01996
EHLPAIKB_00111	K01997
EHLPAIKB_00112	K01998
EHLPAIKB_00113	K00931
EHLPAIKB_00114	K00147
EHLPAIKB_00115	K00969
EHLPAIKB_00116	K09710
EHLPAIKB_00117	K00783
EHLPAIKB_00118	K03797
EHLPAIKB_00119	K08311
EHLPAIKB_00121	K02112
EHLPAIKB_00122	K02115
EHLPAIKB_00123	K02111
EHLPAIKB_00125	K04066
EHLPAIKB_00126	K00616
EHLPAIKB_00127	K03733
EHLPAIKB_00128	K01902
EHLPAIKB_00129	K01903
EHLPAIKB_00130	K00024
EHLPAIKB_00131	K18798
EHLPAIKB_00142	K09861
EHLPAIKB_00143	K09815
EHLPAIKB_00144	K09823
EHLPAIKB_00145	K09817
EHLPAIKB_00146	K09816
EHLPAIKB_00147	K07043
EHLPAIKB_00148	K03654
EHLPAIKB_00153	K01992
EHLPAIKB_00154	K01990
EHLPAIKB_00157	K01869
EHLPAIKB_00160	K03497
EHLPAIKB_00161	K03496
EHLPAIKB_00162	K03501
EHLPAIKB_00163	K03495
EHLPAIKB_00164	K03650
EHLPAIKB_00165	K06888
EHLPAIKB_00166	K00344
EHLPAIKB_00167	K03628
