CAOHCFIM_00002	K13038
CAOHCFIM_00005	K01714
CAOHCFIM_00008	K01081
CAOHCFIM_00010	K02837
CAOHCFIM_00013	K03046
CAOHCFIM_00014	K01990
CAOHCFIM_00020	K05349
CAOHCFIM_00021	K02527
CAOHCFIM_00027	K00645
CAOHCFIM_00028	K00287
CAOHCFIM_00029	K00560
CAOHCFIM_00030	K03317
CAOHCFIM_00031	K08999
CAOHCFIM_00032	K03522
CAOHCFIM_00033	K03521
CAOHCFIM_00034	K00162
CAOHCFIM_00036	K15987
CAOHCFIM_00037	K15519
CAOHCFIM_00043	K00789
CAOHCFIM_00045	K04518
CAOHCFIM_00046	K10206
CAOHCFIM_00047	K04517
CAOHCFIM_00048	K04516
CAOHCFIM_00050	K06949
CAOHCFIM_00051	K07560
CAOHCFIM_00053	K00800
CAOHCFIM_00054	K07568
CAOHCFIM_00055	K06941
CAOHCFIM_00057	K02557
CAOHCFIM_00058	K01142
CAOHCFIM_00061	K01880
CAOHCFIM_00064	K00240
CAOHCFIM_00065	K00239
CAOHCFIM_00067	K01262
CAOHCFIM_00073	K02888
CAOHCFIM_00074	K02899
CAOHCFIM_00076	K01251
CAOHCFIM_00081	K02014
CAOHCFIM_00083	K03624
CAOHCFIM_00084	K02503
CAOHCFIM_00085	K07698
CAOHCFIM_00087	K00684
CAOHCFIM_00088	K22468
CAOHCFIM_00089	K22468
CAOHCFIM_00090	K01246
CAOHCFIM_00091	K03177
CAOHCFIM_00092	K06153
CAOHCFIM_00094	K09811
CAOHCFIM_00095	K01869
CAOHCFIM_00096	K15383
CAOHCFIM_00097	K06973
CAOHCFIM_00098	K03718
CAOHCFIM_00099	K14157
CAOHCFIM_00101	K01610
CAOHCFIM_00103	K01159
CAOHCFIM_00112	K01597
CAOHCFIM_00113	K00869
CAOHCFIM_00115	K06178
CAOHCFIM_00116	K01585
CAOHCFIM_00117	K01480
CAOHCFIM_00118	K00809
CAOHCFIM_00120	K14337
CAOHCFIM_00121	K13680
CAOHCFIM_00127	K03783
CAOHCFIM_00128	K09931
CAOHCFIM_00132	K02992
CAOHCFIM_00133	K02355
CAOHCFIM_00134	K02946
CAOHCFIM_00135	K02906
CAOHCFIM_00137	K09903
CAOHCFIM_00138	K02838
CAOHCFIM_00139	K07003
CAOHCFIM_00140	K01893
CAOHCFIM_00142	K03092
CAOHCFIM_00143	K03503
CAOHCFIM_00144	K03502
CAOHCFIM_00145	K16089
CAOHCFIM_00148	K05349
CAOHCFIM_00149	K05970
CAOHCFIM_00155	K03282
CAOHCFIM_00156	K00793
CAOHCFIM_00157	K00097
CAOHCFIM_00160	K00648
CAOHCFIM_00161	K02160
CAOHCFIM_00162	K01961
CAOHCFIM_00164	K22074
CAOHCFIM_00167	K01776
CAOHCFIM_00169	K06142
CAOHCFIM_00170	K07277
CAOHCFIM_00171	K00806
CAOHCFIM_00173	K00858
CAOHCFIM_00175	K03474
CAOHCFIM_00176	K13703
CAOHCFIM_00177	K03545
CAOHCFIM_00178	K01358
CAOHCFIM_00179	K03544
CAOHCFIM_00182	K00789
CAOHCFIM_00186	K01811
CAOHCFIM_00187	K01187
CAOHCFIM_00188	K01224
CAOHCFIM_00191	K03216
CAOHCFIM_00195	K09761
CAOHCFIM_00196	K01409
CAOHCFIM_00198	K00850
CAOHCFIM_00199	K00134
CAOHCFIM_00201	K09022
CAOHCFIM_00203	K01448
CAOHCFIM_00204	K02067
CAOHCFIM_00209	K00567
CAOHCFIM_00214	K00754
CAOHCFIM_00215	K01736
CAOHCFIM_00218	K07456
CAOHCFIM_00219	K03648
CAOHCFIM_00221	K00757
CAOHCFIM_00224	K11381
CAOHCFIM_00228	K01468
CAOHCFIM_00229	K01679
CAOHCFIM_00235	K00537
CAOHCFIM_00236	K02836
CAOHCFIM_00237	K01620
CAOHCFIM_00238	K01354
CAOHCFIM_00239	K01738
CAOHCFIM_00240	K00652
CAOHCFIM_00247	K03701
CAOHCFIM_00248	K03088
CAOHCFIM_00250	K19092
CAOHCFIM_00252	K10773
CAOHCFIM_00253	K03564
CAOHCFIM_00255	K06167
