GBJFBJOC_00002	K01265
GBJFBJOC_00003	K14696
GBJFBJOC_00004	K22736
GBJFBJOC_00008	K01649
GBJFBJOC_00009	K00826
GBJFBJOC_00010	K00052
GBJFBJOC_00011	K03624
GBJFBJOC_00015	K04761
GBJFBJOC_00016	K01966
GBJFBJOC_00017	K01647
GBJFBJOC_00020	K01436
GBJFBJOC_00021	K10805
GBJFBJOC_00023	K01250
GBJFBJOC_00025	K03741
GBJFBJOC_00027	K01990
GBJFBJOC_00029	K06207
GBJFBJOC_00035	K00540
GBJFBJOC_00036	K06929
GBJFBJOC_00037	K01740
GBJFBJOC_00039	K01438
GBJFBJOC_00043	K01468
GBJFBJOC_00044	K00219
GBJFBJOC_00049	K07507
GBJFBJOC_00052	K00368
GBJFBJOC_00053	K03333
GBJFBJOC_00056	K03333
GBJFBJOC_00057	K03333
GBJFBJOC_00059	K05396
GBJFBJOC_00060	K06994
GBJFBJOC_00061	K06324
GBJFBJOC_00063	K01432
GBJFBJOC_00064	K00453
GBJFBJOC_00065	K03733
GBJFBJOC_00066	K07735
GBJFBJOC_00068	K03763
GBJFBJOC_00071	K00266
GBJFBJOC_00072	K00265
GBJFBJOC_00074	K01267
GBJFBJOC_00075	K03498
GBJFBJOC_00076	K00174
GBJFBJOC_00077	K00175
GBJFBJOC_00078	K01101
GBJFBJOC_00079	K06442
GBJFBJOC_00080	K00858
GBJFBJOC_00082	K03631
GBJFBJOC_00083	K01937
GBJFBJOC_00084	K01515
GBJFBJOC_00086	K01867
GBJFBJOC_00087	K05896
GBJFBJOC_00088	K06024
GBJFBJOC_00090	K06178
GBJFBJOC_00091	K04517
GBJFBJOC_00092	K00800
GBJFBJOC_00093	K00945
GBJFBJOC_00094	K00655
GBJFBJOC_00095	K03527
GBJFBJOC_00097	K03977
GBJFBJOC_00098	K07315
GBJFBJOC_00099	K23537
GBJFBJOC_00101	K23536
GBJFBJOC_00102	K23535
GBJFBJOC_00104	K01873
GBJFBJOC_00105	K01661
GBJFBJOC_00109	K02018
GBJFBJOC_00110	K02017
GBJFBJOC_00111	K00059
GBJFBJOC_00112	K01426
GBJFBJOC_00113	K01278
GBJFBJOC_00114	K00121
GBJFBJOC_00115	K01684
GBJFBJOC_00118	K00625
GBJFBJOC_00120	K17509
GBJFBJOC_00121	K03601
GBJFBJOC_00126	K11407
GBJFBJOC_00129	K01658
GBJFBJOC_00130	K12132
GBJFBJOC_00131	K05364
GBJFBJOC_00133	K20074
GBJFBJOC_00137	K19745
GBJFBJOC_00139	K09121
GBJFBJOC_00140	K06898
GBJFBJOC_00141	K04518
GBJFBJOC_00152	K03611
GBJFBJOC_00154	K00721
GBJFBJOC_00155	K03086
GBJFBJOC_00156	K02316
GBJFBJOC_00157	K01681
