LJLJMBLE_00003	K14157
LJLJMBLE_00004	K03704
LJLJMBLE_00005	K01586
LJLJMBLE_00007	K01903
LJLJMBLE_00008	K03702
LJLJMBLE_00011	K01990
LJLJMBLE_00014	K02259
LJLJMBLE_00015	K00970
LJLJMBLE_00016	K07566
LJLJMBLE_00017	K00754
LJLJMBLE_00027	K00674
LJLJMBLE_00028	K07447
LJLJMBLE_00029	K01462
LJLJMBLE_00031	K03327
LJLJMBLE_00033	K19302
LJLJMBLE_00034	K07588
LJLJMBLE_00038	K03070
LJLJMBLE_00040	K00798
LJLJMBLE_00042	K15738
LJLJMBLE_00045	K17103
LJLJMBLE_00046	K09781
LJLJMBLE_00047	K06861
LJLJMBLE_00049	K03118
LJLJMBLE_00050	K06041
LJLJMBLE_00051	K03654
LJLJMBLE_00052	K01802
LJLJMBLE_00053	K01937
LJLJMBLE_00054	K03217
LJLJMBLE_00055	K00566
LJLJMBLE_00056	K02371
LJLJMBLE_00057	K02428
LJLJMBLE_00059	K00014
LJLJMBLE_00061	K08974
LJLJMBLE_00063	K00821
LJLJMBLE_00065	K01939
LJLJMBLE_00066	K03711
LJLJMBLE_00067	K00951
LJLJMBLE_00068	K03437
LJLJMBLE_00072	K01270
LJLJMBLE_00073	K12736
LJLJMBLE_00075	K06881
LJLJMBLE_00076	K00940
LJLJMBLE_00079	K03629
LJLJMBLE_00081	K00794
LJLJMBLE_00083	K03572
LJLJMBLE_00089	K03100
LJLJMBLE_00090	K00215
LJLJMBLE_00092	K03497
LJLJMBLE_00093	K03496
LJLJMBLE_00094	K03496
LJLJMBLE_00095	K01847
LJLJMBLE_00098	K00876
LJLJMBLE_00099	K00384
LJLJMBLE_00100	K01890
LJLJMBLE_00101	K02557
LJLJMBLE_00104	K02340
LJLJMBLE_00106	K00886
LJLJMBLE_00109	K01761
LJLJMBLE_00110	K03719
LJLJMBLE_00111	K00382
LJLJMBLE_00112	K03088
LJLJMBLE_00113	K05592
LJLJMBLE_00114	K13950
LJLJMBLE_00115	K04075
LJLJMBLE_00116	K07019
LJLJMBLE_00117	K06287
LJLJMBLE_00118	K03270
LJLJMBLE_00123	K01758
LJLJMBLE_00124	K01463
LJLJMBLE_00130	K03786
LJLJMBLE_00131	K00382
LJLJMBLE_00133	K07305
LJLJMBLE_00134	K07305
LJLJMBLE_00135	K23010
LJLJMBLE_00136	K06902
LJLJMBLE_00137	K01338
LJLJMBLE_00139	K00945
LJLJMBLE_00140	K02945
LJLJMBLE_00143	K03671
LJLJMBLE_00144	K03386
LJLJMBLE_00145	K03315
LJLJMBLE_00146	K00162
LJLJMBLE_00149	K03701
LJLJMBLE_00151	K03657
LJLJMBLE_00154	K03655
LJLJMBLE_00156	K01840
LJLJMBLE_00161	K03932
LJLJMBLE_00168	K01433
LJLJMBLE_00171	K04084
LJLJMBLE_00173	K01493
LJLJMBLE_00174	K03797
LJLJMBLE_00176	K05595
LJLJMBLE_00178	K10808
LJLJMBLE_00179	K10807
LJLJMBLE_00185	K01129
LJLJMBLE_00186	K01662
LJLJMBLE_00187	K11991
LJLJMBLE_00189	K01876
LJLJMBLE_00190	K03296
LJLJMBLE_00194	K13789
LJLJMBLE_00195	K00164
LJLJMBLE_00196	K00658
LJLJMBLE_00199	K02335
LJLJMBLE_00201	K07098
LJLJMBLE_00202	K03671
LJLJMBLE_00206	K02600
LJLJMBLE_00207	K02519
LJLJMBLE_00210	K04014
LJLJMBLE_00215	K02275
LJLJMBLE_00216	K02274
LJLJMBLE_00217	K03551
LJLJMBLE_00219	K18979
LJLJMBLE_00220	K00681
LJLJMBLE_00221	K00029
LJLJMBLE_00222	K03550
LJLJMBLE_00224	K02437
LJLJMBLE_00227	K03832
LJLJMBLE_00229	K03424
LJLJMBLE_00230	K01424
LJLJMBLE_00232	K03561
LJLJMBLE_00238	K01870
LJLJMBLE_00240	K03101
LJLJMBLE_00241	K01934
LJLJMBLE_00242	K05844
LJLJMBLE_00243	K03703
LJLJMBLE_00244	K07001
LJLJMBLE_00246	K00453
LJLJMBLE_00248	K01810
LJLJMBLE_00256	K06970
LJLJMBLE_00258	K05592
LJLJMBLE_00259	K03704
LJLJMBLE_00262	K17677
LJLJMBLE_00264	K07444
LJLJMBLE_00271	K07552
LJLJMBLE_00272	K01259
LJLJMBLE_00273	K01895
LJLJMBLE_00275	K01923
LJLJMBLE_00276	K06217
LJLJMBLE_00277	K22205
LJLJMBLE_00278	K02338
LJLJMBLE_00279	K06888
LJLJMBLE_00283	K00616
LJLJMBLE_00285	K22757
LJLJMBLE_00288	K00600
LJLJMBLE_00289	K12524
LJLJMBLE_00290	K00872
LJLJMBLE_00291	K01733
LJLJMBLE_00292	K00605
LJLJMBLE_00296	K00086
LJLJMBLE_00297	K19271
LJLJMBLE_00298	K00979
LJLJMBLE_00299	K01144
LJLJMBLE_00303	K02343
LJLJMBLE_00306	K00275
LJLJMBLE_00308	K03466
LJLJMBLE_00310	K07091
LJLJMBLE_00311	K14652
LJLJMBLE_00312	K13010
LJLJMBLE_00323	K04763
LJLJMBLE_00324	K18682
LJLJMBLE_00329	K04487
LJLJMBLE_00335	K00131
LJLJMBLE_00337	K00819
LJLJMBLE_00338	K03215
LJLJMBLE_00344	K06911
LJLJMBLE_00345	K01969
LJLJMBLE_00346	K01911
LJLJMBLE_00347	K07052
LJLJMBLE_00349	K02548
LJLJMBLE_00350	K01661
LJLJMBLE_00351	K00243
LJLJMBLE_00361	K01520
LJLJMBLE_00365	K02115
LJLJMBLE_00367	K02111
LJLJMBLE_00368	K02113
LJLJMBLE_00370	K02110
LJLJMBLE_00371	K05349
LJLJMBLE_00385	K03282
LJLJMBLE_00386	K00793
LJLJMBLE_00387	K00097
LJLJMBLE_00390	K00648
LJLJMBLE_00391	K02160
LJLJMBLE_00392	K01961
LJLJMBLE_00394	K22074
LJLJMBLE_00397	K01776
LJLJMBLE_00399	K06142
LJLJMBLE_00400	K07277
LJLJMBLE_00401	K00806
LJLJMBLE_00403	K00858
LJLJMBLE_00405	K03474
LJLJMBLE_00406	K13703
LJLJMBLE_00407	K03545
LJLJMBLE_00408	K01358
LJLJMBLE_00409	K03544
LJLJMBLE_00412	K09125
LJLJMBLE_00413	K15518
LJLJMBLE_00415	K03555
LJLJMBLE_00418	K03470
LJLJMBLE_00421	K03495
LJLJMBLE_00429	K10380
LJLJMBLE_00434	K16092
LJLJMBLE_00436	K03088
LJLJMBLE_00440	K01756
LJLJMBLE_00444	K05592
LJLJMBLE_00445	K02428
LJLJMBLE_00446	K00783
LJLJMBLE_00447	K00767
LJLJMBLE_00448	K07058
LJLJMBLE_00449	K04066
LJLJMBLE_00451	K02990
LJLJMBLE_00452	K02963
LJLJMBLE_00453	K02939
LJLJMBLE_00455	K01892
LJLJMBLE_00459	K00820
LJLJMBLE_00460	K06400
LJLJMBLE_00461	K07391
LJLJMBLE_00462	K01210
LJLJMBLE_00463	K01210
LJLJMBLE_00464	K01201
LJLJMBLE_00474	K01480
LJLJMBLE_00475	K01585
LJLJMBLE_00477	K01685
LJLJMBLE_00479	K03801
LJLJMBLE_00481	K04567
LJLJMBLE_00483	K07137
LJLJMBLE_00484	K07112
LJLJMBLE_00485	K07112
LJLJMBLE_00487	K01784
LJLJMBLE_00507	K00820
LJLJMBLE_00509	K00703
LJLJMBLE_00510	K01918
LJLJMBLE_00511	K01579
LJLJMBLE_00514	K04485
LJLJMBLE_00516	K09511
LJLJMBLE_00517	K07238
LJLJMBLE_00518	K04759
LJLJMBLE_00520	K07152
LJLJMBLE_00521	K11749
LJLJMBLE_00523	K01136
LJLJMBLE_00524	K13444
LJLJMBLE_00528	K02014
LJLJMBLE_00531	K03709
LJLJMBLE_00532	K16089
LJLJMBLE_00534	K01755
LJLJMBLE_00535	K01438
LJLJMBLE_00536	K00930
LJLJMBLE_00537	K13043
LJLJMBLE_00538	K00821
LJLJMBLE_00539	K00286
LJLJMBLE_00540	K00145
LJLJMBLE_00541	K01940
LJLJMBLE_00547	K00254
LJLJMBLE_00548	K01258
LJLJMBLE_00551	K03625
LJLJMBLE_00552	K18889
LJLJMBLE_00559	K01951
LJLJMBLE_00560	K22136
LJLJMBLE_00561	K14441
LJLJMBLE_00562	K03110
LJLJMBLE_00564	K02913
LJLJMBLE_00565	K02902
LJLJMBLE_00566	K03742
LJLJMBLE_00568	K02342
LJLJMBLE_00569	K00658
LJLJMBLE_00571	K06187
LJLJMBLE_00576	K00648
LJLJMBLE_00577	K04079
LJLJMBLE_00583	K01809
LJLJMBLE_00584	K01737
LJLJMBLE_00585	K01823
LJLJMBLE_00586	K01972
LJLJMBLE_00587	K02493
LJLJMBLE_00588	K03828
LJLJMBLE_00590	K11752
LJLJMBLE_00591	K20866
LJLJMBLE_00593	K07107
LJLJMBLE_00594	K02313
LJLJMBLE_00595	K07056
LJLJMBLE_00597	K07082
LJLJMBLE_00599	K01778
LJLJMBLE_00600	K04771
LJLJMBLE_00601	K00134
LJLJMBLE_00602	K00554
LJLJMBLE_00603	K02884
LJLJMBLE_00604	K00031
LJLJMBLE_00607	K07106
LJLJMBLE_00610	K10955
LJLJMBLE_00614	K16091
LJLJMBLE_00615	K00088
LJLJMBLE_00616	K01802
LJLJMBLE_00618	K03771
LJLJMBLE_00619	K03924
LJLJMBLE_00620	K01681
LJLJMBLE_00624	K15746
LJLJMBLE_00626	K09835
LJLJMBLE_00630	K00891
LJLJMBLE_00631	K02825
LJLJMBLE_00632	K04762
LJLJMBLE_00634	K00615
LJLJMBLE_00635	K00615
LJLJMBLE_00638	K00773
LJLJMBLE_00639	K11720
LJLJMBLE_00641	K01962
LJLJMBLE_00642	K02314
LJLJMBLE_00646	K02887
LJLJMBLE_00647	K02916
LJLJMBLE_00650	K00962
LJLJMBLE_00651	K02956
LJLJMBLE_00653	K01963
LJLJMBLE_00654	K01624
LJLJMBLE_00656	K03437
LJLJMBLE_00658	K03183
LJLJMBLE_00659	K03499
LJLJMBLE_00660	K03498
LJLJMBLE_00661	K00812
LJLJMBLE_00662	K00508
LJLJMBLE_00663	K03501
LJLJMBLE_00664	K00294
LJLJMBLE_00665	K06195
LJLJMBLE_00667	K00346
LJLJMBLE_00668	K00347
LJLJMBLE_00669	K00348
LJLJMBLE_00670	K00349
LJLJMBLE_00671	K00350
LJLJMBLE_00672	K00351
LJLJMBLE_00674	K03734
LJLJMBLE_00677	K01265
LJLJMBLE_00679	K15633
LJLJMBLE_00681	K05995
LJLJMBLE_00685	K03392
LJLJMBLE_00686	K00452
LJLJMBLE_00687	K00059
LJLJMBLE_00688	K23234
LJLJMBLE_00690	K00486
LJLJMBLE_00691	K01556
LJLJMBLE_00692	K07304
LJLJMBLE_00693	K07164
LJLJMBLE_00695	K00912
LJLJMBLE_00696	K00134
LJLJMBLE_00697	K03644
LJLJMBLE_00701	K06188
LJLJMBLE_00702	K00075
LJLJMBLE_00703	K00812
LJLJMBLE_00707	K01873
LJLJMBLE_00709	K01613
LJLJMBLE_00710	K00981
LJLJMBLE_00712	K03798
LJLJMBLE_00713	K09710
LJLJMBLE_00714	K03524
LJLJMBLE_00716	K00762
LJLJMBLE_00718	K03321
LJLJMBLE_00719	K00954
LJLJMBLE_00720	K01921
LJLJMBLE_00722	K06180
LJLJMBLE_00723	K09861
LJLJMBLE_00724	K11927
LJLJMBLE_00727	K01673
LJLJMBLE_00728	K01673
LJLJMBLE_00733	K03405
LJLJMBLE_00734	K07114
LJLJMBLE_00736	K21498
LJLJMBLE_00737	K07334
LJLJMBLE_00738	K01695
LJLJMBLE_00739	K01696
LJLJMBLE_00740	K01817
LJLJMBLE_00741	K01609
LJLJMBLE_00742	K00766
LJLJMBLE_00743	K01658
LJLJMBLE_00744	K01657
LJLJMBLE_00758	K09117
LJLJMBLE_00759	K03531
LJLJMBLE_00760	K03590
LJLJMBLE_00761	K03589
LJLJMBLE_00762	K01924
LJLJMBLE_00763	K02563
LJLJMBLE_00764	K03588
