INDECMBL_00001	K09005
INDECMBL_00003	K18660
INDECMBL_00006	K12257
INDECMBL_00007	K00024
INDECMBL_00008	K02470
INDECMBL_00009	K01953
INDECMBL_00013	K09812
INDECMBL_00014	K06207
INDECMBL_00025	K02519
INDECMBL_00026	K02600
INDECMBL_00028	K16089
INDECMBL_00031	K07114
INDECMBL_00032	K03405
INDECMBL_00035	K00390
INDECMBL_00036	K00957
INDECMBL_00037	K00956
INDECMBL_00038	K00366
INDECMBL_00039	K02303
INDECMBL_00040	K02304
INDECMBL_00041	K00384
INDECMBL_00042	K05989
INDECMBL_00043	K03534
INDECMBL_00044	K18581
INDECMBL_00046	K00010
INDECMBL_00047	K00059
INDECMBL_00051	K12308
INDECMBL_00054	K23107
INDECMBL_00058	K03299
INDECMBL_00059	K01687
INDECMBL_00062	K03671
INDECMBL_00063	K07098
INDECMBL_00064	K01129
INDECMBL_00069	K10807
INDECMBL_00070	K10808
INDECMBL_00072	K05595
INDECMBL_00074	K03797
INDECMBL_00075	K01493
INDECMBL_00079	K00655
INDECMBL_00080	K13598
INDECMBL_00081	K08973
INDECMBL_00083	K01772
INDECMBL_00085	K02492
INDECMBL_00086	K01749
INDECMBL_00088	K01599
INDECMBL_00089	K00228
INDECMBL_00091	K01698
INDECMBL_00094	K00285
INDECMBL_00095	K18384
INDECMBL_00096	K13821
INDECMBL_00097	K01714
INDECMBL_00098	K00567
INDECMBL_00102	K02032
INDECMBL_00104	K02557
INDECMBL_00105	K01142
INDECMBL_00107	K01880
INDECMBL_00110	K13566
INDECMBL_00112	K09955
INDECMBL_00114	K00853
INDECMBL_00115	K03077
INDECMBL_00127	K02834
INDECMBL_00128	K09808
INDECMBL_00134	K03596
INDECMBL_00135	K03284
INDECMBL_00138	K06193
INDECMBL_00141	K01053
INDECMBL_00143	K01254
INDECMBL_00150	K00106
INDECMBL_00151	K07303
INDECMBL_00152	K08139
INDECMBL_00153	K03332
INDECMBL_00156	K06001
INDECMBL_00157	K07402
INDECMBL_00158	K07161
INDECMBL_00161	K03520
INDECMBL_00162	K03518
INDECMBL_00163	K03519
INDECMBL_00165	K04487
INDECMBL_00166	K07402
INDECMBL_00167	K03639
INDECMBL_00168	K03750
INDECMBL_00170	K03636
INDECMBL_00171	K03635
INDECMBL_00172	K03637
INDECMBL_00173	K11996
INDECMBL_00176	K19802
INDECMBL_00178	K12972
INDECMBL_00185	K03310
INDECMBL_00188	K03317
INDECMBL_00191	K06911
INDECMBL_00193	K02014
INDECMBL_00196	K18988
INDECMBL_00197	K02899
INDECMBL_00198	K02888
