GEPHEFPO_00002	K01866
GEPHEFPO_00003	K19304
GEPHEFPO_00004	K09001
GEPHEFPO_00007	K15724
GEPHEFPO_00010	K00145
GEPHEFPO_00011	K08973
GEPHEFPO_00013	K01845
GEPHEFPO_00014	K01698
GEPHEFPO_00015	K06183
GEPHEFPO_00016	K00564
GEPHEFPO_00017	K07178
GEPHEFPO_00018	K18800
GEPHEFPO_00019	K03185
GEPHEFPO_00020	K01262
GEPHEFPO_00024	K01934
GEPHEFPO_00025	K00873
GEPHEFPO_00026	K01754
GEPHEFPO_00027	K01807
GEPHEFPO_00032	K04084
GEPHEFPO_00033	K03786
GEPHEFPO_00034	K02160
GEPHEFPO_00035	K01961
GEPHEFPO_00036	K02687
GEPHEFPO_00038	K05540
GEPHEFPO_00039	K03557
GEPHEFPO_00040	K00602
GEPHEFPO_00041	K12119
GEPHEFPO_00042	K01945
GEPHEFPO_00047	K07397
GEPHEFPO_00048	K10914
GEPHEFPO_00049	K01609
GEPHEFPO_00050	K00766
GEPHEFPO_00051	K01658
GEPHEFPO_00052	K01657
GEPHEFPO_00053	K01783
GEPHEFPO_00054	K00666
GEPHEFPO_00055	K11522
GEPHEFPO_00056	K01920
GEPHEFPO_00058	K07735
GEPHEFPO_00059	K07447
GEPHEFPO_00060	K02670
GEPHEFPO_00061	K02669
GEPHEFPO_00062	K06997
GEPHEFPO_00063	K00286
GEPHEFPO_00064	K02221
GEPHEFPO_00066	K00641
GEPHEFPO_00069	K02428
GEPHEFPO_00071	K13283
GEPHEFPO_00072	K00382
GEPHEFPO_00073	K03671
GEPHEFPO_00074	K03628
GEPHEFPO_00075	K03182
GEPHEFPO_00078	K05939
GEPHEFPO_00079	K03152
GEPHEFPO_00081	K01919
GEPHEFPO_00083	K03611
GEPHEFPO_00087	K03773
GEPHEFPO_00088	K03439
GEPHEFPO_00090	K03089
GEPHEFPO_00091	K09811
GEPHEFPO_00092	K09812
GEPHEFPO_00093	K03110
GEPHEFPO_00094	K08316
GEPHEFPO_00095	K00954
GEPHEFPO_00096	K10563
GEPHEFPO_00097	K03559
GEPHEFPO_00100	K10806
GEPHEFPO_00104	K01938
GEPHEFPO_00105	K00563
GEPHEFPO_00106	K07709
GEPHEFPO_00109	K15918
