JICOJHNP_00001	K01745
JICOJHNP_00002	K01468
JICOJHNP_00003	K00603
JICOJHNP_00005	K11249
JICOJHNP_00012	K01006
JICOJHNP_00013	K00134
JICOJHNP_00016	K15827
JICOJHNP_00019	K03701
JICOJHNP_00020	K00097
JICOJHNP_00021	K02313
JICOJHNP_00022	K00104
JICOJHNP_00024	K03665
JICOJHNP_00025	K02314
JICOJHNP_00026	K02939
JICOJHNP_00028	K02963
JICOJHNP_00029	K02990
JICOJHNP_00030	K02035
JICOJHNP_00031	K02031
JICOJHNP_00032	K03704
JICOJHNP_00033	K02032
JICOJHNP_00037	K07814
JICOJHNP_00038	K09918
JICOJHNP_00042	K00266
JICOJHNP_00044	K08218
JICOJHNP_00048	K03688
JICOJHNP_00049	K10773
JICOJHNP_00050	K00566
JICOJHNP_00051	K06941
JICOJHNP_00052	K03106
JICOJHNP_00053	K02959
JICOJHNP_00054	K06960
JICOJHNP_00055	K02860
JICOJHNP_00056	K00554
JICOJHNP_00058	K02884
JICOJHNP_00059	K03470
JICOJHNP_00060	K07460
JICOJHNP_00061	K07056
JICOJHNP_00063	K00958
JICOJHNP_00067	K01069
JICOJHNP_00068	K03625
JICOJHNP_00069	K00794
JICOJHNP_00070	K14652
JICOJHNP_00071	K00793
JICOJHNP_00072	K11752
JICOJHNP_00073	K07738
JICOJHNP_00074	K01493
JICOJHNP_00075	K00600
JICOJHNP_00076	K01808
JICOJHNP_00077	K02078
JICOJHNP_00079	K01885
JICOJHNP_00080	K06990
JICOJHNP_00081	K04652
JICOJHNP_00083	K00773
JICOJHNP_00084	K07568
JICOJHNP_00086	K02434
JICOJHNP_00088	K01768
JICOJHNP_00091	K03572
JICOJHNP_00093	K02433
JICOJHNP_00094	K02435
JICOJHNP_00096	K01887
JICOJHNP_00102	K02016
JICOJHNP_00103	K02015
JICOJHNP_00104	K02013
JICOJHNP_00107	K02004
JICOJHNP_00108	K02003
JICOJHNP_00109	K03325
JICOJHNP_00113	K06942
JICOJHNP_00114	K07019
JICOJHNP_00115	K00059
JICOJHNP_00116	K03453
JICOJHNP_00117	K01652
JICOJHNP_00118	K00059
JICOJHNP_00121	K01768
JICOJHNP_00123	K13444
JICOJHNP_00124	K04739
JICOJHNP_00126	K14940
JICOJHNP_00128	K01920
JICOJHNP_00129	K02035
JICOJHNP_00130	K02033
JICOJHNP_00131	K02034
JICOJHNP_00132	K15583
JICOJHNP_00133	K02032
JICOJHNP_00135	K17286
JICOJHNP_00136	K07979
JICOJHNP_00137	K00172
JICOJHNP_00138	K00170
JICOJHNP_00139	K00169
JICOJHNP_00140	K00171
JICOJHNP_00144	K13533
JICOJHNP_00145	K02481
JICOJHNP_00147	K07658
JICOJHNP_00148	K07652
JICOJHNP_00158	K06196
JICOJHNP_00162	K07713
JICOJHNP_00163	K07709
JICOJHNP_00164	K12405
JICOJHNP_00168	K01868
JICOJHNP_00169	K12591
JICOJHNP_00170	K01778
JICOJHNP_00172	K01996
JICOJHNP_00175	K01996
JICOJHNP_00176	K01995
JICOJHNP_00177	K01998
JICOJHNP_00178	K01997
JICOJHNP_00182	K00548
JICOJHNP_00183	K00048
JICOJHNP_00184	K01271
JICOJHNP_00185	K21393
JICOJHNP_00187	K21395
JICOJHNP_00195	K17103
JICOJHNP_00196	K00817
JICOJHNP_00198	K03704
JICOJHNP_00199	K07713
JICOJHNP_00200	K15549
JICOJHNP_00209	K07309
JICOJHNP_00224	K03718
JICOJHNP_00225	K00768
JICOJHNP_00226	K02003
JICOJHNP_00227	K02004
JICOJHNP_00231	K02481
JICOJHNP_00232	K07710
JICOJHNP_00236	K06888
JICOJHNP_00237	K07710
JICOJHNP_00239	K17218
JICOJHNP_00241	K07658
JICOJHNP_00243	K17472
JICOJHNP_00246	K00031
JICOJHNP_00248	K00821
JICOJHNP_00249	K07171
JICOJHNP_00252	K01634
JICOJHNP_00255	K01740
JICOJHNP_00256	K00641
JICOJHNP_00258	K03517
JICOJHNP_00260	K01715
JICOJHNP_00261	K01912
JICOJHNP_00269	K00600
JICOJHNP_00270	K03718
JICOJHNP_00272	K00639
JICOJHNP_00279	K03296
JICOJHNP_00282	K03186
JICOJHNP_00283	K02481
JICOJHNP_00284	K06974
JICOJHNP_00285	K07652
JICOJHNP_00290	K00982
JICOJHNP_00291	K02036
JICOJHNP_00292	K02038
JICOJHNP_00293	K02037
JICOJHNP_00294	K02040
JICOJHNP_00295	K21900
JICOJHNP_00296	K00239
JICOJHNP_00297	K08153
JICOJHNP_00298	K02614
JICOJHNP_00299	K02005
JICOJHNP_00300	K03296
JICOJHNP_00302	K01956
JICOJHNP_00303	K01955
JICOJHNP_00304	K00764
JICOJHNP_00306	K00657
JICOJHNP_00307	K05592
JICOJHNP_00309	K02068
JICOJHNP_00310	K02069
JICOJHNP_00311	K02190
JICOJHNP_00312	K02015
JICOJHNP_00313	K02013
JICOJHNP_00315	K03394
JICOJHNP_00317	K00595
JICOJHNP_00318	K05936
JICOJHNP_00319	K02189
JICOJHNP_00320	K05934
JICOJHNP_00321	K19221
JICOJHNP_00322	K02232
JICOJHNP_00323	K01975
JICOJHNP_00329	K07777
JICOJHNP_00330	K07689
JICOJHNP_00333	K07080
JICOJHNP_00337	K05601
JICOJHNP_00338	K21556
JICOJHNP_00339	K03738
JICOJHNP_00340	K07098
JICOJHNP_00341	K00013
JICOJHNP_00342	K01892
JICOJHNP_00343	K01876
JICOJHNP_00344	K03856
JICOJHNP_00345	K01735
JICOJHNP_00347	K03671
JICOJHNP_00348	K00384
JICOJHNP_00350	K02902
JICOJHNP_00351	K00951
JICOJHNP_00352	K01881
JICOJHNP_00353	K03526
JICOJHNP_00355	K02227
JICOJHNP_00356	K00817
JICOJHNP_00357	K07714
JICOJHNP_00363	K06861
JICOJHNP_00365	K01998
JICOJHNP_00366	K01997
JICOJHNP_00368	K07714
JICOJHNP_00370	K03088
JICOJHNP_00372	K00278
JICOJHNP_00374	K01897
JICOJHNP_00375	K22132
JICOJHNP_00376	K03424
JICOJHNP_00378	K03786
JICOJHNP_00379	K00180
JICOJHNP_00380	K00179
JICOJHNP_00384	K07133
JICOJHNP_00397	K13082
JICOJHNP_00410	K15726
JICOJHNP_00412	K10112
JICOJHNP_00413	K05813
JICOJHNP_00414	K05814
JICOJHNP_00415	K05815
JICOJHNP_00418	K18210
JICOJHNP_00419	K00104
JICOJHNP_00420	K11070
JICOJHNP_00421	K11071
JICOJHNP_00422	K11072
JICOJHNP_00424	K22373
JICOJHNP_00425	K00817
JICOJHNP_00427	K07240
JICOJHNP_00428	K03497
JICOJHNP_00434	K01338
JICOJHNP_00437	K07714
JICOJHNP_00444	K01649
JICOJHNP_00446	K00176
JICOJHNP_00447	K00174
JICOJHNP_00448	K00175
JICOJHNP_00449	K00177
JICOJHNP_00451	K00248
JICOJHNP_00453	K00826
JICOJHNP_00454	K00008
JICOJHNP_00455	K08321
JICOJHNP_00456	K03782
JICOJHNP_00457	K03711
JICOJHNP_00458	K01768
JICOJHNP_00460	K18967
JICOJHNP_00461	K00060
JICOJHNP_00462	K02484
JICOJHNP_00463	K07636
JICOJHNP_00464	K01897
JICOJHNP_00465	K01995
JICOJHNP_00466	K01897
JICOJHNP_00467	K01997
JICOJHNP_00468	K01998
JICOJHNP_00469	K01999
JICOJHNP_00470	K01996
JICOJHNP_00473	K00074
JICOJHNP_00474	K00626
JICOJHNP_00475	K01847
JICOJHNP_00478	K00819
JICOJHNP_00479	K02028
JICOJHNP_00480	K02029
JICOJHNP_00481	K02029
JICOJHNP_00482	K02424
JICOJHNP_00497	K05607
JICOJHNP_00498	K01969
JICOJHNP_00501	K01907
JICOJHNP_00502	K05929
JICOJHNP_00503	K02217
JICOJHNP_00504	K00556
JICOJHNP_00506	K03734
JICOJHNP_00512	K02666
JICOJHNP_00521	K02653
JICOJHNP_00522	K02652
JICOJHNP_00527	K07636
JICOJHNP_00528	K07139
JICOJHNP_00530	K03495
JICOJHNP_00531	K05516
JICOJHNP_00532	K00760
JICOJHNP_00535	K01737
JICOJHNP_00536	K10026
JICOJHNP_00537	K06920
JICOJHNP_00538	K11473
JICOJHNP_00539	K01079
JICOJHNP_00540	K08177
JICOJHNP_00541	K00974
JICOJHNP_00542	K03179
JICOJHNP_00543	K04069
JICOJHNP_00545	K07321
JICOJHNP_00549	K07307
JICOJHNP_00550	K07306
JICOJHNP_00551	K02488
