OLGPHELA_00001	K01892
OLGPHELA_00003	K03742
OLGPHELA_00004	K02902
OLGPHELA_00007	K02913
OLGPHELA_00009	K03110
OLGPHELA_00010	K14441
OLGPHELA_00014	K01951
OLGPHELA_00019	K03466
OLGPHELA_00020	K01661
OLGPHELA_00023	K01887
OLGPHELA_00024	K03106
OLGPHELA_00025	K01491
OLGPHELA_00026	K10026
OLGPHELA_00027	K03640
OLGPHELA_00029	K01627
OLGPHELA_00032	K07478
OLGPHELA_00041	K02557
OLGPHELA_00042	K01091
OLGPHELA_00045	K07588
OLGPHELA_00046	K01847
OLGPHELA_00048	K00294
OLGPHELA_00050	K00346
OLGPHELA_00051	K00347
OLGPHELA_00052	K00348
OLGPHELA_00053	K00349
OLGPHELA_00054	K00350
OLGPHELA_00055	K00351
OLGPHELA_00056	K02495
OLGPHELA_00057	K06193
OLGPHELA_00059	K03734
OLGPHELA_00063	K02428
OLGPHELA_00064	K11720
OLGPHELA_00065	K00773
OLGPHELA_00067	K03088
OLGPHELA_00068	K03501
OLGPHELA_00070	K11085
OLGPHELA_00074	K00821
OLGPHELA_00075	K00615
OLGPHELA_00076	K07114
OLGPHELA_00077	K00615
OLGPHELA_00078	K06942
OLGPHELA_00080	K01338
OLGPHELA_00083	K00945
OLGPHELA_00084	K03527
OLGPHELA_00085	K00275
OLGPHELA_00086	K00556
OLGPHELA_00087	K00604
OLGPHELA_00088	K03654
OLGPHELA_00092	K07444
OLGPHELA_00095	K03701
OLGPHELA_00097	K01790
OLGPHELA_00098	K03773
OLGPHELA_00099	K00382
OLGPHELA_00100	K03650
OLGPHELA_00101	K01902
OLGPHELA_00102	K00059
OLGPHELA_00104	K17080
OLGPHELA_00108	K03702
OLGPHELA_00110	K00014
OLGPHELA_00111	K08974
OLGPHELA_00113	K08097
OLGPHELA_00116	K01840
OLGPHELA_00117	K04487
OLGPHELA_00119	K02517
OLGPHELA_00124	K00794
OLGPHELA_00126	K03629
OLGPHELA_00128	K00940
OLGPHELA_00129	K06881
OLGPHELA_00130	K03773
OLGPHELA_00135	K00600
OLGPHELA_00136	K02371
OLGPHELA_00138	K00088
OLGPHELA_00139	K03771
OLGPHELA_00141	K03769
OLGPHELA_00142	K03924
OLGPHELA_00143	K01462
OLGPHELA_00147	K02035
OLGPHELA_00148	K02033
OLGPHELA_00149	K02034
OLGPHELA_00150	K18672
OLGPHELA_00151	K00796
OLGPHELA_00154	K02033
OLGPHELA_00155	K01803
OLGPHELA_00156	K02687
OLGPHELA_00158	K08591
OLGPHELA_00161	K00058
OLGPHELA_00162	K06213
OLGPHELA_00163	K02528
OLGPHELA_00167	K01875
OLGPHELA_00168	K02899
OLGPHELA_00169	K02888
OLGPHELA_00174	K04077
OLGPHELA_00175	K04078
OLGPHELA_00176	K03075
OLGPHELA_00180	K06168
OLGPHELA_00181	K03168
OLGPHELA_00184	K13444
OLGPHELA_00199	K01791
OLGPHELA_00203	K12996
OLGPHELA_00204	K03606
OLGPHELA_00209	K01890
OLGPHELA_00210	K03655
OLGPHELA_00211	K00627
OLGPHELA_00212	K00161
OLGPHELA_00215	K01712
OLGPHELA_00217	K05396
OLGPHELA_00220	K03470
OLGPHELA_00221	K02356
OLGPHELA_00222	K00677
OLGPHELA_00223	K16363
OLGPHELA_00224	K02536
OLGPHELA_00225	K06885
OLGPHELA_00226	K07713
OLGPHELA_00227	K06925
OLGPHELA_00228	K00259
OLGPHELA_00230	K00318
OLGPHELA_00234	K01613
OLGPHELA_00235	K00981
OLGPHELA_00237	K03798
OLGPHELA_00238	K09710
OLGPHELA_00239	K03524
OLGPHELA_00241	K00762
OLGPHELA_00243	K00954
OLGPHELA_00247	K01144
OLGPHELA_00250	K00031
OLGPHELA_00252	K02343
OLGPHELA_00253	K03442
OLGPHELA_00254	K02990
OLGPHELA_00255	K02963
OLGPHELA_00256	K02939
OLGPHELA_00257	K02004
OLGPHELA_00258	K01681
OLGPHELA_00259	K03321
OLGPHELA_00260	K06902
OLGPHELA_00263	K15736
OLGPHELA_00265	K01756
OLGPHELA_00267	K09793
OLGPHELA_00268	K11782
OLGPHELA_00269	K03217
OLGPHELA_00270	K01937
OLGPHELA_00272	K02340
OLGPHELA_00275	K08602
OLGPHELA_00279	K03545
OLGPHELA_00280	K01358
OLGPHELA_00281	K03544
OLGPHELA_00282	K00287
OLGPHELA_00284	K00560
OLGPHELA_00285	K03317
OLGPHELA_00286	K08999
OLGPHELA_00287	K03522
OLGPHELA_00288	K03521
OLGPHELA_00289	K00162
OLGPHELA_00290	K15987
OLGPHELA_00291	K15519
OLGPHELA_00294	K09125
OLGPHELA_00295	K04773
OLGPHELA_00296	K00950
OLGPHELA_00301	K03555
OLGPHELA_00304	K02527
OLGPHELA_00306	K01710
OLGPHELA_00308	K00645
OLGPHELA_00309	K01495
OLGPHELA_00310	K01737
OLGPHELA_00313	K11785
OLGPHELA_00316	K01872
OLGPHELA_00317	K01524
OLGPHELA_00318	K01992
OLGPHELA_00319	K01990
OLGPHELA_00321	K03686
OLGPHELA_00322	K03687
OLGPHELA_00324	K00790
OLGPHELA_00326	K03657
OLGPHELA_00330	K01338
OLGPHELA_00332	K00945
OLGPHELA_00349	K16066
OLGPHELA_00354	K07106
OLGPHELA_00355	K00167
OLGPHELA_00356	K03179
OLGPHELA_00358	K02622
OLGPHELA_00359	K02621
OLGPHELA_00361	K06889
OLGPHELA_00362	K01658
OLGPHELA_00364	K01448
OLGPHELA_00371	K01939
OLGPHELA_00372	K03711
OLGPHELA_00373	K00951
OLGPHELA_00374	K01555
OLGPHELA_00380	K09861
OLGPHELA_00383	K05592
OLGPHELA_00384	K06207
OLGPHELA_00386	K15738
OLGPHELA_00393	K07263
OLGPHELA_00394	K02469
OLGPHELA_00395	K03696
OLGPHELA_00396	K00208
OLGPHELA_00397	K03631
OLGPHELA_00398	K03631
OLGPHELA_00400	K13038
OLGPHELA_00403	K00639
OLGPHELA_00404	K01714
OLGPHELA_00406	K01972
OLGPHELA_00407	K02493
OLGPHELA_00408	K11752
OLGPHELA_00412	K09874
