PMDGCEHL_00002	K02428
PMDGCEHL_00005	K01885
PMDGCEHL_00007	K01081
PMDGCEHL_00008	K01119
PMDGCEHL_00011	K07004
PMDGCEHL_00012	K01278
PMDGCEHL_00013	K01647
PMDGCEHL_00014	K07444
PMDGCEHL_00015	K07001
PMDGCEHL_00018	K03832
PMDGCEHL_00019	K01610
PMDGCEHL_00020	K11085
PMDGCEHL_00022	K03466
PMDGCEHL_00030	K01939
PMDGCEHL_00032	K00951
PMDGCEHL_00033	K01555
PMDGCEHL_00034	K06942
PMDGCEHL_00035	K01302
PMDGCEHL_00036	K02337
PMDGCEHL_00037	K02346
PMDGCEHL_00038	K03744
PMDGCEHL_00039	K03799
PMDGCEHL_00041	K09117
PMDGCEHL_00042	K03531
PMDGCEHL_00043	K03590
PMDGCEHL_00044	K03589
PMDGCEHL_00045	K01924
PMDGCEHL_00046	K02563
PMDGCEHL_00047	K03588
PMDGCEHL_00049	K01925
PMDGCEHL_00050	K01000
PMDGCEHL_00051	K01928
PMDGCEHL_00052	K03587
PMDGCEHL_00054	K03438
PMDGCEHL_00055	K03925
PMDGCEHL_00057	K02888
PMDGCEHL_00058	K02899
PMDGCEHL_00059	K03820
PMDGCEHL_00060	K00919
PMDGCEHL_00062	K01962
PMDGCEHL_00063	K03655
PMDGCEHL_00064	K03046
PMDGCEHL_00065	K03043
PMDGCEHL_00066	K02935
PMDGCEHL_00067	K02864
PMDGCEHL_00068	K02863
PMDGCEHL_00069	K02867
PMDGCEHL_00070	K02601
PMDGCEHL_00073	K02358
PMDGCEHL_00079	K15001
PMDGCEHL_00080	K08641
PMDGCEHL_00081	K01714
PMDGCEHL_00083	K01972
PMDGCEHL_00085	K01929
PMDGCEHL_00086	K13444
PMDGCEHL_00092	K21552
PMDGCEHL_00093	K00833
PMDGCEHL_00094	K01935
PMDGCEHL_00096	K14441
PMDGCEHL_00098	K04487
PMDGCEHL_00105	K01916
PMDGCEHL_00109	K01868
PMDGCEHL_00110	K02520
PMDGCEHL_00111	K02916
PMDGCEHL_00112	K02887
PMDGCEHL_00113	K03810
PMDGCEHL_00114	K00057
PMDGCEHL_00118	K04883
PMDGCEHL_00119	K00384
PMDGCEHL_00120	K07636
PMDGCEHL_00122	K00560
PMDGCEHL_00123	K00287
PMDGCEHL_00124	K09761
PMDGCEHL_00125	K02340
PMDGCEHL_00126	K01258
PMDGCEHL_00128	K01712
PMDGCEHL_00132	K00615
PMDGCEHL_00134	K00615
PMDGCEHL_00138	K07568
PMDGCEHL_00139	K01866
PMDGCEHL_00140	K01990
PMDGCEHL_00142	K03797
PMDGCEHL_00152	K01883
PMDGCEHL_00158	K02557
PMDGCEHL_00162	K00942
PMDGCEHL_00163	K00969
PMDGCEHL_00166	K02528
PMDGCEHL_00171	K01468
PMDGCEHL_00173	K18979
PMDGCEHL_00174	K03551
PMDGCEHL_00175	K19270
PMDGCEHL_00178	K01945
PMDGCEHL_00179	K23265
PMDGCEHL_00188	K03525
PMDGCEHL_00196	K01462
PMDGCEHL_00199	K01690
PMDGCEHL_00200	K01057
PMDGCEHL_00201	K00036
PMDGCEHL_00205	K00798
PMDGCEHL_00206	K01758
PMDGCEHL_00207	K03527
PMDGCEHL_00208	K03701
PMDGCEHL_00209	K03671
PMDGCEHL_00211	K02536
PMDGCEHL_00212	K16363
PMDGCEHL_00213	K00677
PMDGCEHL_00214	K03215
PMDGCEHL_00215	K03742
PMDGCEHL_00218	K10026
PMDGCEHL_00220	K17105
PMDGCEHL_00221	K06287
PMDGCEHL_00223	K01599
PMDGCEHL_00224	K03648
PMDGCEHL_00228	K03453
PMDGCEHL_00232	K00912
PMDGCEHL_00233	K03783
PMDGCEHL_00234	K02434
PMDGCEHL_00237	K03269
PMDGCEHL_00238	K06925
PMDGCEHL_00239	K00259
PMDGCEHL_00245	K16091
PMDGCEHL_00246	K12891
PMDGCEHL_00247	K00970
PMDGCEHL_00250	K01902
PMDGCEHL_00252	K02968
PMDGCEHL_00258	K00228
PMDGCEHL_00261	K00783
PMDGCEHL_00263	K03593
PMDGCEHL_00266	K00793
PMDGCEHL_00268	K00873
PMDGCEHL_00274	K02612
PMDGCEHL_00275	K02611
PMDGCEHL_00278	K12573
PMDGCEHL_00280	K02199
PMDGCEHL_00283	K03092
PMDGCEHL_00285	K01054
PMDGCEHL_00289	K00662
PMDGCEHL_00292	K00059
PMDGCEHL_00296	K17677
PMDGCEHL_00297	K03437
PMDGCEHL_00299	K02956
PMDGCEHL_00303	K02825
PMDGCEHL_00304	K07106
PMDGCEHL_00305	K01480
PMDGCEHL_00312	K02343
PMDGCEHL_00314	K01911
PMDGCEHL_00315	K03686
PMDGCEHL_00316	K10773
PMDGCEHL_00317	K02314
PMDGCEHL_00319	K03628
PMDGCEHL_00321	K01924
PMDGCEHL_00322	K03734
PMDGCEHL_00326	K09861
PMDGCEHL_00328	K16089
PMDGCEHL_00329	K12257
PMDGCEHL_00335	K02348
PMDGCEHL_00336	K07386
PMDGCEHL_00337	K01892
PMDGCEHL_00338	K01524
PMDGCEHL_00339	K07735
PMDGCEHL_00340	K02945
PMDGCEHL_00341	K03711
PMDGCEHL_00345	K17104
PMDGCEHL_00346	K00767
PMDGCEHL_00347	K03703
PMDGCEHL_00351	K06889
PMDGCEHL_00353	K11617
PMDGCEHL_00356	K00852
PMDGCEHL_00357	K02478
PMDGCEHL_00358	K02477
PMDGCEHL_00359	K01760
PMDGCEHL_00361	K23025
PMDGCEHL_00363	K03553
PMDGCEHL_00364	K03564
PMDGCEHL_00365	K01256
PMDGCEHL_00366	K00927
PMDGCEHL_00368	K00134
PMDGCEHL_00371	K00979
PMDGCEHL_00376	K01934
PMDGCEHL_00378	K03470
PMDGCEHL_00380	K16857
PMDGCEHL_00381	K07636
PMDGCEHL_00382	K03802
PMDGCEHL_00388	K01875
PMDGCEHL_00391	K00252
PMDGCEHL_00393	K01719
PMDGCEHL_00394	K12410
PMDGCEHL_00396	K05592
PMDGCEHL_00398	K08304
PMDGCEHL_00400	K01488
PMDGCEHL_00401	K01488
