HNDANFPL_00002	K04043
HNDANFPL_00004	K00606
HNDANFPL_00005	K06180
HNDANFPL_00007	K04066
HNDANFPL_00008	K07444
HNDANFPL_00014	K03386
HNDANFPL_00015	K00937
HNDANFPL_00019	K04487
HNDANFPL_00020	K01840
HNDANFPL_00022	K08974
HNDANFPL_00023	K00014
HNDANFPL_00025	K04079
HNDANFPL_00029	K01673
HNDANFPL_00030	K03321
HNDANFPL_00032	K04096
HNDANFPL_00033	K01585
HNDANFPL_00034	K06207
HNDANFPL_00036	K02335
HNDANFPL_00037	K00721
HNDANFPL_00038	K01465
HNDANFPL_00042	K01866
HNDANFPL_00044	K03470
HNDANFPL_00047	K01712
HNDANFPL_00049	K00248
HNDANFPL_00050	K09001
HNDANFPL_00052	K03561
HNDANFPL_00053	K03559
HNDANFPL_00055	K11754
HNDANFPL_00062	K06158
HNDANFPL_00064	K01916
HNDANFPL_00067	K03978
HNDANFPL_00068	K05714
HNDANFPL_00069	K03925
HNDANFPL_00070	K03438
HNDANFPL_00072	K03587
HNDANFPL_00073	K01928
HNDANFPL_00074	K01000
HNDANFPL_00075	K01925
HNDANFPL_00076	K03588
HNDANFPL_00077	K02563
HNDANFPL_00078	K01924
HNDANFPL_00080	K03590
HNDANFPL_00081	K03531
HNDANFPL_00082	K09117
HNDANFPL_00084	K00029
HNDANFPL_00086	K03665
HNDANFPL_00088	K00252
HNDANFPL_00090	K07560
HNDANFPL_00091	K06949
HNDANFPL_00093	K01990
HNDANFPL_00094	K03977
HNDANFPL_00095	K03595
HNDANFPL_00099	K00059
HNDANFPL_00100	K04759
HNDANFPL_00102	K00627
HNDANFPL_00103	K00161
HNDANFPL_00108	K01929
HNDANFPL_00110	K01872
HNDANFPL_00114	K04763
HNDANFPL_00120	K00075
HNDANFPL_00121	K00812
HNDANFPL_00123	K01873
HNDANFPL_00124	K03218
HNDANFPL_00125	K09760
HNDANFPL_00126	K03648
HNDANFPL_00127	K03644
HNDANFPL_00130	K02434
HNDANFPL_00131	K00912
HNDANFPL_00132	K00791
HNDANFPL_00134	K00970
HNDANFPL_00135	K00674
HNDANFPL_00136	K07447
HNDANFPL_00137	K01462
HNDANFPL_00139	K02428
HNDANFPL_00140	K00939
HNDANFPL_00141	K03979
HNDANFPL_00142	K19302
HNDANFPL_00146	K00054
HNDANFPL_00156	K03771
HNDANFPL_00158	K05837
HNDANFPL_00159	K05515
HNDANFPL_00162	K03569
HNDANFPL_00163	K00602
HNDANFPL_00165	K00887
HNDANFPL_00169	K03686
HNDANFPL_00170	K03687
HNDANFPL_00172	K00790
HNDANFPL_00174	K03657
HNDANFPL_00175	K02950
HNDANFPL_00176	K02992
HNDANFPL_00177	K02355
HNDANFPL_00178	K02946
HNDANFPL_00179	K02906
HNDANFPL_00180	K02926
HNDANFPL_00181	K02892
HNDANFPL_00182	K02886
HNDANFPL_00183	K02965
HNDANFPL_00184	K02890
HNDANFPL_00185	K02982
HNDANFPL_00186	K02878
HNDANFPL_00188	K02961
HNDANFPL_00189	K02874
HNDANFPL_00190	K02895
