EHJIHHIA_00001	K01874
EHJIHHIA_00003	K07658
EHJIHHIA_00008	K01619
EHJIHHIA_00009	K00128
EHJIHHIA_00010	K00289
EHJIHHIA_00015	K02067
EHJIHHIA_00016	K01448
EHJIHHIA_00020	K11072
EHJIHHIA_00029	K07238
EHJIHHIA_00034	K03704
EHJIHHIA_00035	K00684
EHJIHHIA_00038	K03799
EHJIHHIA_00041	K00826
EHJIHHIA_00042	K03654
EHJIHHIA_00053	K04659
EHJIHHIA_00056	K07391
EHJIHHIA_00057	K22696
EHJIHHIA_00058	K22696
EHJIHHIA_00060	K09696
EHJIHHIA_00061	K01990
EHJIHHIA_00062	K06941
EHJIHHIA_00063	K02338
EHJIHHIA_00065	K06180
EHJIHHIA_00068	K01769
EHJIHHIA_00070	K03086
EHJIHHIA_00071	K04066
EHJIHHIA_00073	K03773
EHJIHHIA_00074	K03773
EHJIHHIA_00075	K01489
EHJIHHIA_00077	K00275
EHJIHHIA_00079	K06997
EHJIHHIA_00083	K05714
EHJIHHIA_00084	K07058
EHJIHHIA_00085	K00031
EHJIHHIA_00088	K08976
EHJIHHIA_00089	K07152
EHJIHHIA_00092	K02276
EHJIHHIA_00094	K02257
EHJIHHIA_00095	K01715
EHJIHHIA_00097	K01662
EHJIHHIA_00098	K02429
EHJIHHIA_00099	K05349
EHJIHHIA_00103	K20534
EHJIHHIA_00104	K09022
EHJIHHIA_00106	K06969
EHJIHHIA_00107	K07175
EHJIHHIA_00108	K07071
EHJIHHIA_00113	K13566
EHJIHHIA_00114	K14287
EHJIHHIA_00116	K00059
EHJIHHIA_00118	K07709
EHJIHHIA_00119	K02371
EHJIHHIA_00121	K03811
EHJIHHIA_00124	K06178
EHJIHHIA_00127	K01056
EHJIHHIA_00128	K00507
EHJIHHIA_00130	K07273
EHJIHHIA_00131	K01893
EHJIHHIA_00134	K03088
EHJIHHIA_00136	K01870
EHJIHHIA_00137	K01965
EHJIHHIA_00139	K01784
EHJIHHIA_00141	K03424
EHJIHHIA_00142	K01424
EHJIHHIA_00143	K09812
EHJIHHIA_00146	K00344
EHJIHHIA_00150	K01966
EHJIHHIA_00151	K15916
EHJIHHIA_00152	K03801
EHJIHHIA_00156	K01673
EHJIHHIA_00157	K15633
EHJIHHIA_00158	K07636
EHJIHHIA_00161	K04096
EHJIHHIA_00164	K00979
EHJIHHIA_00167	K00134
EHJIHHIA_00169	K00927
EHJIHHIA_00170	K01256
EHJIHHIA_00171	K03564
EHJIHHIA_00172	K03553
EHJIHHIA_00174	K23025
EHJIHHIA_00176	K01760
EHJIHHIA_00177	K02477
EHJIHHIA_00178	K07704
EHJIHHIA_00179	K00852
EHJIHHIA_00182	K07777
EHJIHHIA_00184	K06889
EHJIHHIA_00188	K00658
EHJIHHIA_00190	K09022
EHJIHHIA_00191	K01658
EHJIHHIA_00195	K05837
EHJIHHIA_00197	K01925
EHJIHHIA_00198	K01000
EHJIHHIA_00199	K01928
EHJIHHIA_00200	K03587
EHJIHHIA_00202	K03438
EHJIHHIA_00203	K03925
EHJIHHIA_00205	K02888
EHJIHHIA_00206	K02899
EHJIHHIA_00207	K03820
EHJIHHIA_00210	K01933
EHJIHHIA_00211	K01256
EHJIHHIA_00212	K09527
EHJIHHIA_00213	K04079
EHJIHHIA_00221	K03802
EHJIHHIA_00222	K07636
EHJIHHIA_00223	K04659
EHJIHHIA_00225	K03470
EHJIHHIA_00226	K02536
EHJIHHIA_00228	K03671
EHJIHHIA_00229	K03701
EHJIHHIA_00235	K13444
EHJIHHIA_00236	K01866
EHJIHHIA_00237	K07568
EHJIHHIA_00241	K06888
EHJIHHIA_00242	K00615
EHJIHHIA_00244	K00615
EHJIHHIA_00247	K01712
EHJIHHIA_00252	K02066
EHJIHHIA_00253	K02065
EHJIHHIA_00255	K03545
EHJIHHIA_00256	K03386
EHJIHHIA_00259	K02835
EHJIHHIA_00260	K01591
EHJIHHIA_00265	K02428
EHJIHHIA_00270	K02527
EHJIHHIA_00272	K00764
EHJIHHIA_00275	K07658
EHJIHHIA_00277	K00164
EHJIHHIA_00278	K00658
EHJIHHIA_00279	K00029
EHJIHHIA_00280	K03550
EHJIHHIA_00282	K00657
EHJIHHIA_00284	K01880
EHJIHHIA_00287	K00759
EHJIHHIA_00288	K00248
EHJIHHIA_00290	K03733
EHJIHHIA_00299	K00826
EHJIHHIA_00300	K01687
EHJIHHIA_00301	K01652
EHJIHHIA_00302	K01653
EHJIHHIA_00303	K00053
EHJIHHIA_00304	K01754
EHJIHHIA_00309	K08678
EHJIHHIA_00311	K18652
EHJIHHIA_00313	K01710
EHJIHHIA_00322	K01736
EHJIHHIA_00325	K03321
EHJIHHIA_00326	K15738
EHJIHHIA_00329	K20866
EHJIHHIA_00330	K02492
EHJIHHIA_00331	K01749
EHJIHHIA_00334	K15537
EHJIHHIA_00336	K00099
EHJIHHIA_00338	K03723
EHJIHHIA_00353	K00970
EHJIHHIA_00354	K12891
EHJIHHIA_00359	K09570
EHJIHHIA_00361	K06881
EHJIHHIA_00364	K02003
EHJIHHIA_00365	K00791
EHJIHHIA_00366	K18691
EHJIHHIA_00371	K12343
EHJIHHIA_00375	K01641
EHJIHHIA_00376	K19519
EHJIHHIA_00378	K00428
EHJIHHIA_00381	K15866
EHJIHHIA_00382	K00074
EHJIHHIA_00383	K00789
EHJIHHIA_00385	K06173
EHJIHHIA_00386	K00645
EHJIHHIA_00390	K00800
EHJIHHIA_00391	K04516
EHJIHHIA_00393	K14709
EHJIHHIA_00395	K00859
EHJIHHIA_00397	K07750
EHJIHHIA_00399	K00294
EHJIHHIA_00402	K03629
EHJIHHIA_00408	K11753
EHJIHHIA_00409	K19613
EHJIHHIA_00415	K14085
EHJIHHIA_00416	K01890
EHJIHHIA_00418	K00537
EHJIHHIA_00419	K03657
EHJIHHIA_00423	K01069
EHJIHHIA_00425	K01847
EHJIHHIA_00429	K01265
EHJIHHIA_00431	K03625
EHJIHHIA_00432	K00263
EHJIHHIA_00434	K11102
EHJIHHIA_00436	K16092
EHJIHHIA_00439	K00566
EHJIHHIA_00444	K01563
EHJIHHIA_00450	K22757
EHJIHHIA_00452	K01889
EHJIHHIA_00457	K03118
EHJIHHIA_00460	K00939
EHJIHHIA_00461	K00760
EHJIHHIA_00462	K01589
EHJIHHIA_00464	K01420
EHJIHHIA_00465	K01951
EHJIHHIA_00470	K03572
EHJIHHIA_00473	K03088
EHJIHHIA_00474	K00024
EHJIHHIA_00477	K03088
EHJIHHIA_00481	K22074
EHJIHHIA_00482	K03654
EHJIHHIA_00483	K01254
EHJIHHIA_00485	K01756
EHJIHHIA_00491	K00954
EHJIHHIA_00499	K01883
EHJIHHIA_00508	K02557
EHJIHHIA_00515	K03218
EHJIHHIA_00516	K08723
EHJIHHIA_00518	K00761
EHJIHHIA_00520	K03773
EHJIHHIA_00522	K03549
EHJIHHIA_00527	K07516
EHJIHHIA_00531	K01990
EHJIHHIA_00533	K03797
EHJIHHIA_00539	K00639
EHJIHHIA_00540	K06201
EHJIHHIA_00541	K01872
EHJIHHIA_00542	K00831
EHJIHHIA_00544	K00556
EHJIHHIA_00546	K01681
EHJIHHIA_00548	K01251
EHJIHHIA_00549	K01772
EHJIHHIA_00552	K01436
EHJIHHIA_00555	K02016
EHJIHHIA_00561	K07305
EHJIHHIA_00562	K07304
EHJIHHIA_00563	K22071
EHJIHHIA_00568	K06158
EHJIHHIA_00571	K01012
EHJIHHIA_00572	K00652
EHJIHHIA_00573	K00351
EHJIHHIA_00574	K00350
EHJIHHIA_00575	K00349
EHJIHHIA_00576	K00348
EHJIHHIA_00577	K00347
EHJIHHIA_00578	K00347
EHJIHHIA_00579	K00346
EHJIHHIA_00580	K06195
EHJIHHIA_00581	K03501
EHJIHHIA_00582	K03088
EHJIHHIA_00584	K00773
EHJIHHIA_00585	K11720
EHJIHHIA_00594	K08591
EHJIHHIA_00597	K00812
EHJIHHIA_00599	K02342
EHJIHHIA_00600	K06167
EHJIHHIA_00616	K02274
EHJIHHIA_00619	K02600
EHJIHHIA_00620	K02519
EHJIHHIA_00624	K11381
EHJIHHIA_00630	K07107
EHJIHHIA_00633	K01620
EHJIHHIA_00635	K02884
EHJIHHIA_00638	K00626
EHJIHHIA_00639	K00104
EHJIHHIA_00642	K18889
EHJIHHIA_00643	K07095
EHJIHHIA_00645	K19222
EHJIHHIA_00646	K02361
EHJIHHIA_00647	K02551
EHJIHHIA_00651	K09458
EHJIHHIA_00652	K07456
EHJIHHIA_00665	K06180
EHJIHHIA_00668	K00067
EHJIHHIA_00670	K01758
EHJIHHIA_00672	K01990
EHJIHHIA_00675	K00059
EHJIHHIA_00679	K05979
EHJIHHIA_00683	K06182
EHJIHHIA_00684	K04567
EHJIHHIA_00688	K08968
EHJIHHIA_00690	K00604
EHJIHHIA_00693	K14445
EHJIHHIA_00695	K01613
EHJIHHIA_00696	K00981
EHJIHHIA_00698	K03798
EHJIHHIA_00699	K09710
EHJIHHIA_00700	K03524
EHJIHHIA_00702	K00762
EHJIHHIA_00703	K01873
EHJIHHIA_00704	K03286
EHJIHHIA_00705	K00432
EHJIHHIA_00706	K02470
EHJIHHIA_00707	K01173
EHJIHHIA_00708	K03832
EHJIHHIA_00709	K02437
EHJIHHIA_00710	K02836
EHJIHHIA_00711	K00088
EHJIHHIA_00713	K06885
EHJIHHIA_00714	K07713
EHJIHHIA_00715	K11717
EHJIHHIA_00716	K02426
EHJIHHIA_00720	K01597
EHJIHHIA_00722	K00054
EHJIHHIA_00725	K09931
EHJIHHIA_00727	K03272
EHJIHHIA_00728	K07027
EHJIHHIA_00729	K01918
EHJIHHIA_00730	K00703
EHJIHHIA_00732	K00820
EHJIHHIA_00733	K04762
EHJIHHIA_00734	K01897
EHJIHHIA_00737	K00508
EHJIHHIA_00738	K06147
EHJIHHIA_00739	K02834
EHJIHHIA_00741	K02112
EHJIHHIA_00743	K00806
EHJIHHIA_00744	K07277
EHJIHHIA_00748	K01776
EHJIHHIA_00750	K01465
EHJIHHIA_00751	K00721
EHJIHHIA_00752	K02897
EHJIHHIA_00753	K00948
EHJIHHIA_00754	K18890
EHJIHHIA_00758	K07304
EHJIHHIA_00760	K03797
EHJIHHIA_00761	K01493
EHJIHHIA_00764	K01495
EHJIHHIA_00768	K19519
EHJIHHIA_00773	K23009
EHJIHHIA_00777	K02548
EHJIHHIA_00778	K03521
EHJIHHIA_00779	K03522
EHJIHHIA_00780	K08999
EHJIHHIA_00781	K11536
EHJIHHIA_00782	K01463
EHJIHHIA_00783	K00281
EHJIHHIA_00786	K10716
EHJIHHIA_00788	K06970
EHJIHHIA_00789	K01962
EHJIHHIA_00790	K06861
EHJIHHIA_00793	K00382
EHJIHHIA_00796	K00014
EHJIHHIA_00797	K06949
EHJIHHIA_00798	K07560
EHJIHHIA_00799	K00128
EHJIHHIA_00800	K03704
EHJIHHIA_00807	K01673
EHJIHHIA_00808	K01673
EHJIHHIA_00810	K00639
EHJIHHIA_00813	K07678
EHJIHHIA_00818	K02013
EHJIHHIA_00819	K02015
EHJIHHIA_00820	K02016
EHJIHHIA_00821	K00606
EHJIHHIA_00822	K01923
EHJIHHIA_00823	K06217
EHJIHHIA_00826	K17104
EHJIHHIA_00827	K00767
EHJIHHIA_00828	K03703
EHJIHHIA_00833	K00228
EHJIHHIA_00835	K01951
EHJIHHIA_00836	K00957
EHJIHHIA_00837	K00860
EHJIHHIA_00840	K03274
EHJIHHIA_00841	K15519
EHJIHHIA_00845	K06890
EHJIHHIA_00846	K03453
EHJIHHIA_00849	K09793
EHJIHHIA_00850	K08289
EHJIHHIA_00854	K00891
EHJIHHIA_00856	K01246
EHJIHHIA_00858	K03100
EHJIHHIA_00859	K00215
EHJIHHIA_00861	K03497
EHJIHHIA_00862	K03496
EHJIHHIA_00864	K01934
EHJIHHIA_00868	K03070
EHJIHHIA_00870	K03270
EHJIHHIA_00871	K00819
EHJIHHIA_00873	K00783
EHJIHHIA_00875	K03593
EHJIHHIA_00878	K00793
EHJIHHIA_00880	K00873
EHJIHHIA_00886	K02612
EHJIHHIA_00887	K02611
EHJIHHIA_00888	K02610
EHJIHHIA_00889	K02609
EHJIHHIA_00890	K02613
EHJIHHIA_00891	K02613
EHJIHHIA_00892	K00059
EHJIHHIA_00895	K02503
EHJIHHIA_00896	K03624
EHJIHHIA_00900	K01468
EHJIHHIA_00905	K02528
EHJIHHIA_00908	K00969
EHJIHHIA_00909	K00942
EHJIHHIA_00912	K02557
EHJIHHIA_00918	K03168
EHJIHHIA_00919	K23677
EHJIHHIA_00923	K14645
EHJIHHIA_00925	K03305
EHJIHHIA_00929	K03439
EHJIHHIA_00930	K02435
EHJIHHIA_00931	K00655
EHJIHHIA_00932	K01867
EHJIHHIA_00935	K06207
EHJIHHIA_00936	K05592
EHJIHHIA_00938	K08602
EHJIHHIA_00941	K14645
EHJIHHIA_00946	K08307
EHJIHHIA_00947	K00927
EHJIHHIA_00951	K01081
EHJIHHIA_00955	K07004
EHJIHHIA_00956	K01278
EHJIHHIA_00958	K19302
EHJIHHIA_00959	K06199
EHJIHHIA_00960	K09797
EHJIHHIA_00961	K03392
EHJIHHIA_00963	K01791
EHJIHHIA_00968	K00259
EHJIHHIA_00969	K06925
EHJIHHIA_00970	K03269
EHJIHHIA_00973	K02434
EHJIHHIA_00974	K03783
EHJIHHIA_00975	K00912
EHJIHHIA_00982	K03978
EHJIHHIA_00984	K01869
EHJIHHIA_00989	K08307
EHJIHHIA_00990	K02433
EHJIHHIA_00992	K01876
EHJIHHIA_01003	K03405
EHJIHHIA_01004	K07114
EHJIHHIA_01011	K01585
EHJIHHIA_01012	K01480
EHJIHHIA_01017	K03442
EHJIHHIA_01021	K09966
EHJIHHIA_01026	K03932
EHJIHHIA_01033	K00161
