JJHLBNLN_00006	K22041
JJHLBNLN_00008	K03086
JJHLBNLN_00009	K02316
JJHLBNLN_00010	K09117
JJHLBNLN_00011	K02970
JJHLBNLN_00012	K01409
JJHLBNLN_00013	K01633
JJHLBNLN_00014	K13941
JJHLBNLN_00015	K00059
JJHLBNLN_00016	K00974
JJHLBNLN_00017	K01525
JJHLBNLN_00018	K06195
JJHLBNLN_00019	K02528
JJHLBNLN_00020	K00097
JJHLBNLN_00022	K04744
JJHLBNLN_00023	K07102
JJHLBNLN_00024	K00992
JJHLBNLN_00025	K05801
JJHLBNLN_00026	K01783
JJHLBNLN_00027	K01657
JJHLBNLN_00028	K12119
JJHLBNLN_00029	K01658
JJHLBNLN_00030	K00766
JJHLBNLN_00031	K01609
JJHLBNLN_00032	K10914
JJHLBNLN_00033	K07397
JJHLBNLN_00035	K01945
JJHLBNLN_00036	K00602
JJHLBNLN_00037	K03557
JJHLBNLN_00038	K05540
JJHLBNLN_00040	K02687
JJHLBNLN_00041	K01961
JJHLBNLN_00042	K02160
JJHLBNLN_00043	K03786
JJHLBNLN_00044	K04084
JJHLBNLN_00045	K00647
JJHLBNLN_00046	K01716
JJHLBNLN_00047	K00971
JJHLBNLN_00048	K00963
JJHLBNLN_00049	K01840
JJHLBNLN_00051	K01810
JJHLBNLN_00053	K01923
JJHLBNLN_00056	K03310
JJHLBNLN_00057	K07783
JJHLBNLN_00060	K15866
JJHLBNLN_00061	K01796
JJHLBNLN_00062	K08683
JJHLBNLN_00063	K00626
JJHLBNLN_00066	K00666
JJHLBNLN_00072	K06888
JJHLBNLN_00074	K12410
JJHLBNLN_00075	K03564
JJHLBNLN_00076	K13703
JJHLBNLN_00077	K03474
JJHLBNLN_00080	K10804
JJHLBNLN_00081	K02003
JJHLBNLN_00082	K02004
JJHLBNLN_00084	K00275
JJHLBNLN_00085	K21071
JJHLBNLN_00086	K03186
JJHLBNLN_00087	K00065
JJHLBNLN_00088	K11927
JJHLBNLN_00090	K02558
JJHLBNLN_00092	K09626
JJHLBNLN_00094	K11187
JJHLBNLN_00095	K14445
JJHLBNLN_00098	K02014
JJHLBNLN_00102	K03704
JJHLBNLN_00103	K01301
JJHLBNLN_00105	K00128
JJHLBNLN_00112	K02012
JJHLBNLN_00113	K02011
JJHLBNLN_00114	K11072
JJHLBNLN_00119	K01011
JJHLBNLN_00120	K07146
JJHLBNLN_00126	K09941
JJHLBNLN_00127	K05592
JJHLBNLN_00128	K03307
JJHLBNLN_00130	K12035
JJHLBNLN_00131	K03767
JJHLBNLN_00135	K03088
JJHLBNLN_00138	K08151
JJHLBNLN_00146	K00134
JJHLBNLN_00147	K00346
JJHLBNLN_00148	K00347
JJHLBNLN_00149	K00348
JJHLBNLN_00150	K00349
JJHLBNLN_00151	K00350
JJHLBNLN_00152	K00351
JJHLBNLN_00153	K03734
JJHLBNLN_00155	K00322
JJHLBNLN_00157	K00330
JJHLBNLN_00158	K00331
JJHLBNLN_00159	K13378
JJHLBNLN_00160	K00334
JJHLBNLN_00161	K00335
JJHLBNLN_00162	K00336
JJHLBNLN_00163	K00337
JJHLBNLN_00164	K00338
JJHLBNLN_00165	K00339
JJHLBNLN_00166	K00340
JJHLBNLN_00167	K00341
JJHLBNLN_00168	K00342
JJHLBNLN_00169	K00343
JJHLBNLN_00170	K00057
JJHLBNLN_00174	K01495
JJHLBNLN_00175	K07320
JJHLBNLN_00176	K01736
JJHLBNLN_00177	K01703
JJHLBNLN_00178	K01704
JJHLBNLN_00179	K00133
JJHLBNLN_00181	K06173
JJHLBNLN_00182	K01817
JJHLBNLN_00183	K01696
JJHLBNLN_00184	K01695
JJHLBNLN_00185	K01963
JJHLBNLN_00186	K11754
JJHLBNLN_00189	K00764
JJHLBNLN_00190	K03113
