OMKMCGPO_00010	K02387
OMKMCGPO_00011	K02388
OMKMCGPO_00013	K02390
OMKMCGPO_00015	K02392
OMKMCGPO_00017	K02394
OMKMCGPO_00018	K02395
OMKMCGPO_00019	K02396
OMKMCGPO_00020	K02397
OMKMCGPO_00021	K02407
OMKMCGPO_00022	K02687
OMKMCGPO_00023	K01961
OMKMCGPO_00024	K02160
OMKMCGPO_00025	K03786
OMKMCGPO_00026	K05540
OMKMCGPO_00027	K03557
OMKMCGPO_00028	K00602
OMKMCGPO_00029	K01945
OMKMCGPO_00031	K07397
OMKMCGPO_00032	K01609
OMKMCGPO_00033	K00766
OMKMCGPO_00034	K00615
OMKMCGPO_00035	K00134
OMKMCGPO_00036	K00927
OMKMCGPO_00037	K01624
OMKMCGPO_00038	K01754
OMKMCGPO_00039	K01934
OMKMCGPO_00044	K01262
OMKMCGPO_00045	K03185
OMKMCGPO_00046	K06126
OMKMCGPO_00047	K02437
OMKMCGPO_00049	K08311
OMKMCGPO_00050	K08484
OMKMCGPO_00051	K13292
OMKMCGPO_00052	K00560
OMKMCGPO_00053	K00287
OMKMCGPO_00055	K03561
OMKMCGPO_00061	K03704
OMKMCGPO_00062	K00873
OMKMCGPO_00066	K10716
OMKMCGPO_00068	K07713
OMKMCGPO_00069	K07714
OMKMCGPO_00072	K03500
OMKMCGPO_00073	K03499
OMKMCGPO_00074	K03498
OMKMCGPO_00075	K05801
OMKMCGPO_00077	K01878
OMKMCGPO_00078	K01879
OMKMCGPO_00079	K09760
OMKMCGPO_00080	K02470
OMKMCGPO_00081	K03629
OMKMCGPO_00082	K02338
OMKMCGPO_00083	K02313
OMKMCGPO_00085	K03217
OMKMCGPO_00086	K03650
OMKMCGPO_00087	K03495
OMKMCGPO_00088	K03501
OMKMCGPO_00089	K03496
OMKMCGPO_00090	K03497
OMKMCGPO_00092	K02108
OMKMCGPO_00093	K02110
OMKMCGPO_00094	K02109
OMKMCGPO_00095	K02113
OMKMCGPO_00096	K02111
OMKMCGPO_00097	K02115
OMKMCGPO_00098	K02112
OMKMCGPO_00099	K02114
OMKMCGPO_00100	K04042
OMKMCGPO_00101	K00820
OMKMCGPO_00104	K09020
OMKMCGPO_00107	K18703
OMKMCGPO_00108	K01473
OMKMCGPO_00109	K01474
OMKMCGPO_00110	K00666
OMKMCGPO_00113	K18702
OMKMCGPO_00114	K18703
OMKMCGPO_00116	K02014
OMKMCGPO_00117	K03594
OMKMCGPO_00118	K04760
OMKMCGPO_00119	K19304
OMKMCGPO_00120	K09791
OMKMCGPO_00121	K02503
OMKMCGPO_00122	K01872
OMKMCGPO_00123	K00666
OMKMCGPO_00124	K00928
OMKMCGPO_00125	K03563
OMKMCGPO_00134	K11407
OMKMCGPO_00137	K17231
OMKMCGPO_00139	K09966
OMKMCGPO_00141	K07112
OMKMCGPO_00143	K03088
OMKMCGPO_00144	K14645
OMKMCGPO_00148	K06204
OMKMCGPO_00149	K01894
OMKMCGPO_00150	K07714
OMKMCGPO_00152	K00970
OMKMCGPO_00153	K00950
OMKMCGPO_00155	K00606
OMKMCGPO_00156	K01918
OMKMCGPO_00157	K14393
OMKMCGPO_00159	K01895
OMKMCGPO_00160	K03315
OMKMCGPO_00161	K00962
OMKMCGPO_00162	K02956
OMKMCGPO_00163	K03177
OMKMCGPO_00164	K02834
OMKMCGPO_00165	K02519
OMKMCGPO_00166	K02600
OMKMCGPO_00167	K09748
OMKMCGPO_00172	K03075
OMKMCGPO_00173	K03431
OMKMCGPO_00174	K00796
OMKMCGPO_00175	K03798
OMKMCGPO_00177	K02427
OMKMCGPO_00178	K07574
OMKMCGPO_00180	K04759
OMKMCGPO_00182	K03624
OMKMCGPO_00183	K01955
OMKMCGPO_00184	K01956
OMKMCGPO_00187	K07107
OMKMCGPO_00188	K13954
OMKMCGPO_00189	K00344
OMKMCGPO_00190	K00626
OMKMCGPO_00191	K12405
OMKMCGPO_00193	K00249
OMKMCGPO_00194	K03719
OMKMCGPO_00198	K02622
OMKMCGPO_00199	K03651
OMKMCGPO_00200	K09920
OMKMCGPO_00201	K12340
OMKMCGPO_00205	K08256
OMKMCGPO_00206	K00973
OMKMCGPO_00207	K01790
OMKMCGPO_00208	K01710
OMKMCGPO_00209	K00067
OMKMCGPO_00211	K00826
OMKMCGPO_00212	K00982
OMKMCGPO_00213	K14682
OMKMCGPO_00214	K01687
OMKMCGPO_00216	K01649
OMKMCGPO_00217	K03719
OMKMCGPO_00221	K03978
OMKMCGPO_00222	K02335
OMKMCGPO_00223	K07152
OMKMCGPO_00227	K02262
OMKMCGPO_00228	K02258
OMKMCGPO_00229	K02274
OMKMCGPO_00230	K02275
OMKMCGPO_00233	K00014
OMKMCGPO_00234	K00228
OMKMCGPO_00235	K07566
OMKMCGPO_00236	K04096
OMKMCGPO_00238	K01462
OMKMCGPO_00239	K00604
OMKMCGPO_00243	K00359
OMKMCGPO_00244	K16046
OMKMCGPO_00245	K08070
OMKMCGPO_00247	K00359
OMKMCGPO_00248	K22443
OMKMCGPO_00250	K00038
OMKMCGPO_00252	K00059
OMKMCGPO_00256	K05708
OMKMCGPO_00258	K00249
OMKMCGPO_00259	K12507
OMKMCGPO_00261	K00249
OMKMCGPO_00262	K00059
OMKMCGPO_00264	K03722
OMKMCGPO_00267	K02968
OMKMCGPO_00270	K01610
OMKMCGPO_00271	K03296
OMKMCGPO_00275	K11187
OMKMCGPO_00276	K14445
OMKMCGPO_00277	K03639
OMKMCGPO_00279	K07161
OMKMCGPO_00280	K02670
OMKMCGPO_00281	K01919
OMKMCGPO_00284	K03772
OMKMCGPO_00286	K03671
OMKMCGPO_00287	K03628
OMKMCGPO_00288	K03182
OMKMCGPO_00292	K01749
OMKMCGPO_00293	K01755
OMKMCGPO_00295	K06202
OMKMCGPO_00296	K01586
OMKMCGPO_00297	K01778
OMKMCGPO_00299	K20862
OMKMCGPO_00300	K04751
OMKMCGPO_00302	K03320
OMKMCGPO_00303	K04751
OMKMCGPO_00305	K07391
OMKMCGPO_00310	K12251
OMKMCGPO_00311	K10536
OMKMCGPO_00312	K14652
OMKMCGPO_00314	K05984
OMKMCGPO_00315	K01669
OMKMCGPO_00317	K08997
OMKMCGPO_00318	K17828
OMKMCGPO_00330	K01724
OMKMCGPO_00331	K00557
OMKMCGPO_00332	K11179
OMKMCGPO_00336	K19416
OMKMCGPO_00340	K01302
OMKMCGPO_00342	K18703
OMKMCGPO_00344	K22303
OMKMCGPO_00347	K01740
OMKMCGPO_00348	K00135
OMKMCGPO_00350	K17285
OMKMCGPO_00351	K00428
OMKMCGPO_00354	K01897
OMKMCGPO_00356	K09941
OMKMCGPO_00357	K00563
OMKMCGPO_00358	K05591
OMKMCGPO_00361	K08300
OMKMCGPO_00362	K06179
OMKMCGPO_00364	K07040
OMKMCGPO_00365	K02911
OMKMCGPO_00366	K00645
OMKMCGPO_00367	K00059
OMKMCGPO_00368	K02078
OMKMCGPO_00369	K09458
OMKMCGPO_00371	K07082
OMKMCGPO_00372	K00943
OMKMCGPO_00373	K02343
OMKMCGPO_00376	K03545
OMKMCGPO_00377	K01358
OMKMCGPO_00378	K03544
OMKMCGPO_00379	K01338
OMKMCGPO_00380	K03530
OMKMCGPO_00383	K00311
OMKMCGPO_00384	K03521
OMKMCGPO_00385	K03522
OMKMCGPO_00386	K11745
OMKMCGPO_00390	K01754
OMKMCGPO_00392	K07400
OMKMCGPO_00393	K01626
OMKMCGPO_00395	K16898
OMKMCGPO_00397	K01069
OMKMCGPO_00399	K03469
OMKMCGPO_00400	K02342
OMKMCGPO_00401	K03314
OMKMCGPO_00402	K03426
OMKMCGPO_00403	K04774
OMKMCGPO_00404	K18059
OMKMCGPO_00405	K17218
OMKMCGPO_00406	K17725
OMKMCGPO_00408	K04763
OMKMCGPO_00409	K00249
OMKMCGPO_00413	K03734
OMKMCGPO_00415	K03797
OMKMCGPO_00416	K01875
OMKMCGPO_00417	K07478
OMKMCGPO_00419	K03466
OMKMCGPO_00420	K00384
OMKMCGPO_00421	K00684
OMKMCGPO_00422	K00685
OMKMCGPO_00423	K02518
OMKMCGPO_00424	K03694
OMKMCGPO_00425	K06891
OMKMCGPO_00426	K00031
OMKMCGPO_00427	K06181
OMKMCGPO_00428	K00566
OMKMCGPO_00430	K01756
OMKMCGPO_00431	K18850
OMKMCGPO_00432	K17758
OMKMCGPO_00433	K07588
OMKMCGPO_00434	K01847
OMKMCGPO_00435	K05606
OMKMCGPO_00436	K01961
OMKMCGPO_00437	K01966
OMKMCGPO_00438	K01665
OMKMCGPO_00439	K13634
OMKMCGPO_00440	K01081
OMKMCGPO_00441	K03310
OMKMCGPO_00442	K05396
OMKMCGPO_00443	K03210
OMKMCGPO_00444	K01142
OMKMCGPO_00447	K01491
OMKMCGPO_00448	K01883
OMKMCGPO_00449	K01886
OMKMCGPO_00450	K03768
OMKMCGPO_00451	K03269
OMKMCGPO_00454	K01682
OMKMCGPO_00455	K10764
OMKMCGPO_00456	K00764
OMKMCGPO_00459	K11754
OMKMCGPO_00460	K01963
OMKMCGPO_00461	K01695
OMKMCGPO_00462	K01696
OMKMCGPO_00463	K01817
OMKMCGPO_00464	K06173
OMKMCGPO_00466	K00133
OMKMCGPO_00467	K00052
OMKMCGPO_00468	K01704
OMKMCGPO_00469	K01703
OMKMCGPO_00470	K12297
OMKMCGPO_00474	K00655
OMKMCGPO_00477	K01253
OMKMCGPO_00481	K03113
OMKMCGPO_00482	K07512
OMKMCGPO_00483	K08309
OMKMCGPO_00484	K01008
OMKMCGPO_00485	K06917
OMKMCGPO_00487	K00799
OMKMCGPO_00488	K05708
OMKMCGPO_00489	K15468
OMKMCGPO_00492	K01952
OMKMCGPO_00493	K03072
OMKMCGPO_00494	K03074
OMKMCGPO_00495	K01092
OMKMCGPO_00496	K15396
OMKMCGPO_00497	K13643
OMKMCGPO_00498	K04487
OMKMCGPO_00499	K04488
OMKMCGPO_00500	K13628
OMKMCGPO_00501	K04082
OMKMCGPO_00502	K04044
OMKMCGPO_00503	K04755
OMKMCGPO_00504	K00940
OMKMCGPO_00505	K06941
OMKMCGPO_00507	K03526
OMKMCGPO_00508	K01892
OMKMCGPO_00511	K03977
OMKMCGPO_00512	K01589
OMKMCGPO_00513	K01588
OMKMCGPO_00514	K01637
OMKMCGPO_00518	K19221
OMKMCGPO_00519	K02014
OMKMCGPO_00520	K09009
OMKMCGPO_00521	K01626
OMKMCGPO_00522	K03442
OMKMCGPO_00527	K03310
OMKMCGPO_00528	K03119
OMKMCGPO_00532	K06972
OMKMCGPO_00533	K22757
OMKMCGPO_00534	K15461
OMKMCGPO_00537	K01897
OMKMCGPO_00538	K03578
OMKMCGPO_00539	K04754
OMKMCGPO_00543	K05539
OMKMCGPO_00547	K00248
OMKMCGPO_00549	K02851
OMKMCGPO_00552	K01591
OMKMCGPO_00553	K19804
OMKMCGPO_00555	K05788
OMKMCGPO_00556	K02945
OMKMCGPO_00557	K00945
OMKMCGPO_00558	K00800
OMKMCGPO_00559	K04517
OMKMCGPO_00560	K14170
OMKMCGPO_00561	K00831
OMKMCGPO_00562	K02469
OMKMCGPO_00563	K12960
OMKMCGPO_00564	K00568
OMKMCGPO_00565	K22292
OMKMCGPO_00567	K06178
OMKMCGPO_00568	K06024
