IIAJCEEM_00001	K03654
IIAJCEEM_00004	K09510
IIAJCEEM_00009	K03832
IIAJCEEM_00015	K00537
IIAJCEEM_00016	K14157
IIAJCEEM_00019	K07259
IIAJCEEM_00024	K00318
IIAJCEEM_00034	K03501
IIAJCEEM_00036	K00773
IIAJCEEM_00037	K11720
IIAJCEEM_00038	K03925
IIAJCEEM_00039	K03438
IIAJCEEM_00041	K03587
IIAJCEEM_00042	K01928
IIAJCEEM_00043	K01000
IIAJCEEM_00044	K01925
IIAJCEEM_00045	K03588
IIAJCEEM_00046	K02563
IIAJCEEM_00047	K01924
IIAJCEEM_00048	K03589
IIAJCEEM_00049	K03590
IIAJCEEM_00050	K03531
IIAJCEEM_00052	K02477
IIAJCEEM_00053	K07704
IIAJCEEM_00067	K07133
IIAJCEEM_00071	K01493
IIAJCEEM_00074	K01921
IIAJCEEM_00075	K00275
IIAJCEEM_00076	K01400
IIAJCEEM_00078	K03686
IIAJCEEM_00081	K01775
IIAJCEEM_00082	K03943
IIAJCEEM_00083	K18331
IIAJCEEM_00084	K00266
IIAJCEEM_00091	K00262
IIAJCEEM_00093	K06199
IIAJCEEM_00098	K00721
IIAJCEEM_00103	K06949
IIAJCEEM_00104	K00954
IIAJCEEM_00105	K03593
IIAJCEEM_00107	K01808
IIAJCEEM_00108	K18929
IIAJCEEM_00109	K01586
IIAJCEEM_00110	K02426
IIAJCEEM_00117	K03470
IIAJCEEM_00119	K11179
IIAJCEEM_00121	K17218
IIAJCEEM_00122	K21562
IIAJCEEM_00123	K01277
IIAJCEEM_00124	K02945
IIAJCEEM_00125	K07568
IIAJCEEM_00126	K02004
IIAJCEEM_00127	K00812
IIAJCEEM_00139	K01784
IIAJCEEM_00142	K01784
IIAJCEEM_00144	K03272
IIAJCEEM_00145	K03271
IIAJCEEM_00147	K01952
IIAJCEEM_00151	K00831
IIAJCEEM_00152	K00058
IIAJCEEM_00156	K16092
IIAJCEEM_00158	K01885
IIAJCEEM_00159	K09913
IIAJCEEM_00170	K01903
IIAJCEEM_00172	K01924
IIAJCEEM_00175	K04567
IIAJCEEM_00179	K02838
