DIPOCFIP_00001	K01654
DIPOCFIP_00004	K00633
DIPOCFIP_00009	K01955
DIPOCFIP_00010	K02914
DIPOCFIP_00013	K00773
DIPOCFIP_00014	K11720
DIPOCFIP_00018	K07139
DIPOCFIP_00022	K01924
DIPOCFIP_00029	K08591
DIPOCFIP_00031	K02687
DIPOCFIP_00032	K01803
DIPOCFIP_00033	K02033
DIPOCFIP_00036	K00796
DIPOCFIP_00037	K18672
DIPOCFIP_00041	K01887
DIPOCFIP_00043	K09608
DIPOCFIP_00044	K01610
DIPOCFIP_00046	K14157
DIPOCFIP_00048	K02959
DIPOCFIP_00049	K00167
DIPOCFIP_00050	K07106
DIPOCFIP_00054	K00826
DIPOCFIP_00060	K09966
DIPOCFIP_00062	K03932
DIPOCFIP_00063	K02005
DIPOCFIP_00064	K00948
DIPOCFIP_00065	K02897
DIPOCFIP_00066	K01056
DIPOCFIP_00070	K05606
DIPOCFIP_00071	K20866
DIPOCFIP_00077	K01142
DIPOCFIP_00085	K15734
DIPOCFIP_00086	K00128
DIPOCFIP_00090	K01424
DIPOCFIP_00091	K03424
DIPOCFIP_00095	K00979
DIPOCFIP_00101	K00954
DIPOCFIP_00105	K02428
DIPOCFIP_00106	K00783
DIPOCFIP_00107	K00767
DIPOCFIP_00108	K07058
DIPOCFIP_00110	K01784
DIPOCFIP_00113	K17103
DIPOCFIP_00114	K03820
DIPOCFIP_00116	K01916
DIPOCFIP_00119	K03978
DIPOCFIP_00120	K05714
DIPOCFIP_00121	K03925
DIPOCFIP_00122	K03438
DIPOCFIP_00124	K03587
DIPOCFIP_00125	K01928
DIPOCFIP_00126	K01000
DIPOCFIP_00127	K01925
DIPOCFIP_00128	K03588
DIPOCFIP_00129	K02563
DIPOCFIP_00130	K01924
DIPOCFIP_00131	K03589
DIPOCFIP_00132	K03590
DIPOCFIP_00133	K03531
DIPOCFIP_00138	K00428
DIPOCFIP_00141	K18285
DIPOCFIP_00142	K06180
DIPOCFIP_00145	K01921
DIPOCFIP_00147	K18682
DIPOCFIP_00152	K03741
DIPOCFIP_00156	K07713
DIPOCFIP_00157	K06925
DIPOCFIP_00158	K00259
DIPOCFIP_00160	K00318
DIPOCFIP_00164	K00347
DIPOCFIP_00165	K00348
DIPOCFIP_00166	K00349
DIPOCFIP_00167	K00350
DIPOCFIP_00169	K08289
DIPOCFIP_00170	K12340
DIPOCFIP_00171	K02005
DIPOCFIP_00180	K01489
DIPOCFIP_00181	K03655
DIPOCFIP_00183	K03386
DIPOCFIP_00185	K01770
DIPOCFIP_00188	K00088
DIPOCFIP_00191	K02371
DIPOCFIP_00192	K00600
DIPOCFIP_00193	K00951
DIPOCFIP_00194	K03711
DIPOCFIP_00195	K01939
DIPOCFIP_00199	K10026
DIPOCFIP_00203	K01808
DIPOCFIP_00205	K00554
DIPOCFIP_00206	K02884
DIPOCFIP_00210	K02479
DIPOCFIP_00211	K11753
DIPOCFIP_00212	K02112
DIPOCFIP_00214	K00652
DIPOCFIP_00215	K01935
DIPOCFIP_00216	K00833
DIPOCFIP_00217	K09458
DIPOCFIP_00218	K01012
DIPOCFIP_00220	K07560
DIPOCFIP_00221	K06949
DIPOCFIP_00222	K01990
DIPOCFIP_00223	K00297
DIPOCFIP_00224	K00548
DIPOCFIP_00225	K00789
DIPOCFIP_00228	K00382
DIPOCFIP_00231	K00760
DIPOCFIP_00232	K00939
DIPOCFIP_00233	K03979
DIPOCFIP_00234	K19302
DIPOCFIP_00237	K01735
DIPOCFIP_00238	K00800
DIPOCFIP_00239	K07025
DIPOCFIP_00241	K00761
DIPOCFIP_00243	K02968
DIPOCFIP_00246	K01881
DIPOCFIP_00250	K07164
DIPOCFIP_00253	K00912
DIPOCFIP_00255	K02622
DIPOCFIP_00256	K06942
DIPOCFIP_00259	K00615
DIPOCFIP_00260	K00241
DIPOCFIP_00261	K01262
DIPOCFIP_00266	K00946
DIPOCFIP_00267	K19302
DIPOCFIP_00268	K03979
DIPOCFIP_00274	K03561
DIPOCFIP_00280	K02483
DIPOCFIP_00281	K01738
DIPOCFIP_00284	K07133
DIPOCFIP_00285	K03496
DIPOCFIP_00286	K03497
DIPOCFIP_00288	K00215
DIPOCFIP_00289	K03100
DIPOCFIP_00293	K03733
DIPOCFIP_00295	K00248
DIPOCFIP_00296	K00759
DIPOCFIP_00298	K03310
DIPOCFIP_00300	K00067
DIPOCFIP_00301	K01712
DIPOCFIP_00302	K00794
DIPOCFIP_00304	K03629
DIPOCFIP_00306	K03503
DIPOCFIP_00308	K00940
DIPOCFIP_00309	K02428
DIPOCFIP_00311	K03734
DIPOCFIP_00314	K03499
DIPOCFIP_00317	K00819
DIPOCFIP_00318	K06207
DIPOCFIP_00321	K15738
DIPOCFIP_00322	K05592
DIPOCFIP_00330	K03832
DIPOCFIP_00331	K02377
DIPOCFIP_00332	K01711
DIPOCFIP_00336	K03328
DIPOCFIP_00337	K00980
DIPOCFIP_00338	K07037
DIPOCFIP_00339	K00626
DIPOCFIP_00340	K20742
DIPOCFIP_00341	K07478
DIPOCFIP_00344	K01627
DIPOCFIP_00350	K07137
DIPOCFIP_00352	K01890
DIPOCFIP_00353	K12368
DIPOCFIP_00355	K18707
