LKDOMNOO_00001	K06134
LKDOMNOO_00002	K00058
LKDOMNOO_00008	K07001
LKDOMNOO_00013	K01591
LKDOMNOO_00014	K19804
LKDOMNOO_00016	K05788
LKDOMNOO_00017	K02945
LKDOMNOO_00018	K00945
LKDOMNOO_00019	K00800
LKDOMNOO_00020	K04517
LKDOMNOO_00021	K14170
LKDOMNOO_00022	K00831
LKDOMNOO_00023	K02469
LKDOMNOO_00024	K12960
LKDOMNOO_00025	K00568
LKDOMNOO_00026	K22292
LKDOMNOO_00028	K06178
LKDOMNOO_00029	K06024
LKDOMNOO_00030	K05896
LKDOMNOO_00032	K07053
LKDOMNOO_00033	K06190
LKDOMNOO_00035	K03767
LKDOMNOO_00036	K03474
LKDOMNOO_00037	K06180
LKDOMNOO_00039	K14441
LKDOMNOO_00041	K07304
LKDOMNOO_00045	K03799
LKDOMNOO_00047	K03310
LKDOMNOO_00048	K03308
LKDOMNOO_00057	K02456
LKDOMNOO_00058	K02455
LKDOMNOO_00059	K02454
LKDOMNOO_00061	K03306
LKDOMNOO_00064	K00031
LKDOMNOO_00067	K19802
LKDOMNOO_00070	K01784
LKDOMNOO_00071	K12308
LKDOMNOO_00072	K00849
LKDOMNOO_00073	K00965
LKDOMNOO_00074	K07407
LKDOMNOO_00075	K03307
LKDOMNOO_00076	K03119
LKDOMNOO_00078	K18702
LKDOMNOO_00079	K01588
LKDOMNOO_00080	K01589
LKDOMNOO_00082	K03321
LKDOMNOO_00083	K04761
LKDOMNOO_00085	K03809
LKDOMNOO_00087	K04773
LKDOMNOO_00090	K01714
LKDOMNOO_00096	K15984
LKDOMNOO_00098	K01439
LKDOMNOO_00099	K00674
LKDOMNOO_00101	K10773
LKDOMNOO_00102	K14267
LKDOMNOO_00103	K00990
LKDOMNOO_00104	K01265
LKDOMNOO_00105	K02967
LKDOMNOO_00106	K07709
LKDOMNOO_00107	K01113
LKDOMNOO_00109	K05539
LKDOMNOO_00110	K00616
LKDOMNOO_00113	K04754
LKDOMNOO_00114	K03578
LKDOMNOO_00115	K01897
LKDOMNOO_00121	K19221
LKDOMNOO_00122	K16089
LKDOMNOO_00124	K01626
LKDOMNOO_00125	K03442
LKDOMNOO_00132	K00274
LKDOMNOO_00136	K08300
LKDOMNOO_00137	K06179
LKDOMNOO_00140	K02911
LKDOMNOO_00141	K00645
LKDOMNOO_00142	K00059
LKDOMNOO_00143	K02078
LKDOMNOO_00144	K09458
LKDOMNOO_00146	K07082
LKDOMNOO_00147	K00943
LKDOMNOO_00148	K02343
LKDOMNOO_00151	K03545
LKDOMNOO_00152	K01358
LKDOMNOO_00153	K03544
LKDOMNOO_00154	K01338
LKDOMNOO_00155	K03530
LKDOMNOO_00158	K00311
LKDOMNOO_00159	K03521
LKDOMNOO_00160	K03522
LKDOMNOO_00161	K01524
LKDOMNOO_00162	K01775
LKDOMNOO_00163	K00824
LKDOMNOO_00164	K22210
LKDOMNOO_00165	K06350
LKDOMNOO_00166	K06351
LKDOMNOO_00167	K07160
LKDOMNOO_00170	K14674
LKDOMNOO_00171	K11729
LKDOMNOO_00172	K01897
LKDOMNOO_00173	K02742
LKDOMNOO_00174	K01692
LKDOMNOO_00176	K03580
LKDOMNOO_00177	K03424
LKDOMNOO_00179	K05798
LKDOMNOO_00182	K03704
LKDOMNOO_00183	K03704
LKDOMNOO_00184	K01873
LKDOMNOO_00186	K01255
LKDOMNOO_00188	K11720
LKDOMNOO_00191	K22066
LKDOMNOO_00194	K01069
LKDOMNOO_00196	K03469
LKDOMNOO_00197	K02342
LKDOMNOO_00198	K03314
LKDOMNOO_00199	K03426
LKDOMNOO_00200	K04774
LKDOMNOO_00202	K18059
LKDOMNOO_00203	K17218
LKDOMNOO_00204	K17725
LKDOMNOO_00208	K03797
LKDOMNOO_00209	K01875
LKDOMNOO_00210	K06199
LKDOMNOO_00211	K07478
LKDOMNOO_00216	K00958
LKDOMNOO_00217	K00860
LKDOMNOO_00220	K03321
LKDOMNOO_00223	K15549
LKDOMNOO_00226	K03929
LKDOMNOO_00227	K00876
LKDOMNOO_00228	K00432
LKDOMNOO_00233	K21064
LKDOMNOO_00235	K00113
LKDOMNOO_00237	K04761
LKDOMNOO_00239	K00821
LKDOMNOO_00241	K00249
LKDOMNOO_00242	K00059
LKDOMNOO_00244	K03312
LKDOMNOO_00245	K01425
LKDOMNOO_00247	K00784
LKDOMNOO_00248	K01438
LKDOMNOO_00251	K00222
LKDOMNOO_00252	K07124
LKDOMNOO_00254	K06206
LKDOMNOO_00256	K01507
LKDOMNOO_00257	K21071
LKDOMNOO_00258	K02558
LKDOMNOO_00259	K07003
LKDOMNOO_00260	K06940
LKDOMNOO_00263	K03683
LKDOMNOO_00264	K01465
LKDOMNOO_00265	K01940
LKDOMNOO_00266	K10215
LKDOMNOO_00270	K14162
LKDOMNOO_00271	K03098
LKDOMNOO_00277	K02340
LKDOMNOO_00279	K01869
LKDOMNOO_00280	K03820
LKDOMNOO_00281	K06189
LKDOMNOO_00282	K07042
LKDOMNOO_00283	K06217
LKDOMNOO_00284	K06168
LKDOMNOO_00286	K01338
LKDOMNOO_00287	K15257
LKDOMNOO_00288	K00813
LKDOMNOO_00289	K15738
LKDOMNOO_00290	K02259
LKDOMNOO_00291	K06147
LKDOMNOO_00293	K02479
LKDOMNOO_00295	K00128
LKDOMNOO_00297	K23256
LKDOMNOO_00301	K02031
LKDOMNOO_00302	K15582
LKDOMNOO_00303	K15581
LKDOMNOO_00304	K15580
LKDOMNOO_00305	K01885
LKDOMNOO_00312	K12663
LKDOMNOO_00313	K01273
LKDOMNOO_00316	K15918
LKDOMNOO_00317	K15781
LKDOMNOO_00318	K00631
LKDOMNOO_00319	K00057
LKDOMNOO_00321	K02168
LKDOMNOO_00322	K13288
LKDOMNOO_00323	K18979
LKDOMNOO_00324	K06925
LKDOMNOO_00325	K01448
LKDOMNOO_00326	K03572
LKDOMNOO_00327	K00791
LKDOMNOO_00328	K03666
LKDOMNOO_00329	K03665
LKDOMNOO_00330	K04088
LKDOMNOO_00331	K04087
LKDOMNOO_00332	K02502
LKDOMNOO_00333	K01939
LKDOMNOO_00336	K03799
LKDOMNOO_00337	K03744
LKDOMNOO_00338	K11166
LKDOMNOO_00339	K02491
LKDOMNOO_00341	K07675
LKDOMNOO_00342	K02479
LKDOMNOO_00343	K03553
LKDOMNOO_00344	K03555
LKDOMNOO_00345	K05524
LKDOMNOO_00346	K06194
LKDOMNOO_00348	K00573
LKDOMNOO_00349	K01770
LKDOMNOO_00350	K00991
LKDOMNOO_00353	K01689
LKDOMNOO_00354	K01627
LKDOMNOO_00355	K01937
LKDOMNOO_00356	K04075
LKDOMNOO_00357	K01962
LKDOMNOO_00358	K05541
LKDOMNOO_00359	K03305
LKDOMNOO_00360	K03296
LKDOMNOO_00362	K01495
LKDOMNOO_00364	K00681
LKDOMNOO_00365	K00020
LKDOMNOO_00369	K09160
LKDOMNOO_00370	K07402
LKDOMNOO_00373	K00059
LKDOMNOO_00374	K13483
LKDOMNOO_00375	K07303
LKDOMNOO_00377	K01796
LKDOMNOO_00379	K00219
LKDOMNOO_00380	K07116
LKDOMNOO_00388	K01563
LKDOMNOO_00389	K00547
LKDOMNOO_00394	K00059
LKDOMNOO_00398	K01738
LKDOMNOO_00403	K18622
LKDOMNOO_00404	K01897
LKDOMNOO_00409	K00666
LKDOMNOO_00412	K01848
LKDOMNOO_00413	K01849
LKDOMNOO_00414	K07588
LKDOMNOO_00415	K01692
LKDOMNOO_00416	K22696
LKDOMNOO_00417	K22696
LKDOMNOO_00420	K01556
LKDOMNOO_00423	K06132
LKDOMNOO_00424	K00657
LKDOMNOO_00425	K09964
LKDOMNOO_00426	K11927
LKDOMNOO_00428	K03119
LKDOMNOO_00430	K00315
LKDOMNOO_00431	K17509
LKDOMNOO_00434	K01436
LKDOMNOO_00444	K11209
LKDOMNOO_00446	K07552
LKDOMNOO_00447	K01593
LKDOMNOO_00451	K09781
LKDOMNOO_00452	K00937
LKDOMNOO_00453	K14055
LKDOMNOO_00456	K03970
LKDOMNOO_00457	K03969
LKDOMNOO_00459	K03974
LKDOMNOO_00460	K00135
LKDOMNOO_00461	K18912
LKDOMNOO_00462	K18911
LKDOMNOO_00463	K16871
LKDOMNOO_00467	K13789
LKDOMNOO_00475	K00864
LKDOMNOO_00476	K00128
LKDOMNOO_00479	K01951
LKDOMNOO_00482	K01692
LKDOMNOO_00486	K00059
LKDOMNOO_00494	K00901
LKDOMNOO_00495	K00351
LKDOMNOO_00496	K03734
LKDOMNOO_00498	K09808
LKDOMNOO_00499	K09810
LKDOMNOO_00500	K09808
LKDOMNOO_00502	K02238
LKDOMNOO_00503	K03561
LKDOMNOO_00505	K11085
LKDOMNOO_00506	K00912
LKDOMNOO_00507	K00979
LKDOMNOO_00508	K00075
LKDOMNOO_00509	K03703
LKDOMNOO_00510	K00995
LKDOMNOO_00517	K11717
LKDOMNOO_00518	K17509
LKDOMNOO_00521	K03315
LKDOMNOO_00524	K18933
LKDOMNOO_00528	K03271
LKDOMNOO_00529	K03273
LKDOMNOO_00530	K03272
LKDOMNOO_00535	K12119
LKDOMNOO_00536	K11414
LKDOMNOO_00537	K07071
LKDOMNOO_00538	K03086
LKDOMNOO_00541	K03308
LKDOMNOO_00545	K21310
LKDOMNOO_00551	K23016
LKDOMNOO_00552	K00059
LKDOMNOO_00553	K02014
LKDOMNOO_00556	K00666
LKDOMNOO_00562	K07718
LKDOMNOO_00563	K02477
LKDOMNOO_00567	K01724
LKDOMNOO_00568	K00557
LKDOMNOO_00569	K11179
LKDOMNOO_00573	K19416
LKDOMNOO_00575	K01302
LKDOMNOO_00578	K01322
LKDOMNOO_00579	K00817
LKDOMNOO_00580	K03797
LKDOMNOO_00581	K01070
LKDOMNOO_00582	K00121
LKDOMNOO_00583	K22820
LKDOMNOO_00585	K02510
LKDOMNOO_00586	K02509
LKDOMNOO_00589	K00151
LKDOMNOO_00592	K02616
LKDOMNOO_00593	K01912
LKDOMNOO_00594	K16089
LKDOMNOO_00597	K02433
LKDOMNOO_00598	K02618
LKDOMNOO_00599	K15866
LKDOMNOO_00600	K02614
LKDOMNOO_00601	K02615
LKDOMNOO_00602	K02609
LKDOMNOO_00603	K02610
LKDOMNOO_00604	K02611
LKDOMNOO_00605	K02612
LKDOMNOO_00606	K02613
LKDOMNOO_00608	K14393
LKDOMNOO_00609	K00128
LKDOMNOO_00617	K16090
LKDOMNOO_00619	K01426
LKDOMNOO_00620	K11407
LKDOMNOO_00621	K02106
LKDOMNOO_00622	K02433
LKDOMNOO_00624	K01682
LKDOMNOO_00627	K03269
LKDOMNOO_00629	K09801
LKDOMNOO_00631	K03711
LKDOMNOO_00632	K03631
LKDOMNOO_00633	K03705
LKDOMNOO_00634	K03687
LKDOMNOO_00635	K04043
LKDOMNOO_00636	K03686
LKDOMNOO_00637	K00215
LKDOMNOO_00638	K05838
LKDOMNOO_00640	K00248
LKDOMNOO_00641	K00906
LKDOMNOO_00644	K10805
LKDOMNOO_00646	K05607
LKDOMNOO_00649	K17734
LKDOMNOO_00651	K03517
LKDOMNOO_00652	K01423
LKDOMNOO_00654	K03548
LKDOMNOO_00655	K09760
LKDOMNOO_00660	K00857
LKDOMNOO_00662	K01284
LKDOMNOO_00667	K07306
LKDOMNOO_00668	K03644
LKDOMNOO_00670	K00858
LKDOMNOO_00671	K02441
LKDOMNOO_00674	K01256
LKDOMNOO_00675	K07814
LKDOMNOO_00676	K02483
LKDOMNOO_00679	K07114
LKDOMNOO_00682	K03924
LKDOMNOO_00687	K00059
LKDOMNOO_00696	K03307
LKDOMNOO_00697	K05349
LKDOMNOO_00699	K18055
LKDOMNOO_00705	K06020
LKDOMNOO_00706	K04485
LKDOMNOO_00708	K03782
LKDOMNOO_00714	K03639
LKDOMNOO_00716	K06861
LKDOMNOO_00717	K00249
LKDOMNOO_00719	K00059
LKDOMNOO_00720	K00626
LKDOMNOO_00721	K00344
LKDOMNOO_00722	K13954
LKDOMNOO_00723	K07107
LKDOMNOO_00724	K08151
LKDOMNOO_00725	K01956
LKDOMNOO_00726	K01955
LKDOMNOO_00727	K03624
LKDOMNOO_00729	K04759
LKDOMNOO_00730	K07574
LKDOMNOO_00731	K02427
LKDOMNOO_00732	K03798
LKDOMNOO_00733	K00796
LKDOMNOO_00734	K03431
LKDOMNOO_00735	K01803
LKDOMNOO_00736	K03075
LKDOMNOO_00739	K09748
LKDOMNOO_00740	K02600
LKDOMNOO_00741	K02519
LKDOMNOO_00742	K02834
LKDOMNOO_00743	K03177
LKDOMNOO_00744	K02956
LKDOMNOO_00745	K00962
LKDOMNOO_00746	K01895
LKDOMNOO_00748	K14393
LKDOMNOO_00750	K01918
LKDOMNOO_00751	K00606
LKDOMNOO_00753	K00950
LKDOMNOO_00754	K00970
LKDOMNOO_00755	K07713
LKDOMNOO_00756	K01894
LKDOMNOO_00758	K10806
LKDOMNOO_00760	K03657
LKDOMNOO_00765	K00820
LKDOMNOO_00772	K00077
LKDOMNOO_00773	K08884
LKDOMNOO_00774	K07713
LKDOMNOO_00776	K03806
LKDOMNOO_00777	K00767
LKDOMNOO_00778	K02553
LKDOMNOO_00780	K05798
LKDOMNOO_00781	K01638
LKDOMNOO_00782	K00259
LKDOMNOO_00783	K03719
LKDOMNOO_00790	K05592
LKDOMNOO_00793	K01069
LKDOMNOO_00794	K11102
LKDOMNOO_00796	K01207
LKDOMNOO_00797	K01866
LKDOMNOO_00798	K19304
LKDOMNOO_00799	K03590
LKDOMNOO_00800	K03589
LKDOMNOO_00801	K01921
LKDOMNOO_00802	K01924
LKDOMNOO_00803	K02563
LKDOMNOO_00804	K03588
LKDOMNOO_00806	K03655
LKDOMNOO_00808	K09022
LKDOMNOO_00809	K01139
LKDOMNOO_00810	K03060
LKDOMNOO_00811	K00942
LKDOMNOO_00813	K00989
LKDOMNOO_00814	K01142
LKDOMNOO_00815	K00762
LKDOMNOO_00817	K05501
LKDOMNOO_00818	K00930
LKDOMNOO_00819	K01835
LKDOMNOO_00820	K13038
LKDOMNOO_00821	K03630
LKDOMNOO_00822	K02902
LKDOMNOO_00823	K02913
LKDOMNOO_00824	K10563
LKDOMNOO_00825	K00954
LKDOMNOO_00826	K08316
LKDOMNOO_00827	K03110
LKDOMNOO_00828	K09812
LKDOMNOO_00829	K09811
LKDOMNOO_00830	K03089
LKDOMNOO_00832	K03439
LKDOMNOO_00834	K02428
LKDOMNOO_00837	K00641
LKDOMNOO_00838	K02221
LKDOMNOO_00839	K00286
LKDOMNOO_00840	K06997
LKDOMNOO_00846	K01692
LKDOMNOO_00847	K09768
LKDOMNOO_00850	K06147
LKDOMNOO_00851	K06158
LKDOMNOO_00852	K00830
LKDOMNOO_00853	K21552
LKDOMNOO_00855	K01908
LKDOMNOO_00856	K02371
LKDOMNOO_00860	K04773
LKDOMNOO_00864	K07729
LKDOMNOO_00876	K07386
LKDOMNOO_00878	K07710
LKDOMNOO_00882	K02823
LKDOMNOO_00888	K02343
LKDOMNOO_00889	K09747
LKDOMNOO_00890	K06187
LKDOMNOO_00891	K03684
LKDOMNOO_00900	K03168
LKDOMNOO_00903	K01356
LKDOMNOO_00904	K16052
LKDOMNOO_00906	K03723
LKDOMNOO_00907	K00134
LKDOMNOO_00908	K00346
LKDOMNOO_00909	K00347
LKDOMNOO_00910	K00348
LKDOMNOO_00912	K01262
LKDOMNOO_00917	K01754
LKDOMNOO_00918	K00615
LKDOMNOO_00919	K00134
LKDOMNOO_00920	K00927
LKDOMNOO_00922	K02491
LKDOMNOO_00932	K06176
LKDOMNOO_00934	K03215
LKDOMNOO_00935	K06917
LKDOMNOO_00936	K01008
LKDOMNOO_00937	K08309
LKDOMNOO_00938	K07512
LKDOMNOO_00939	K03113
LKDOMNOO_00942	K11729
LKDOMNOO_00945	K06988
LKDOMNOO_00946	K12234
LKDOMNOO_00947	K11212
LKDOMNOO_00949	K11779
LKDOMNOO_00957	K00249
LKDOMNOO_00958	K00059
LKDOMNOO_00959	K11729
LKDOMNOO_00960	K00666
LKDOMNOO_00962	K02170
LKDOMNOO_00963	K15510
LKDOMNOO_00965	K00359
LKDOMNOO_00967	K05708
LKDOMNOO_00968	K00059
LKDOMNOO_00971	K12507
LKDOMNOO_00973	K00249
LKDOMNOO_00977	K05708
LKDOMNOO_00978	K00632
LKDOMNOO_00981	K00059
LKDOMNOO_00982	K00059
LKDOMNOO_00984	K00038
LKDOMNOO_00985	K22443
LKDOMNOO_00986	K00359
LKDOMNOO_00988	K00059
LKDOMNOO_00991	K00359
LKDOMNOO_00995	K01897
LKDOMNOO_01000	K22443
LKDOMNOO_01002	K11209
LKDOMNOO_01004	K00059
LKDOMNOO_01006	K21416
LKDOMNOO_01007	K00162
LKDOMNOO_01009	K00627
LKDOMNOO_01011	K00117
LKDOMNOO_01018	K00655
LKDOMNOO_01023	K12297
LKDOMNOO_01024	K01703
LKDOMNOO_01025	K01704
LKDOMNOO_01026	K00052
LKDOMNOO_01027	K00133
LKDOMNOO_01029	K06173
LKDOMNOO_01030	K01817
LKDOMNOO_01031	K01696
LKDOMNOO_01032	K01695
LKDOMNOO_01033	K01963
LKDOMNOO_01034	K11754
LKDOMNOO_01037	K00764
LKDOMNOO_01038	K10764
LKDOMNOO_01039	K03924
LKDOMNOO_01042	K00252
LKDOMNOO_01044	K05708
LKDOMNOO_01045	K00059
LKDOMNOO_01048	K01897
LKDOMNOO_01049	K07516
LKDOMNOO_01056	K00179
LKDOMNOO_01061	K18980
LKDOMNOO_01062	K00799
LKDOMNOO_01063	K00101
LKDOMNOO_01064	K00248
LKDOMNOO_01065	K15866
LKDOMNOO_01066	K00059
LKDOMNOO_01067	K00354
LKDOMNOO_01069	K00219
LKDOMNOO_01071	K00059
LKDOMNOO_01072	K16092
LKDOMNOO_01077	K08745
LKDOMNOO_01080	K00249
LKDOMNOO_01087	K00674
LKDOMNOO_01089	K00640
LKDOMNOO_01090	K01599
LKDOMNOO_01091	K00266
LKDOMNOO_01092	K00265
LKDOMNOO_01093	K01735
LKDOMNOO_01094	K00891
LKDOMNOO_01095	K02666
LKDOMNOO_01099	K02662
LKDOMNOO_01100	K05366
LKDOMNOO_01101	K00029
LKDOMNOO_01102	K02909
LKDOMNOO_01103	K04066
LKDOMNOO_01104	K01887
LKDOMNOO_01106	K01419
LKDOMNOO_01107	K03667
LKDOMNOO_01109	K03183
LKDOMNOO_01111	K03688
LKDOMNOO_01112	K11755
LKDOMNOO_01113	K01523
LKDOMNOO_01114	K03116
LKDOMNOO_01116	K03118
LKDOMNOO_01119	K12343
LKDOMNOO_01122	K10680
LKDOMNOO_01127	K00059
LKDOMNOO_01128	K00059
LKDOMNOO_01129	K00059
LKDOMNOO_01131	K00666
LKDOMNOO_01133	K01692
LKDOMNOO_01137	K16050
LKDOMNOO_01139	K16049
LKDOMNOO_01140	K18687
LKDOMNOO_01143	K01692
LKDOMNOO_01146	K00626
