DLIKLKCP_00002	K06178
DLIKLKCP_00003	K01847
DLIKLKCP_00006	K22696
DLIKLKCP_00007	K22696
DLIKLKCP_00009	K00280
DLIKLKCP_00012	K01620
DLIKLKCP_00014	K09861
DLIKLKCP_00015	K03773
DLIKLKCP_00017	K14652
DLIKLKCP_00019	K16211
DLIKLKCP_00021	K01810
DLIKLKCP_00022	K01624
DLIKLKCP_00024	K01462
DLIKLKCP_00025	K14652
DLIKLKCP_00026	K02909
DLIKLKCP_00029	K04763
DLIKLKCP_00032	K01894
DLIKLKCP_00034	K07098
DLIKLKCP_00035	K02013
DLIKLKCP_00036	K02015
DLIKLKCP_00037	K02016
DLIKLKCP_00041	K16089
DLIKLKCP_00046	K21572
DLIKLKCP_00049	K01246
DLIKLKCP_00051	K08289
DLIKLKCP_00053	K00491
DLIKLKCP_00054	K09760
DLIKLKCP_00059	K03321
DLIKLKCP_00065	K10106
DLIKLKCP_00069	K03639
DLIKLKCP_00077	K17103
DLIKLKCP_00080	K00927
DLIKLKCP_00081	K01880
DLIKLKCP_00082	K00057
DLIKLKCP_00085	K20866
DLIKLKCP_00087	K01354
DLIKLKCP_00088	K00979
DLIKLKCP_00090	K04096
DLIKLKCP_00092	K11749
DLIKLKCP_00093	K05366
DLIKLKCP_00094	K01028
DLIKLKCP_00095	K01029
DLIKLKCP_00096	K01885
DLIKLKCP_00097	K03111
DLIKLKCP_00099	K00239
DLIKLKCP_00100	K00240
DLIKLKCP_00103	K02337
DLIKLKCP_00105	K02346
DLIKLKCP_00108	K22074
DLIKLKCP_00111	K01867
DLIKLKCP_00114	K02945
DLIKLKCP_00115	K02825
DLIKLKCP_00116	K00609
DLIKLKCP_00120	K00784
DLIKLKCP_00121	K02479
DLIKLKCP_00122	K00826
DLIKLKCP_00124	K07304
DLIKLKCP_00127	K01714
DLIKLKCP_00128	K00615
DLIKLKCP_00130	K00615
DLIKLKCP_00131	K06942
DLIKLKCP_00135	K03696
DLIKLKCP_00136	K02469
DLIKLKCP_00140	K03932
DLIKLKCP_00147	K02238
DLIKLKCP_00149	K01640
DLIKLKCP_00154	K21396
DLIKLKCP_00156	K03086
DLIKLKCP_00157	K00962
DLIKLKCP_00158	K02956
DLIKLKCP_00159	K01963
DLIKLKCP_00161	K03437
DLIKLKCP_00163	K02198
DLIKLKCP_00165	K03270
DLIKLKCP_00166	K03217
DLIKLKCP_00169	K01595
DLIKLKCP_00170	K00554
DLIKLKCP_00171	K02884
DLIKLKCP_00172	K13990
DLIKLKCP_00173	K01468
DLIKLKCP_00174	K01736
DLIKLKCP_00175	K11102
DLIKLKCP_00176	K16191
DLIKLKCP_00180	K02470
DLIKLKCP_00181	K11166
DLIKLKCP_00182	K02005
DLIKLKCP_00183	K02004
DLIKLKCP_00184	K02004
DLIKLKCP_00185	K02003
DLIKLKCP_00186	K01745
DLIKLKCP_00188	K09812
DLIKLKCP_00191	K02342
DLIKLKCP_00192	K00658
DLIKLKCP_00194	K06187
DLIKLKCP_00196	K00812
DLIKLKCP_00197	K03272
DLIKLKCP_00198	K03498
DLIKLKCP_00199	K03183
DLIKLKCP_00200	K00800
DLIKLKCP_00204	K07056
DLIKLKCP_00205	K04485
DLIKLKCP_00208	K03596
DLIKLKCP_00209	K06941
DLIKLKCP_00210	K02477
DLIKLKCP_00212	K03801
DLIKLKCP_00213	K15916
DLIKLKCP_00215	K04567
DLIKLKCP_00217	K00099
DLIKLKCP_00218	K02838
DLIKLKCP_00219	K09903
DLIKLKCP_00220	K02357
DLIKLKCP_00221	K02967
DLIKLKCP_00222	K02996
DLIKLKCP_00223	K02871
DLIKLKCP_00226	K00857
DLIKLKCP_00227	K01775
DLIKLKCP_00228	K03296
DLIKLKCP_00233	K01712
DLIKLKCP_00234	K05396
DLIKLKCP_00235	K00764
DLIKLKCP_00239	K06207
DLIKLKCP_00244	K00684
DLIKLKCP_00248	K02429
DLIKLKCP_00250	K03088
DLIKLKCP_00253	K01338
DLIKLKCP_00255	K00945
DLIKLKCP_00257	K00754
DLIKLKCP_00261	K03786
DLIKLKCP_00262	K14445
DLIKLKCP_00265	K02825
DLIKLKCP_00266	K00891
DLIKLKCP_00267	K01557
DLIKLKCP_00272	K00616
DLIKLKCP_00274	K00573
DLIKLKCP_00276	K19036
DLIKLKCP_00282	K04516
DLIKLKCP_00284	K06147
DLIKLKCP_00285	K01756
DLIKLKCP_00288	K00254
DLIKLKCP_00290	K03664
DLIKLKCP_00291	K01488
DLIKLKCP_00293	K15866
DLIKLKCP_00295	K09761
DLIKLKCP_00296	K01610
DLIKLKCP_00299	K00024
DLIKLKCP_00302	K07478
DLIKLKCP_00303	K02517
DLIKLKCP_00304	K06167
DLIKLKCP_00305	K02887
DLIKLKCP_00306	K02916
DLIKLKCP_00307	K02520
DLIKLKCP_00308	K01868
DLIKLKCP_00311	K03924
DLIKLKCP_00314	K07114
DLIKLKCP_00315	K07114
