ECFPDAKA_00002	K02477
ECFPDAKA_00003	K02478
ECFPDAKA_00004	K06147
ECFPDAKA_00005	K03644
ECFPDAKA_00007	K05396
ECFPDAKA_00009	K00858
ECFPDAKA_00010	K02441
ECFPDAKA_00012	K09916
ECFPDAKA_00014	K01256
ECFPDAKA_00017	K07114
ECFPDAKA_00020	K03924
ECFPDAKA_00021	K15371
ECFPDAKA_00022	K03812
ECFPDAKA_00026	K01897
ECFPDAKA_00027	K11473
ECFPDAKA_00028	K11472
ECFPDAKA_00029	K00104
ECFPDAKA_00032	K12132
ECFPDAKA_00033	K09768
ECFPDAKA_00036	K02454
ECFPDAKA_00038	K01495
ECFPDAKA_00040	K03088
ECFPDAKA_00041	K06954
ECFPDAKA_00043	K00574
ECFPDAKA_00046	K12118
ECFPDAKA_00047	K11168
ECFPDAKA_00048	K00128
ECFPDAKA_00049	K01908
ECFPDAKA_00050	K06132
ECFPDAKA_00052	K17509
ECFPDAKA_00056	K02199
ECFPDAKA_00059	K03734
ECFPDAKA_00064	K10215
ECFPDAKA_00065	K03106
ECFPDAKA_00071	K00773
ECFPDAKA_00072	K07568
ECFPDAKA_00077	K01563
ECFPDAKA_00084	K00613
ECFPDAKA_00085	K04780
ECFPDAKA_00086	K07148
ECFPDAKA_00088	K01738
ECFPDAKA_00092	K06879
ECFPDAKA_00093	K01992
ECFPDAKA_00094	K01990
ECFPDAKA_00100	K03575
ECFPDAKA_00101	K01693
ECFPDAKA_00102	K02501
ECFPDAKA_00103	K02500
ECFPDAKA_00104	K09798
ECFPDAKA_00105	K03797
ECFPDAKA_00106	K06194
ECFPDAKA_00107	K15633
ECFPDAKA_00110	K03071
ECFPDAKA_00111	K03216
ECFPDAKA_00112	K07712
ECFPDAKA_00113	K07708
ECFPDAKA_00115	K01915
ECFPDAKA_00116	K06207
ECFPDAKA_00117	K07560
ECFPDAKA_00118	K02348
ECFPDAKA_00120	K02621
ECFPDAKA_00122	K01079
ECFPDAKA_00124	K02356
ECFPDAKA_00125	K04567
ECFPDAKA_00127	K03315
ECFPDAKA_00128	K21430
ECFPDAKA_00129	K15363
ECFPDAKA_00131	K00324
ECFPDAKA_00132	K00324
ECFPDAKA_00133	K00325
ECFPDAKA_00135	K11085
ECFPDAKA_00136	K16052
ECFPDAKA_00137	K03118
ECFPDAKA_00138	K03117
ECFPDAKA_00139	K03116
ECFPDAKA_00140	K01523
ECFPDAKA_00141	K11755
ECFPDAKA_00142	K03688
ECFPDAKA_00144	K03183
ECFPDAKA_00146	K03667
ECFPDAKA_00147	K01419
ECFPDAKA_00149	K01887
ECFPDAKA_00154	K02065
ECFPDAKA_00155	K02066
ECFPDAKA_00157	K01714
ECFPDAKA_00160	K02517
ECFPDAKA_00163	K15984
ECFPDAKA_00164	K07124
ECFPDAKA_00165	K01439
ECFPDAKA_00166	K00674
ECFPDAKA_00169	K02434
ECFPDAKA_00170	K02433
ECFPDAKA_00171	K02435
ECFPDAKA_00172	K03569
ECFPDAKA_00173	K03570
ECFPDAKA_00174	K03571
ECFPDAKA_00175	K06287
ECFPDAKA_00176	K08301
ECFPDAKA_00178	K09889
ECFPDAKA_00179	K06213
ECFPDAKA_00180	K11189
ECFPDAKA_00181	K06958
ECFPDAKA_00182	K02806
ECFPDAKA_00183	K05808
ECFPDAKA_00184	K03092
ECFPDAKA_00185	K06861
ECFPDAKA_00188	K03270
ECFPDAKA_00189	K06041
ECFPDAKA_00190	K07301
ECFPDAKA_00193	K00765
ECFPDAKA_00195	K02371
ECFPDAKA_00197	K09912
ECFPDAKA_00198	K08683
ECFPDAKA_00201	K18893
ECFPDAKA_00203	K00540
ECFPDAKA_00206	K05522
ECFPDAKA_00211	K06876
ECFPDAKA_00212	K01669
ECFPDAKA_00213	K00059
ECFPDAKA_00215	K21200
ECFPDAKA_00216	K01715
ECFPDAKA_00217	K12405
ECFPDAKA_00218	K06182
ECFPDAKA_00221	K01130
ECFPDAKA_00223	K00367
ECFPDAKA_00231	K09964
ECFPDAKA_00233	K06193
ECFPDAKA_00235	K11312
ECFPDAKA_00241	K14162
ECFPDAKA_00243	K02569
ECFPDAKA_00244	K02568
ECFPDAKA_00245	K02567
ECFPDAKA_00247	K03932
ECFPDAKA_00248	K01940
ECFPDAKA_00249	K01465
ECFPDAKA_00250	K03683
ECFPDAKA_00251	K07157
ECFPDAKA_00254	K02558
ECFPDAKA_00255	K21071
ECFPDAKA_00256	K01507
ECFPDAKA_00258	K06206
ECFPDAKA_00259	K00812
ECFPDAKA_00260	K06204
ECFPDAKA_00261	K01885
ECFPDAKA_00263	K07710
ECFPDAKA_00264	K07713
ECFPDAKA_00265	K00970
ECFPDAKA_00266	K00950
ECFPDAKA_00268	K00606
ECFPDAKA_00269	K01918
ECFPDAKA_00270	K01895
ECFPDAKA_00271	K00962
ECFPDAKA_00272	K02956
ECFPDAKA_00273	K03177
ECFPDAKA_00274	K02834
ECFPDAKA_00275	K02519
ECFPDAKA_00276	K02600
ECFPDAKA_00278	K19745
ECFPDAKA_00280	K03075
ECFPDAKA_00281	K01803
ECFPDAKA_00282	K03431
ECFPDAKA_00283	K00796
ECFPDAKA_00284	K03798
ECFPDAKA_00285	K02427
ECFPDAKA_00286	K07574
ECFPDAKA_00288	K04759
ECFPDAKA_00291	K03624
ECFPDAKA_00292	K01955
ECFPDAKA_00293	K01956
ECFPDAKA_00294	K00681
ECFPDAKA_00296	K08776
ECFPDAKA_00298	K13954
ECFPDAKA_00299	K00249
ECFPDAKA_00302	K13283
ECFPDAKA_00308	K14760
ECFPDAKA_00309	K00059
ECFPDAKA_00310	K05928
ECFPDAKA_00315	K01634
ECFPDAKA_00316	K00059
ECFPDAKA_00317	K01480
ECFPDAKA_00318	K00059
ECFPDAKA_00325	K16046
ECFPDAKA_00326	K14346
ECFPDAKA_00330	K09478
ECFPDAKA_00331	K22443
ECFPDAKA_00337	K01563
ECFPDAKA_00341	K13781
ECFPDAKA_00342	K00248
ECFPDAKA_00343	K11729
ECFPDAKA_00345	K17756
ECFPDAKA_00348	K18688
ECFPDAKA_00349	K18703
ECFPDAKA_00350	K18688
ECFPDAKA_00351	K08188
ECFPDAKA_00356	K13533
ECFPDAKA_00359	K08219
ECFPDAKA_00360	K06929
ECFPDAKA_00362	K01913
ECFPDAKA_00363	K00605
ECFPDAKA_00364	K03315
ECFPDAKA_00365	K02217
ECFPDAKA_00366	K00216
ECFPDAKA_00371	K06901
ECFPDAKA_00380	K00117
ECFPDAKA_00384	K03566
ECFPDAKA_00386	K00315
ECFPDAKA_00387	K00314
ECFPDAKA_00388	K22820
ECFPDAKA_00390	K00021
ECFPDAKA_00392	K02014
ECFPDAKA_00394	K12574
ECFPDAKA_00395	K05984
ECFPDAKA_00396	K01669
ECFPDAKA_00397	K00799
ECFPDAKA_00398	K23016
ECFPDAKA_00402	K16653
ECFPDAKA_00406	K06920
ECFPDAKA_00407	K10026
ECFPDAKA_00409	K03640
ECFPDAKA_00410	K03641
ECFPDAKA_00412	K03560
ECFPDAKA_00413	K03562
ECFPDAKA_00414	K07107
ECFPDAKA_00415	K03551
ECFPDAKA_00416	K03550
ECFPDAKA_00417	K01159
ECFPDAKA_00418	K01876
ECFPDAKA_00421	K01881
ECFPDAKA_00425	K09470
ECFPDAKA_00429	K00507
ECFPDAKA_00430	K00432
