MGKBJPEF_00001	K06888
MGKBJPEF_00004	K23234
MGKBJPEF_00005	K09022
MGKBJPEF_00006	K15916
MGKBJPEF_00007	K03801
MGKBJPEF_00010	K23164
MGKBJPEF_00011	K05523
MGKBJPEF_00012	K05592
MGKBJPEF_00014	K12573
MGKBJPEF_00016	K05606
MGKBJPEF_00017	K20866
MGKBJPEF_00024	K04567
MGKBJPEF_00030	K02911
MGKBJPEF_00031	K03621
MGKBJPEF_00032	K00648
MGKBJPEF_00033	K02160
MGKBJPEF_00034	K01961
MGKBJPEF_00035	K03723
MGKBJPEF_00036	K03841
MGKBJPEF_00038	K03320
MGKBJPEF_00039	K00928
MGKBJPEF_00042	K21572
MGKBJPEF_00043	K01210
MGKBJPEF_00049	K03640
MGKBJPEF_00051	K02065
MGKBJPEF_00052	K02066
MGKBJPEF_00055	K05837
MGKBJPEF_00056	K05515
MGKBJPEF_00059	K03569
MGKBJPEF_00060	K00602
MGKBJPEF_00061	K08973
MGKBJPEF_00063	K07391
MGKBJPEF_00064	K01845
MGKBJPEF_00065	K01556
MGKBJPEF_00066	K00486
MGKBJPEF_00072	K17103
MGKBJPEF_00076	K03424
MGKBJPEF_00078	K00382
MGKBJPEF_00079	K01772
MGKBJPEF_00080	K01665
MGKBJPEF_00081	K04075
MGKBJPEF_00082	K04084
MGKBJPEF_00083	K04084
MGKBJPEF_00084	K00548
MGKBJPEF_00085	K00548
MGKBJPEF_00087	K08976
MGKBJPEF_00092	K02257
MGKBJPEF_00094	K01000
MGKBJPEF_00096	K02377
MGKBJPEF_00097	K01711
MGKBJPEF_00098	K01082
MGKBJPEF_00099	K00128
MGKBJPEF_00100	K00128
MGKBJPEF_00101	K01619
MGKBJPEF_00102	K00860
MGKBJPEF_00103	K00957
MGKBJPEF_00104	K00956
MGKBJPEF_00105	K03832
MGKBJPEF_00106	K02437
MGKBJPEF_00108	K03550
MGKBJPEF_00109	K00029
MGKBJPEF_00114	K00677
MGKBJPEF_00115	K16363
MGKBJPEF_00116	K02536
MGKBJPEF_00117	K06885
MGKBJPEF_00118	K07713
MGKBJPEF_00121	K18979
MGKBJPEF_00122	K03551
MGKBJPEF_00124	K02274
MGKBJPEF_00135	K00950
MGKBJPEF_00136	K04773
MGKBJPEF_00140	K15519
MGKBJPEF_00141	K01056
MGKBJPEF_00142	K02897
MGKBJPEF_00143	K00948
MGKBJPEF_00145	K01493
MGKBJPEF_00146	K03797
MGKBJPEF_00147	K01876
MGKBJPEF_00149	K01918
MGKBJPEF_00150	K00703
MGKBJPEF_00152	K00820
MGKBJPEF_00158	K00764
MGKBJPEF_00160	K01641
MGKBJPEF_00162	K02426
MGKBJPEF_00163	K04485
MGKBJPEF_00167	K01775
MGKBJPEF_00172	K07462
MGKBJPEF_00173	K05802
MGKBJPEF_00174	K02316
MGKBJPEF_00175	K00252
MGKBJPEF_00178	K03111
MGKBJPEF_00179	K03575
MGKBJPEF_00180	K03530
MGKBJPEF_00181	K08301
MGKBJPEF_00182	K00946
MGKBJPEF_00183	K22063
MGKBJPEF_00184	K09014
MGKBJPEF_00185	K09013
MGKBJPEF_00186	K09015
MGKBJPEF_00188	K00075
MGKBJPEF_00192	K09812
MGKBJPEF_00195	K02470
MGKBJPEF_00196	K00024
MGKBJPEF_00199	K12257
MGKBJPEF_00201	K01915
MGKBJPEF_00203	K01933
MGKBJPEF_00204	K02835
MGKBJPEF_00205	K01591
MGKBJPEF_00207	K00067
MGKBJPEF_00208	K03310
MGKBJPEF_00210	K00759
MGKBJPEF_00211	K00248
MGKBJPEF_00213	K03733
MGKBJPEF_00219	K02358
MGKBJPEF_00222	K02601
MGKBJPEF_00223	K02867
MGKBJPEF_00224	K02863
MGKBJPEF_00225	K02864
MGKBJPEF_00226	K02935
MGKBJPEF_00227	K03043
MGKBJPEF_00228	K03046
MGKBJPEF_00231	K01895
MGKBJPEF_00232	K04077
