PLEHNPDM_00003	K08678
PLEHNPDM_00004	K02372
PLEHNPDM_00007	K15654
PLEHNPDM_00009	K01990
PLEHNPDM_00012	K01710
PLEHNPDM_00013	K01710
PLEHNPDM_00016	K00059
PLEHNPDM_00017	K09458
PLEHNPDM_00020	K00645
PLEHNPDM_00021	K02003
PLEHNPDM_00022	K16918
PLEHNPDM_00023	K05841
PLEHNPDM_00025	K03926
PLEHNPDM_00026	K02259
PLEHNPDM_00029	K04764
PLEHNPDM_00030	K00648
PLEHNPDM_00031	K03621
PLEHNPDM_00035	K15987
PLEHNPDM_00038	K05592
PLEHNPDM_00041	K00946
PLEHNPDM_00043	K00794
PLEHNPDM_00044	K14652
PLEHNPDM_00045	K00793
PLEHNPDM_00046	K11752
PLEHNPDM_00047	K07738
PLEHNPDM_00048	K00600
PLEHNPDM_00049	K07492
PLEHNPDM_00050	K07492
PLEHNPDM_00052	K05916
PLEHNPDM_00053	K05796
PLEHNPDM_00062	K00275
PLEHNPDM_00064	K18702
PLEHNPDM_00066	K00666
PLEHNPDM_00068	K01473
PLEHNPDM_00069	K01474
PLEHNPDM_00080	K00626
PLEHNPDM_00083	K00627
PLEHNPDM_00084	K00162
PLEHNPDM_00085	K00161
PLEHNPDM_00087	K01692
PLEHNPDM_00088	K06020
PLEHNPDM_00091	K17744
PLEHNPDM_00093	K11209
PLEHNPDM_00096	K13590
PLEHNPDM_00097	K01588
PLEHNPDM_00098	K01589
PLEHNPDM_00099	K00254
PLEHNPDM_00100	K06985
PLEHNPDM_00101	K00029
PLEHNPDM_00104	K03555
PLEHNPDM_00105	K00244
PLEHNPDM_00108	K01784
PLEHNPDM_00110	K01607
PLEHNPDM_00113	K00018
PLEHNPDM_00114	K01714
PLEHNPDM_00115	K00344
PLEHNPDM_00116	K00059
PLEHNPDM_00117	K00059
PLEHNPDM_00118	K00059
PLEHNPDM_00120	K11147
PLEHNPDM_00121	K00990
PLEHNPDM_00122	K03406
PLEHNPDM_00123	K03406
PLEHNPDM_00128	K01692
PLEHNPDM_00129	K02031
PLEHNPDM_00130	K02032
PLEHNPDM_00131	K15580
PLEHNPDM_00132	K02033
PLEHNPDM_00133	K02034
PLEHNPDM_00136	K01256
PLEHNPDM_00140	K00249
PLEHNPDM_00141	K01961
PLEHNPDM_00142	K11731
PLEHNPDM_00143	K00059
PLEHNPDM_00147	K07659
PLEHNPDM_00148	K07638
PLEHNPDM_00149	K09471
PLEHNPDM_00153	K02837
PLEHNPDM_00154	K00320
PLEHNPDM_00157	K01768
PLEHNPDM_00159	K18703
PLEHNPDM_00164	K03980
PLEHNPDM_00165	K18703
PLEHNPDM_00167	K01867
PLEHNPDM_00170	K09471
PLEHNPDM_00172	K02479
PLEHNPDM_00173	K11527
PLEHNPDM_00177	K01848
PLEHNPDM_00178	K01849
PLEHNPDM_00181	K01992
PLEHNPDM_00183	K09667
PLEHNPDM_00186	K18703
PLEHNPDM_00188	K03719
PLEHNPDM_00190	K00384
PLEHNPDM_00191	K13636
PLEHNPDM_00192	K19333
PLEHNPDM_00197	K01644
PLEHNPDM_00198	K18703
PLEHNPDM_00199	K15866
PLEHNPDM_00201	K03543
PLEHNPDM_00204	K00666
PLEHNPDM_00206	K02433
PLEHNPDM_00207	K00799
PLEHNPDM_00208	K15866
PLEHNPDM_00210	K11162
PLEHNPDM_00211	K00077
PLEHNPDM_00216	K00249
PLEHNPDM_00217	K18244
PLEHNPDM_00219	K07161
PLEHNPDM_00221	K18967
PLEHNPDM_00225	K00249
PLEHNPDM_00228	K18703
PLEHNPDM_00229	K02618
PLEHNPDM_00231	K11991
PLEHNPDM_00232	K06178
PLEHNPDM_00233	K00020
PLEHNPDM_00234	K08316
PLEHNPDM_00235	K03572
PLEHNPDM_00236	K01810
PLEHNPDM_00238	K07263
PLEHNPDM_00240	K03101
PLEHNPDM_00241	K01870
PLEHNPDM_00242	K00286
PLEHNPDM_00245	K13292
PLEHNPDM_00246	K18164
PLEHNPDM_00247	K05810
PLEHNPDM_00248	K08323
PLEHNPDM_00250	K03520
PLEHNPDM_00251	K03518
PLEHNPDM_00252	K13479
PLEHNPDM_00253	K00657
PLEHNPDM_00254	K01338
PLEHNPDM_00255	K03544
PLEHNPDM_00256	K01358
PLEHNPDM_00257	K03545
PLEHNPDM_00261	K06929
PLEHNPDM_00262	K01740
PLEHNPDM_00266	K07232
PLEHNPDM_00268	K09858
PLEHNPDM_00269	K03769
PLEHNPDM_00270	K07511
PLEHNPDM_00271	K01897
PLEHNPDM_00275	K00259
PLEHNPDM_00276	K16871
PLEHNPDM_00280	K00249
PLEHNPDM_00281	K03742
PLEHNPDM_00282	K15270
PLEHNPDM_00284	K00174
PLEHNPDM_00285	K00175
PLEHNPDM_00286	K00177
PLEHNPDM_00287	K12507
PLEHNPDM_00290	K01873
PLEHNPDM_00292	K12340
PLEHNPDM_00297	K17725
PLEHNPDM_00299	K08323
PLEHNPDM_00300	K18703
PLEHNPDM_00303	K08151
PLEHNPDM_00304	K13893
PLEHNPDM_00305	K15866
PLEHNPDM_00308	K03595
PLEHNPDM_00309	K03685
PLEHNPDM_00310	K03100
PLEHNPDM_00311	K00997
PLEHNPDM_00312	K03474
PLEHNPDM_00313	K00762
PLEHNPDM_00314	K00951
PLEHNPDM_00315	K03060
PLEHNPDM_00316	K00950
PLEHNPDM_00318	K21929
PLEHNPDM_00319	K18665
PLEHNPDM_00322	K03664
PLEHNPDM_00323	K01714
PLEHNPDM_00324	K08309
PLEHNPDM_00326	K18703
PLEHNPDM_00329	K01754
PLEHNPDM_00331	K16066
PLEHNPDM_00332	K03406
PLEHNPDM_00333	K00543
PLEHNPDM_00334	K07508
PLEHNPDM_00336	K18703
PLEHNPDM_00339	K00681
PLEHNPDM_00340	K08299
PLEHNPDM_00342	K01652
PLEHNPDM_00343	K08299
PLEHNPDM_00344	K18703
PLEHNPDM_00345	K01644
PLEHNPDM_00347	K07511
PLEHNPDM_00350	K05708
PLEHNPDM_00352	K03742
PLEHNPDM_00354	K01638
PLEHNPDM_00355	K01069
PLEHNPDM_00356	K08185
PLEHNPDM_00358	K01726
PLEHNPDM_00359	K00145
PLEHNPDM_00360	K07443
PLEHNPDM_00361	K01578
PLEHNPDM_00365	K00249
PLEHNPDM_00366	K00812
PLEHNPDM_00367	K04751
PLEHNPDM_00368	K01915
PLEHNPDM_00374	K00248
PLEHNPDM_00375	K01661
PLEHNPDM_00377	K04562
