HPLBOGDP_00001	K02909
HPLBOGDP_00002	K05366
HPLBOGDP_00003	K02662
HPLBOGDP_00007	K02666
HPLBOGDP_00008	K00891
HPLBOGDP_00009	K01735
HPLBOGDP_00010	K00266
HPLBOGDP_00011	K00264
HPLBOGDP_00012	K00024
HPLBOGDP_00013	K00800
HPLBOGDP_00014	K15723
HPLBOGDP_00015	K08973
HPLBOGDP_00016	K00059
HPLBOGDP_00018	K03823
HPLBOGDP_00021	K02017
HPLBOGDP_00022	K02018
HPLBOGDP_00023	K02020
HPLBOGDP_00024	K03426
HPLBOGDP_00028	K12340
HPLBOGDP_00029	K02433
HPLBOGDP_00030	K01870
HPLBOGDP_00031	K00948
HPLBOGDP_00032	K11175
HPLBOGDP_00040	K00295
HPLBOGDP_00041	K06041
HPLBOGDP_00042	K02032
HPLBOGDP_00043	K02031
HPLBOGDP_00044	K13893
HPLBOGDP_00045	K13895
HPLBOGDP_00046	K02033
HPLBOGDP_00047	K09874
HPLBOGDP_00050	K22324
HPLBOGDP_00051	K00528
HPLBOGDP_00052	K07260
HPLBOGDP_00056	K02371
HPLBOGDP_00057	K00287
HPLBOGDP_00058	K01887
HPLBOGDP_00061	K02558
HPLBOGDP_00065	K02259
HPLBOGDP_00069	K00507
HPLBOGDP_00071	K03342
HPLBOGDP_00073	K00281
HPLBOGDP_00075	K00283
HPLBOGDP_00077	K08311
HPLBOGDP_00078	K08484
HPLBOGDP_00080	K13292
HPLBOGDP_00081	K00209
HPLBOGDP_00083	K01599
HPLBOGDP_00084	K14682
HPLBOGDP_00085	K02652
HPLBOGDP_00086	K02517
HPLBOGDP_00087	K19519
HPLBOGDP_00088	K02527
HPLBOGDP_00089	K03741
HPLBOGDP_00091	K02622
HPLBOGDP_00092	K02621
HPLBOGDP_00094	K01079
HPLBOGDP_00095	K02356
HPLBOGDP_00096	K04567
HPLBOGDP_00097	K01613
HPLBOGDP_00098	K13288
HPLBOGDP_00099	K18979
HPLBOGDP_00100	K17758
HPLBOGDP_00101	K06925
HPLBOGDP_00102	K01448
HPLBOGDP_00103	K03572
HPLBOGDP_00104	K00791
HPLBOGDP_00105	K03666
HPLBOGDP_00106	K03665
HPLBOGDP_00107	K04088
HPLBOGDP_00108	K04087
HPLBOGDP_00110	K02502
HPLBOGDP_00111	K01939
HPLBOGDP_00112	K17743
HPLBOGDP_00114	K13574
HPLBOGDP_00116	K12573
HPLBOGDP_00117	K03218
HPLBOGDP_00118	K02990
HPLBOGDP_00119	K02963
HPLBOGDP_00121	K02939
HPLBOGDP_00122	K02314
HPLBOGDP_00123	K01775
HPLBOGDP_00124	K04485
HPLBOGDP_00125	K06020
HPLBOGDP_00127	K07738
HPLBOGDP_00128	K11752
HPLBOGDP_00129	K00794
HPLBOGDP_00130	K03625
HPLBOGDP_00131	K00946
HPLBOGDP_00132	K01095
HPLBOGDP_00133	K01069
HPLBOGDP_00138	K07814
HPLBOGDP_00142	K00108
HPLBOGDP_00143	K01673
HPLBOGDP_00144	K02503
HPLBOGDP_00146	K19245
HPLBOGDP_00147	K00655
HPLBOGDP_00150	K11720
HPLBOGDP_00152	K01255
HPLBOGDP_00153	K02339
HPLBOGDP_00155	K01873
HPLBOGDP_00156	K03704
HPLBOGDP_00159	K02500
HPLBOGDP_00160	K02501
HPLBOGDP_00161	K01933
HPLBOGDP_00162	K02670
HPLBOGDP_00164	K01961
HPLBOGDP_00165	K01676
HPLBOGDP_00167	K00626
HPLBOGDP_00168	K11533
HPLBOGDP_00169	K02837
HPLBOGDP_00170	K03789
HPLBOGDP_00173	K02003
HPLBOGDP_00181	K18055
HPLBOGDP_00188	K01692
HPLBOGDP_00197	K07512
HPLBOGDP_00202	K01638
HPLBOGDP_00203	K01644
HPLBOGDP_00204	K05522
HPLBOGDP_00205	K12574
HPLBOGDP_00206	K00030
HPLBOGDP_00207	K18703
HPLBOGDP_00208	K02433
HPLBOGDP_00214	K18703
HPLBOGDP_00217	K03089
HPLBOGDP_00221	K16092
HPLBOGDP_00222	K12663
HPLBOGDP_00224	K07301
HPLBOGDP_00225	K04759
HPLBOGDP_00226	K02887
HPLBOGDP_00227	K01889
HPLBOGDP_00228	K01890
HPLBOGDP_00229	K04764
HPLBOGDP_00234	K16857
HPLBOGDP_00236	K00852
HPLBOGDP_00238	K07663
HPLBOGDP_00239	K07700
HPLBOGDP_00242	K01251
HPLBOGDP_00243	K10805
HPLBOGDP_00246	K01436
HPLBOGDP_00250	K07161
HPLBOGDP_00251	K15580
HPLBOGDP_00252	K15581
HPLBOGDP_00253	K15582
HPLBOGDP_00254	K15583
HPLBOGDP_00255	K10823
HPLBOGDP_00258	K14572
HPLBOGDP_00259	K00351
HPLBOGDP_00263	K09861
HPLBOGDP_00265	K22443
HPLBOGDP_00271	K04072
HPLBOGDP_00274	K02355
HPLBOGDP_00275	K11159
HPLBOGDP_00276	K07386
HPLBOGDP_00277	K00626
HPLBOGDP_00281	K03704
HPLBOGDP_00282	K03664
HPLBOGDP_00283	K03308
HPLBOGDP_00285	K09801
HPLBOGDP_00287	K03711
HPLBOGDP_00288	K03631
HPLBOGDP_00289	K03705
HPLBOGDP_00290	K03687
HPLBOGDP_00291	K04043
HPLBOGDP_00292	K03686
HPLBOGDP_00293	K00215
HPLBOGDP_00294	K01956
HPLBOGDP_00295	K01955
HPLBOGDP_00296	K03624
HPLBOGDP_00298	K02427
HPLBOGDP_00299	K03798
HPLBOGDP_00300	K00796
HPLBOGDP_00301	K03431
HPLBOGDP_00302	K01803
HPLBOGDP_00313	K08306
HPLBOGDP_00316	K01130
HPLBOGDP_00319	K07403
HPLBOGDP_00322	K18204
HPLBOGDP_00323	K07056
HPLBOGDP_00324	K07121
HPLBOGDP_00325	K07460
HPLBOGDP_00327	K03600
HPLBOGDP_00328	K03599
HPLBOGDP_00329	K00413
HPLBOGDP_00330	K00412
HPLBOGDP_00331	K00411
HPLBOGDP_00332	K02996
HPLBOGDP_00333	K02871
HPLBOGDP_00334	K06916
HPLBOGDP_00335	K00013
HPLBOGDP_00336	K00765
HPLBOGDP_00337	K00790
HPLBOGDP_00341	K06861
HPLBOGDP_00342	K03092
HPLBOGDP_00344	K02806
HPLBOGDP_00345	K06958
HPLBOGDP_00347	K06213
HPLBOGDP_00348	K09889
HPLBOGDP_00349	K11206
HPLBOGDP_00351	K08301
HPLBOGDP_00352	K06287
HPLBOGDP_00353	K03571
HPLBOGDP_00354	K03570
HPLBOGDP_00355	K03569
HPLBOGDP_00357	K02433
HPLBOGDP_00358	K02434
HPLBOGDP_00362	K03525
HPLBOGDP_00363	K01918
HPLBOGDP_00364	K00606
HPLBOGDP_00366	K00036
HPLBOGDP_00368	K02340
HPLBOGDP_00370	K01869
HPLBOGDP_00371	K03820
HPLBOGDP_00372	K06189
HPLBOGDP_00373	K07042
HPLBOGDP_00374	K06217
HPLBOGDP_00375	K06168
HPLBOGDP_00378	K00950
HPLBOGDP_00379	K00121
HPLBOGDP_00381	K05607
HPLBOGDP_00385	K01990
HPLBOGDP_00386	K17623
HPLBOGDP_00387	K01011
HPLBOGDP_00388	K23677
HPLBOGDP_00396	K00059
HPLBOGDP_00397	K16046
HPLBOGDP_00398	K00249
HPLBOGDP_00400	K02557
HPLBOGDP_00401	K02556
HPLBOGDP_00402	K02405
HPLBOGDP_00403	K04562
HPLBOGDP_00404	K02404
HPLBOGDP_00405	K02400
HPLBOGDP_00406	K02401
HPLBOGDP_00408	K02420
