BJLGFBAK_00005	K03530
BJLGFBAK_00006	K01241
BJLGFBAK_00007	K01486
BJLGFBAK_00010	K01557
BJLGFBAK_00011	K00626
BJLGFBAK_00012	K02609
BJLGFBAK_00013	K02610
BJLGFBAK_00014	K02611
BJLGFBAK_00015	K02612
BJLGFBAK_00016	K02613
BJLGFBAK_00017	K02618
BJLGFBAK_00019	K03684
BJLGFBAK_00020	K06041
BJLGFBAK_00022	K09774
BJLGFBAK_00023	K06861
BJLGFBAK_00025	K02806
BJLGFBAK_00030	K01784
BJLGFBAK_00031	K00963
BJLGFBAK_00033	K00979
BJLGFBAK_00034	K01082
BJLGFBAK_00037	K04043
BJLGFBAK_00038	K03686
BJLGFBAK_00039	K03630
BJLGFBAK_00040	K02040
BJLGFBAK_00042	K03070
BJLGFBAK_00045	K06168
BJLGFBAK_00048	K06217
BJLGFBAK_00049	K07042
BJLGFBAK_00050	K06189
BJLGFBAK_00051	K03820
BJLGFBAK_00052	K00789
BJLGFBAK_00054	K02945
BJLGFBAK_00055	K05788
BJLGFBAK_00057	K01817
BJLGFBAK_00058	K01696
BJLGFBAK_00059	K09966
BJLGFBAK_00063	K01056
BJLGFBAK_00064	K02897
BJLGFBAK_00066	K00101
BJLGFBAK_00067	K03439
BJLGFBAK_00068	K00800
BJLGFBAK_00069	K00945
BJLGFBAK_00070	K01695
BJLGFBAK_00073	K03719
BJLGFBAK_00074	K13821
BJLGFBAK_00076	K01092
BJLGFBAK_00077	K05366
BJLGFBAK_00078	K04751
BJLGFBAK_00079	K03320
BJLGFBAK_00080	K00813
BJLGFBAK_00081	K01011
BJLGFBAK_00082	K03664
BJLGFBAK_00083	K07444
BJLGFBAK_00086	K02557
BJLGFBAK_00087	K02390
BJLGFBAK_00090	K02394
BJLGFBAK_00091	K01692
BJLGFBAK_00092	K00059
BJLGFBAK_00094	K03592
BJLGFBAK_00095	K01092
BJLGFBAK_00098	K00912
BJLGFBAK_00099	K18703
BJLGFBAK_00102	K03575
BJLGFBAK_00103	K00496
BJLGFBAK_00104	K01768
BJLGFBAK_00105	K00571
BJLGFBAK_00106	K03470
BJLGFBAK_00110	K02510
BJLGFBAK_00112	K00133
BJLGFBAK_00115	K07086
BJLGFBAK_00116	K01673
BJLGFBAK_00118	K01255
BJLGFBAK_00121	K02614
BJLGFBAK_00122	K01912
BJLGFBAK_00126	K09768
BJLGFBAK_00127	K07025
BJLGFBAK_00131	K18798
BJLGFBAK_00132	K11754
BJLGFBAK_00133	K01963
BJLGFBAK_00134	K07052
BJLGFBAK_00135	K16299
BJLGFBAK_00139	K01638
BJLGFBAK_00141	K09473
BJLGFBAK_00142	K01756
BJLGFBAK_00145	K02032
BJLGFBAK_00146	K02031
BJLGFBAK_00147	K02034
BJLGFBAK_00148	K02033
BJLGFBAK_00149	K12368
BJLGFBAK_00152	K03604
BJLGFBAK_00156	K04072
BJLGFBAK_00157	K22133
BJLGFBAK_00158	K01796
BJLGFBAK_00160	K02012
BJLGFBAK_00162	K01895
BJLGFBAK_00171	K17725
BJLGFBAK_00173	K00059
BJLGFBAK_00174	K00626
BJLGFBAK_00175	K14051
BJLGFBAK_00176	K01246
BJLGFBAK_00177	K02986
BJLGFBAK_00178	K00817
BJLGFBAK_00179	K00210
BJLGFBAK_00181	K07232
BJLGFBAK_00183	K02557
BJLGFBAK_00185	K03694
BJLGFBAK_00186	K01069
BJLGFBAK_00188	K03595
BJLGFBAK_00190	K03584
BJLGFBAK_00194	K06446
BJLGFBAK_00199	K01610
BJLGFBAK_00200	K02483
BJLGFBAK_00201	K07642
BJLGFBAK_00203	K06958
BJLGFBAK_00205	K11189
BJLGFBAK_00207	K00074
BJLGFBAK_00209	K03522
BJLGFBAK_00210	K03521
BJLGFBAK_00212	K00798
BJLGFBAK_00216	K02621
BJLGFBAK_00217	K10717
BJLGFBAK_00219	K02358
BJLGFBAK_00223	K02601
BJLGFBAK_00224	K14441
BJLGFBAK_00227	K02000
BJLGFBAK_00228	K02001
BJLGFBAK_00229	K05714
BJLGFBAK_00231	K00794
BJLGFBAK_00232	K14652
BJLGFBAK_00233	K00793
BJLGFBAK_00236	K07266
BJLGFBAK_00237	K11752
BJLGFBAK_00238	K07738
BJLGFBAK_00239	K01426
BJLGFBAK_00241	K00008
BJLGFBAK_00242	K15919
BJLGFBAK_00244	K00851
BJLGFBAK_00245	K00042
BJLGFBAK_00247	K06941
BJLGFBAK_00250	K00674
BJLGFBAK_00252	K01439
BJLGFBAK_00255	K12573
BJLGFBAK_00257	K11070
BJLGFBAK_00258	K11071
BJLGFBAK_00261	K11072
BJLGFBAK_00263	K04083
BJLGFBAK_00265	K00970
BJLGFBAK_00266	K18893
BJLGFBAK_00267	K18893
BJLGFBAK_00268	K03215
BJLGFBAK_00269	K16890
BJLGFBAK_00274	K01772
BJLGFBAK_00275	K18162
BJLGFBAK_00277	K03676
BJLGFBAK_00278	K11206
BJLGFBAK_00280	K00591
BJLGFBAK_00281	K01259
BJLGFBAK_00283	K09748
BJLGFBAK_00284	K02600
BJLGFBAK_00286	K02519
BJLGFBAK_00287	K08320
BJLGFBAK_00288	K00620
BJLGFBAK_00289	K03771
BJLGFBAK_00291	K17509
BJLGFBAK_00292	K00547
BJLGFBAK_00293	K00315
BJLGFBAK_00297	K08968
BJLGFBAK_00298	K00626
BJLGFBAK_00301	K00681
BJLGFBAK_00306	K03466
BJLGFBAK_00307	K14267
BJLGFBAK_00308	K02433
BJLGFBAK_00309	K03185
BJLGFBAK_00311	K01338
BJLGFBAK_00312	K03671
BJLGFBAK_00313	K01142
BJLGFBAK_00314	K02483
BJLGFBAK_00315	K14652
BJLGFBAK_00319	K00012
BJLGFBAK_00321	K06997
BJLGFBAK_00324	K01869
BJLGFBAK_00329	K07462
BJLGFBAK_00330	K02446
BJLGFBAK_00331	K00003
BJLGFBAK_00334	K06911
BJLGFBAK_00340	K06180
BJLGFBAK_00341	K03089
BJLGFBAK_00343	K08602
BJLGFBAK_00345	K10747
BJLGFBAK_00347	K01048
BJLGFBAK_00350	K17675
BJLGFBAK_00351	K04762
BJLGFBAK_00352	K05524
BJLGFBAK_00353	K07736
BJLGFBAK_00354	K02233
BJLGFBAK_00355	K00768
BJLGFBAK_00356	K11745
BJLGFBAK_00357	K11745
BJLGFBAK_00359	K00457
BJLGFBAK_00360	K16898
BJLGFBAK_00361	K03671
BJLGFBAK_00363	K01419
BJLGFBAK_00365	K03667
BJLGFBAK_00368	K08304
BJLGFBAK_00370	K07113
BJLGFBAK_00372	K02342
BJLGFBAK_00373	K00859
BJLGFBAK_00374	K00014
BJLGFBAK_00376	K01735
BJLGFBAK_00377	K03111
BJLGFBAK_00379	K02031
BJLGFBAK_00380	K02034
BJLGFBAK_00381	K02033
BJLGFBAK_00383	K00791
BJLGFBAK_00384	K09903
BJLGFBAK_00385	K02838
BJLGFBAK_00386	K00806
BJLGFBAK_00387	K00981
BJLGFBAK_00388	K00099
BJLGFBAK_00389	K11749
BJLGFBAK_00390	K07277
BJLGFBAK_00392	K02372
BJLGFBAK_00393	K00677
BJLGFBAK_00394	K09949
BJLGFBAK_00395	K00748
BJLGFBAK_00396	K01866
BJLGFBAK_00397	K09001
BJLGFBAK_00398	K00020
BJLGFBAK_00399	K11538
BJLGFBAK_00400	K00140
BJLGFBAK_00403	K00954
BJLGFBAK_00405	K12663
BJLGFBAK_00406	K01873
BJLGFBAK_00407	K03520
BJLGFBAK_00410	K00297
BJLGFBAK_00411	K03576
BJLGFBAK_00412	K03723
BJLGFBAK_00415	K01897
BJLGFBAK_00418	K02036
BJLGFBAK_00422	K01958
BJLGFBAK_00423	K00101
BJLGFBAK_00424	K03657
BJLGFBAK_00426	K03593
BJLGFBAK_00427	K03925
BJLGFBAK_00428	K03438
BJLGFBAK_00430	K03587
BJLGFBAK_00431	K01928
BJLGFBAK_00432	K01929
BJLGFBAK_00433	K01000
BJLGFBAK_00434	K01925
BJLGFBAK_00437	K03588
BJLGFBAK_00438	K02563
BJLGFBAK_00439	K01924
BJLGFBAK_00440	K00075
BJLGFBAK_00441	K01921
BJLGFBAK_00443	K03590
BJLGFBAK_00444	K03531
BJLGFBAK_00445	K02535
BJLGFBAK_00446	K05807
BJLGFBAK_00447	K03631
BJLGFBAK_00448	K03281
BJLGFBAK_00450	K01262
BJLGFBAK_00456	K02434
BJLGFBAK_00461	K01740
BJLGFBAK_00475	K01079
BJLGFBAK_00477	K00058
BJLGFBAK_00479	K00060
BJLGFBAK_00480	K00639
BJLGFBAK_00481	K23779
BJLGFBAK_00482	K03688
BJLGFBAK_00483	K06127
BJLGFBAK_00484	K10563
BJLGFBAK_00485	K01692
BJLGFBAK_00486	K02968
BJLGFBAK_00487	K02313
BJLGFBAK_00488	K02338
BJLGFBAK_00489	K03629
BJLGFBAK_00491	K02470
BJLGFBAK_00492	K17231
BJLGFBAK_00495	K00057
BJLGFBAK_00496	K01409
BJLGFBAK_00506	K21393
BJLGFBAK_00507	K01895
BJLGFBAK_00510	K05607
BJLGFBAK_00512	K02641
BJLGFBAK_00514	K00891
BJLGFBAK_00516	K02035
BJLGFBAK_00518	K05712
BJLGFBAK_00521	K01555
BJLGFBAK_00524	K00451
BJLGFBAK_00528	K00485
BJLGFBAK_00531	K00354
BJLGFBAK_00532	K00059
BJLGFBAK_00534	K18166
BJLGFBAK_00535	K18981
BJLGFBAK_00536	K01273
