DAAHEFCG_00001	K03688
DAAHEFCG_00002	K13038
DAAHEFCG_00003	K01520
DAAHEFCG_00004	K21147
DAAHEFCG_00005	K00058
DAAHEFCG_00007	K03782
DAAHEFCG_00009	K01716
DAAHEFCG_00010	K09458
DAAHEFCG_00011	K00208
DAAHEFCG_00013	K01685
DAAHEFCG_00014	K00058
DAAHEFCG_00015	K05884
DAAHEFCG_00016	K01782
DAAHEFCG_00019	K11955
DAAHEFCG_00020	K11956
DAAHEFCG_00021	K01996
DAAHEFCG_00022	K01995
DAAHEFCG_00023	K11954
DAAHEFCG_00024	K02234
DAAHEFCG_00025	K02230
DAAHEFCG_00026	K19221
DAAHEFCG_00027	K02232
DAAHEFCG_00028	K02227
DAAHEFCG_00030	K03795
DAAHEFCG_00031	K06042
DAAHEFCG_00032	K00595
DAAHEFCG_00033	K13540
DAAHEFCG_00034	K13541
DAAHEFCG_00035	K05936
DAAHEFCG_00036	K02224
DAAHEFCG_00037	K02303
DAAHEFCG_00038	K02188
DAAHEFCG_00039	K05895
DAAHEFCG_00040	K00812
DAAHEFCG_00041	K01474
DAAHEFCG_00042	K01473
DAAHEFCG_00043	K01759
DAAHEFCG_00045	K01885
DAAHEFCG_00046	K06999
DAAHEFCG_00048	K06134
DAAHEFCG_00053	K07232
DAAHEFCG_00054	K03442
DAAHEFCG_00055	K11753
DAAHEFCG_00056	K01870
DAAHEFCG_00057	K03101
DAAHEFCG_00059	K03572
DAAHEFCG_00061	K06178
DAAHEFCG_00062	K11991
DAAHEFCG_00063	K01945
DAAHEFCG_00064	K03601
DAAHEFCG_00067	K00912
DAAHEFCG_00068	K02527
DAAHEFCG_00069	K09778
DAAHEFCG_00070	K11085
DAAHEFCG_00072	K03592
DAAHEFCG_00073	K00145
DAAHEFCG_00074	K06125
DAAHEFCG_00075	K09761
DAAHEFCG_00076	K01919
DAAHEFCG_00079	K03568
DAAHEFCG_00080	K02275
DAAHEFCG_00081	K02256
DAAHEFCG_00082	K02257
DAAHEFCG_00084	K02258
DAAHEFCG_00085	K02262
DAAHEFCG_00087	K14998
DAAHEFCG_00088	K01733
DAAHEFCG_00089	K17732
DAAHEFCG_00090	K07735
DAAHEFCG_00091	K04084
DAAHEFCG_00092	K11187
DAAHEFCG_00093	K03469
DAAHEFCG_00094	K02204
DAAHEFCG_00095	K03527
DAAHEFCG_00099	K02128
DAAHEFCG_00100	K02108
DAAHEFCG_00102	K03529
DAAHEFCG_00105	K03575
DAAHEFCG_00106	K00602
DAAHEFCG_00108	K03500
DAAHEFCG_00111	K05539
DAAHEFCG_00112	K06190
DAAHEFCG_00113	K00548
DAAHEFCG_00116	K00548
DAAHEFCG_00120	K02199
DAAHEFCG_00121	K02198
DAAHEFCG_00122	K02197
DAAHEFCG_00124	K02195
DAAHEFCG_00127	K07301
DAAHEFCG_00128	K01273
DAAHEFCG_00129	K15719
DAAHEFCG_00131	K09001
DAAHEFCG_00132	K07106
DAAHEFCG_00133	K08218
DAAHEFCG_00135	K01447
DAAHEFCG_00136	K17623
DAAHEFCG_00137	K00432
DAAHEFCG_00141	K03153
DAAHEFCG_00142	K18622
DAAHEFCG_00145	K00059
DAAHEFCG_00147	K01069
DAAHEFCG_00150	K00817
DAAHEFCG_00151	K04517
DAAHEFCG_00154	K01586
DAAHEFCG_00155	K01755
DAAHEFCG_00157	K03522
DAAHEFCG_00158	K03521
DAAHEFCG_00159	K00798
DAAHEFCG_00161	K01491
DAAHEFCG_00165	K03733
DAAHEFCG_00166	K00382
DAAHEFCG_00167	K00658
DAAHEFCG_00168	K00164
DAAHEFCG_00169	K00024
DAAHEFCG_00170	K18798
DAAHEFCG_00172	K00240
DAAHEFCG_00173	K00239
DAAHEFCG_00174	K00242
DAAHEFCG_00175	K00236
DAAHEFCG_00176	K00868
DAAHEFCG_00177	K00133
DAAHEFCG_00178	K00052
DAAHEFCG_00179	K01704
DAAHEFCG_00180	K01703
DAAHEFCG_00181	K02884
DAAHEFCG_00182	K00554
DAAHEFCG_00184	K02959
DAAHEFCG_00185	K03106
DAAHEFCG_00186	K03110
DAAHEFCG_00187	K18707
DAAHEFCG_00188	K01778
DAAHEFCG_00189	K01142
DAAHEFCG_00191	K03466
DAAHEFCG_00192	K03273
DAAHEFCG_00193	K06126
DAAHEFCG_00195	K09791
DAAHEFCG_00197	K03671
DAAHEFCG_00203	K03119
