NDDHILDE_00001	K21029
NDDHILDE_00002	K01520
NDDHILDE_00003	K13038
NDDHILDE_00004	K03089
NDDHILDE_00005	K02231
NDDHILDE_00008	K07391
NDDHILDE_00010	K07090
NDDHILDE_00011	K23536
NDDHILDE_00012	K23535
NDDHILDE_00013	K23537
NDDHILDE_00014	K07335
NDDHILDE_00016	K22074
NDDHILDE_00018	K01867
NDDHILDE_00020	K03980
NDDHILDE_00021	K00990
NDDHILDE_00023	K07056
NDDHILDE_00025	K01920
NDDHILDE_00028	K00794
NDDHILDE_00029	K14652
NDDHILDE_00030	K03458
NDDHILDE_00032	K01273
NDDHILDE_00035	K06173
NDDHILDE_00036	K06918
NDDHILDE_00038	K08990
NDDHILDE_00039	K01870
NDDHILDE_00041	K01004
NDDHILDE_00042	K03733
NDDHILDE_00044	K00616
NDDHILDE_00045	K04066
NDDHILDE_00046	K01847
NDDHILDE_00047	K00631
NDDHILDE_00048	K00344
NDDHILDE_00055	K01845
NDDHILDE_00058	K00314
NDDHILDE_00067	K03724
NDDHILDE_00068	K01491
NDDHILDE_00069	K01938
NDDHILDE_00071	K03798
NDDHILDE_00072	K04075
NDDHILDE_00074	K03640
NDDHILDE_00075	K03641
NDDHILDE_00077	K03559
NDDHILDE_00078	K03562
NDDHILDE_00079	K07107
NDDHILDE_00081	K03551
NDDHILDE_00082	K03550
NDDHILDE_00083	K01159
NDDHILDE_00085	K02687
NDDHILDE_00086	K07304
NDDHILDE_00088	K00101
NDDHILDE_00089	K02168
NDDHILDE_00091	K02897
NDDHILDE_00092	K01056
NDDHILDE_00094	K09966
NDDHILDE_00095	K01696
NDDHILDE_00096	K01817
NDDHILDE_00098	K05788
NDDHILDE_00099	K02945
NDDHILDE_00104	K00945
NDDHILDE_00105	K00800
NDDHILDE_00106	K03439
NDDHILDE_00107	K00789
NDDHILDE_00108	K03820
NDDHILDE_00109	K06189
NDDHILDE_00110	K00281
NDDHILDE_00113	K11072
NDDHILDE_00114	K11070
NDDHILDE_00115	K11071
NDDHILDE_00117	K21393
NDDHILDE_00121	K02613
NDDHILDE_00122	K02612
NDDHILDE_00123	K02611
NDDHILDE_00124	K02610
NDDHILDE_00125	K02609
NDDHILDE_00127	K02618
NDDHILDE_00128	K15866
NDDHILDE_00129	K02614
NDDHILDE_00130	K02615
NDDHILDE_00131	K01912
NDDHILDE_00133	K03786
NDDHILDE_00134	K01593
NDDHILDE_00136	K03823
NDDHILDE_00137	K06878
NDDHILDE_00138	K00286
NDDHILDE_00141	K13292
NDDHILDE_00142	K18164
NDDHILDE_00143	K05810
NDDHILDE_00144	K03719
NDDHILDE_00145	K00384
NDDHILDE_00146	K00958
NDDHILDE_00148	K04080
NDDHILDE_00150	K01588
NDDHILDE_00151	K01589
NDDHILDE_00153	K04077
NDDHILDE_00154	K04078
NDDHILDE_00162	K15986
NDDHILDE_00165	K11753
NDDHILDE_00166	K09160
NDDHILDE_00167	K01620
NDDHILDE_00169	K00948
NDDHILDE_00172	K02112
