AOJABBKC_00001	K03561
AOJABBKC_00004	K00287
AOJABBKC_00005	K00560
AOJABBKC_00006	K13292
AOJABBKC_00008	K08484
AOJABBKC_00009	K08311
AOJABBKC_00012	K02437
AOJABBKC_00015	K15034
AOJABBKC_00017	K01557
AOJABBKC_00019	K00104
AOJABBKC_00020	K03704
AOJABBKC_00021	K02913
AOJABBKC_00022	K02902
AOJABBKC_00023	K03630
AOJABBKC_00024	K13038
AOJABBKC_00025	K01835
AOJABBKC_00026	K00930
AOJABBKC_00027	K05501
AOJABBKC_00028	K00762
AOJABBKC_00029	K00989
AOJABBKC_00033	K00942
AOJABBKC_00034	K03060
AOJABBKC_00035	K01139
AOJABBKC_00036	K09022
AOJABBKC_00039	K04761
AOJABBKC_00040	K03655
AOJABBKC_00042	K14640
AOJABBKC_00045	K15537
AOJABBKC_00049	K01624
AOJABBKC_00050	K00927
AOJABBKC_00051	K00134
AOJABBKC_00052	K00615
AOJABBKC_00054	K00789
AOJABBKC_00055	K01251
AOJABBKC_00056	K09761
AOJABBKC_00058	K09458
AOJABBKC_00060	K02342
AOJABBKC_00063	K00428
AOJABBKC_00067	K01907
AOJABBKC_00068	K03929
AOJABBKC_00069	K00344
AOJABBKC_00070	K00059
AOJABBKC_00076	K23016
AOJABBKC_00077	K00496
AOJABBKC_00078	K01054
AOJABBKC_00079	K00456
AOJABBKC_00082	K00108
AOJABBKC_00086	K05524
AOJABBKC_00087	K03555
AOJABBKC_00088	K00033
AOJABBKC_00092	K11085
AOJABBKC_00093	K00605
AOJABBKC_00094	K03929
AOJABBKC_00096	K03743
AOJABBKC_00097	K03553
AOJABBKC_00099	K07019
AOJABBKC_00102	K09791
AOJABBKC_00103	K02503
AOJABBKC_00104	K01872
AOJABBKC_00105	K00928
AOJABBKC_00110	K01687
AOJABBKC_00111	K14682
AOJABBKC_00112	K00826
AOJABBKC_00115	K00059
AOJABBKC_00116	K02527
AOJABBKC_00118	K01515
AOJABBKC_00120	K03651
AOJABBKC_00121	K07000
AOJABBKC_00122	K02622
AOJABBKC_00123	K02621
AOJABBKC_00124	K03797
AOJABBKC_00125	K06194
AOJABBKC_00126	K15633
AOJABBKC_00127	K15738
