MNBOMGJM_00001	K03784
MNBOMGJM_00002	K01712
MNBOMGJM_00003	K01875
MNBOMGJM_00005	K11618
MNBOMGJM_00006	K11617
MNBOMGJM_00010	K22336
MNBOMGJM_00015	K08972
MNBOMGJM_00016	K01858
MNBOMGJM_00017	K07651
MNBOMGJM_00018	K16328
MNBOMGJM_00020	K01768
MNBOMGJM_00023	K08884
MNBOMGJM_00024	K03705
MNBOMGJM_00025	K03687
MNBOMGJM_00026	K04043
MNBOMGJM_00030	K02035
MNBOMGJM_00031	K06215
MNBOMGJM_00032	K08681
MNBOMGJM_00042	K02337
MNBOMGJM_00043	K06894
MNBOMGJM_00045	K03088
MNBOMGJM_00048	K01425
MNBOMGJM_00049	K05831
MNBOMGJM_00050	K00821
MNBOMGJM_00051	K05828
MNBOMGJM_00053	K00145
MNBOMGJM_00054	K05827
MNBOMGJM_00056	K01755
MNBOMGJM_00057	K01940
MNBOMGJM_00058	K02446
MNBOMGJM_00059	K00981
MNBOMGJM_00060	K00806
MNBOMGJM_00061	K02838
MNBOMGJM_00063	K09903
MNBOMGJM_00064	K02357
MNBOMGJM_00065	K02967
MNBOMGJM_00066	K02313
MNBOMGJM_00067	K07682
MNBOMGJM_00068	K00054
MNBOMGJM_00070	K01641
MNBOMGJM_00071	K00632
MNBOMGJM_00073	K05592
MNBOMGJM_00079	K16052
MNBOMGJM_00080	K01488
MNBOMGJM_00087	K08602
MNBOMGJM_00089	K07636
MNBOMGJM_00090	K00823
MNBOMGJM_00091	K00845
MNBOMGJM_00095	K00283
MNBOMGJM_00096	K00282
MNBOMGJM_00097	K02437
MNBOMGJM_00098	K00003
MNBOMGJM_00099	K01848
MNBOMGJM_00107	K09931
MNBOMGJM_00111	K13680
MNBOMGJM_00112	K07658
MNBOMGJM_00113	K07652
MNBOMGJM_00116	K21307
MNBOMGJM_00117	K21308
MNBOMGJM_00121	K07777
MNBOMGJM_00122	K11618
MNBOMGJM_00123	K17286
MNBOMGJM_00130	K00681
MNBOMGJM_00155	K03588
MNBOMGJM_00156	K00772
MNBOMGJM_00158	K00106
MNBOMGJM_00159	K00087
MNBOMGJM_00160	K00226
MNBOMGJM_00161	K01464
MNBOMGJM_00162	K07391
MNBOMGJM_00163	K19337
MNBOMGJM_00166	K13533
MNBOMGJM_00168	K11354
MNBOMGJM_00169	K13533
MNBOMGJM_00171	K13533
MNBOMGJM_00172	K01989
MNBOMGJM_00173	K13533
MNBOMGJM_00177	K07636
MNBOMGJM_00178	K11527
MNBOMGJM_00181	K11527
MNBOMGJM_00183	K07486
MNBOMGJM_00187	K12368
MNBOMGJM_00191	K22900
MNBOMGJM_00195	K07403
MNBOMGJM_00196	K03644
MNBOMGJM_00199	K08311
MNBOMGJM_00201	K03704
MNBOMGJM_00202	K07636
MNBOMGJM_00204	K00335
MNBOMGJM_00205	K05588
MNBOMGJM_00206	K22015
MNBOMGJM_00215	K01809
MNBOMGJM_00216	K10232
MNBOMGJM_00217	K10233
MNBOMGJM_00218	K10234
MNBOMGJM_00219	K23107
MNBOMGJM_00220	K01223
MNBOMGJM_00221	K01194
MNBOMGJM_00223	K00847
MNBOMGJM_00225	K22597
MNBOMGJM_00226	K10112
MNBOMGJM_00230	K01735
MNBOMGJM_00232	K02529
MNBOMGJM_00239	K06921
MNBOMGJM_00240	K07068
MNBOMGJM_00245	K04771
MNBOMGJM_00246	K05516
MNBOMGJM_00248	K00111
MNBOMGJM_00249	K20534
MNBOMGJM_00251	K02805
MNBOMGJM_00253	K00901
MNBOMGJM_00254	K07042
MNBOMGJM_00255	K07037
MNBOMGJM_00259	K12132
MNBOMGJM_00263	K09458
MNBOMGJM_00264	K03635
MNBOMGJM_00266	K03637
MNBOMGJM_00267	K05896
MNBOMGJM_00268	K00830
MNBOMGJM_00269	K00162
MNBOMGJM_00270	K00658
MNBOMGJM_00271	K06207
MNBOMGJM_00277	K19689
MNBOMGJM_00279	K06975
MNBOMGJM_00280	K07131
MNBOMGJM_00282	K02483
MNBOMGJM_00283	K00721
MNBOMGJM_00284	K02528
MNBOMGJM_00285	K01005
MNBOMGJM_00290	K14164
MNBOMGJM_00291	K01255
MNBOMGJM_00292	K23107
MNBOMGJM_00293	K03596
MNBOMGJM_00294	K07027
MNBOMGJM_00295	K01710
MNBOMGJM_00298	K10947
MNBOMGJM_00304	K11645
MNBOMGJM_00305	K00058
MNBOMGJM_00306	K00854
MNBOMGJM_00307	K00059
MNBOMGJM_00308	K12960
MNBOMGJM_00309	K00058
MNBOMGJM_00310	K11751
MNBOMGJM_00311	K02026
MNBOMGJM_00312	K02025
MNBOMGJM_00314	K12960
MNBOMGJM_00317	K00817
MNBOMGJM_00318	K01624
MNBOMGJM_00319	K00315
MNBOMGJM_00320	K00894
MNBOMGJM_00321	K02468
MNBOMGJM_00324	K02238
MNBOMGJM_00326	K00942
MNBOMGJM_00328	K02335
MNBOMGJM_00329	K00826
MNBOMGJM_00331	K04043
MNBOMGJM_00336	K07133
MNBOMGJM_00338	K10112
MNBOMGJM_00339	K11071
MNBOMGJM_00342	K11261
MNBOMGJM_00343	K02575
MNBOMGJM_00344	K02575
MNBOMGJM_00345	K00374
MNBOMGJM_00347	K00371
MNBOMGJM_00348	K00370
MNBOMGJM_00351	K02479
MNBOMGJM_00355	K07678
MNBOMGJM_00358	K13444
MNBOMGJM_00359	K02257
MNBOMGJM_00366	K19052
MNBOMGJM_00367	K16043
MNBOMGJM_00368	K19689
MNBOMGJM_00371	K00688
MNBOMGJM_00372	K18928
MNBOMGJM_00374	K18929
MNBOMGJM_00377	K03436
MNBOMGJM_00390	K07397
MNBOMGJM_00396	K03088
MNBOMGJM_00399	K03523
MNBOMGJM_00400	K02483
MNBOMGJM_00401	K01975
MNBOMGJM_00402	K09710
MNBOMGJM_00403	K18967
MNBOMGJM_00404	K00940
MNBOMGJM_00406	K00756
MNBOMGJM_00409	K00850
MNBOMGJM_00414	K04079
MNBOMGJM_00416	K06400
MNBOMGJM_00419	K06959
MNBOMGJM_00420	K06959
MNBOMGJM_00422	K11531
MNBOMGJM_00423	K05519
MNBOMGJM_00424	K23537
MNBOMGJM_00425	K23535
MNBOMGJM_00426	K23536
MNBOMGJM_00427	K08963
MNBOMGJM_00428	K00615
MNBOMGJM_00429	K00615
MNBOMGJM_00430	K01601
MNBOMGJM_00431	K00757
MNBOMGJM_00434	K13421
MNBOMGJM_00435	K00015
MNBOMGJM_00436	K01591
MNBOMGJM_00437	K00609
MNBOMGJM_00443	K11540
MNBOMGJM_00445	K03547
MNBOMGJM_00446	K12132
MNBOMGJM_00447	K01783
MNBOMGJM_00450	K07030
MNBOMGJM_00452	K03655
MNBOMGJM_00453	K00954
MNBOMGJM_00455	K13038
MNBOMGJM_00458	K03501
MNBOMGJM_00459	K00973
MNBOMGJM_00460	K08884
MNBOMGJM_00463	K03701
MNBOMGJM_00470	K00314
MNBOMGJM_00471	K18166
MNBOMGJM_00472	K02503
MNBOMGJM_00473	K09129
MNBOMGJM_00474	K06889
MNBOMGJM_00475	K07636
MNBOMGJM_00478	K01624
MNBOMGJM_00480	K00106
MNBOMGJM_00482	K00087
MNBOMGJM_00483	K00433
MNBOMGJM_00485	K07402
MNBOMGJM_00487	K07029
MNBOMGJM_00488	K00655
MNBOMGJM_00491	K01251
MNBOMGJM_00492	K00856
MNBOMGJM_00493	K08963
MNBOMGJM_00494	K00951
MNBOMGJM_00495	K03750
MNBOMGJM_00500	K03437
MNBOMGJM_00508	K03437
MNBOMGJM_00509	K23518
MNBOMGJM_00510	K02887
MNBOMGJM_00512	K02520
MNBOMGJM_00514	K00059
MNBOMGJM_00516	K04883
MNBOMGJM_00517	K00266
MNBOMGJM_00519	K22904
MNBOMGJM_00523	K01678
MNBOMGJM_00524	K01677
MNBOMGJM_00528	K06416
MNBOMGJM_00529	K01887
MNBOMGJM_00534	K00966
MNBOMGJM_00535	K01784
MNBOMGJM_00538	K07636
MNBOMGJM_00539	K02470
MNBOMGJM_00542	K08591
MNBOMGJM_00545	K02335
MNBOMGJM_00547	K03077
MNBOMGJM_00549	K07667
MNBOMGJM_00550	K13444
MNBOMGJM_00551	K00789
MNBOMGJM_00553	K00765
MNBOMGJM_00554	K00013
MNBOMGJM_00555	K00817
MNBOMGJM_00556	K01693
MNBOMGJM_00557	K02501
MNBOMGJM_00558	K01814
MNBOMGJM_00560	K02500
MNBOMGJM_00561	K00602
MNBOMGJM_00562	K11755
MNBOMGJM_00563	K01523
MNBOMGJM_00566	K07052
MNBOMGJM_00569	K00600
MNBOMGJM_00575	K03775
MNBOMGJM_00582	K01681
MNBOMGJM_00583	K01488
MNBOMGJM_00584	K03070
MNBOMGJM_00590	K22597
MNBOMGJM_00592	K18785
MNBOMGJM_00593	K00754
MNBOMGJM_00595	K01191
MNBOMGJM_00596	K02479
MNBOMGJM_00598	K00375
MNBOMGJM_00600	K02003
MNBOMGJM_00601	K02003
MNBOMGJM_00602	K05685
MNBOMGJM_00607	K06867
MNBOMGJM_00614	K03704
MNBOMGJM_00615	K12960
MNBOMGJM_00616	K01486
MNBOMGJM_00617	K03710
MNBOMGJM_00619	K00609
MNBOMGJM_00620	K00611
MNBOMGJM_00621	K00926
MNBOMGJM_00623	K07335
MNBOMGJM_00624	K23537
MNBOMGJM_00625	K23535
MNBOMGJM_00626	K23536
MNBOMGJM_00628	K00615
MNBOMGJM_00629	K01601
MNBOMGJM_00630	K03077
MNBOMGJM_00631	K01628
MNBOMGJM_00636	K03086
MNBOMGJM_00637	K02316
MNBOMGJM_00639	K13444
MNBOMGJM_00641	K14963
MNBOMGJM_00644	K01869
MNBOMGJM_00648	K00876
MNBOMGJM_00649	K00077
MNBOMGJM_00650	K15640
MNBOMGJM_00652	K17686
MNBOMGJM_00658	K21600
