LAMKNALE_00005	K07090
LAMKNALE_00008	K07785
LAMKNALE_00010	K00020
LAMKNALE_00011	K00627
LAMKNALE_00012	K00162
LAMKNALE_00013	K00161
LAMKNALE_00014	K01262
LAMKNALE_00015	K01652
LAMKNALE_00018	K00018
LAMKNALE_00020	K00249
LAMKNALE_00021	K11069
LAMKNALE_00022	K11071
LAMKNALE_00023	K11070
LAMKNALE_00024	K11072
LAMKNALE_00025	K14333
LAMKNALE_00027	K01652
LAMKNALE_00033	K00554
LAMKNALE_00034	K02959
LAMKNALE_00035	K03106
LAMKNALE_00037	K01778
LAMKNALE_00038	K18707
LAMKNALE_00039	K03110
LAMKNALE_00041	K02346
LAMKNALE_00043	K03297
LAMKNALE_00050	K01990
LAMKNALE_00051	K02335
LAMKNALE_00052	K01610
LAMKNALE_00053	K02483
LAMKNALE_00054	K07652
LAMKNALE_00055	K01251
LAMKNALE_00056	K07716
LAMKNALE_00057	K07102
LAMKNALE_00058	K17938
LAMKNALE_00059	K23144
LAMKNALE_00060	K01141
LAMKNALE_00061	K03671
LAMKNALE_00062	K11754
LAMKNALE_00063	K01963
LAMKNALE_00064	K01695
LAMKNALE_00065	K01696
LAMKNALE_00066	K01817
LAMKNALE_00067	K01591
LAMKNALE_00068	K05788
LAMKNALE_00069	K07566
LAMKNALE_00071	K01662
LAMKNALE_00072	K06442
LAMKNALE_00073	K01736
LAMKNALE_00074	K00208
LAMKNALE_00075	K00275
LAMKNALE_00078	K06876
LAMKNALE_00080	K01426
LAMKNALE_00082	K00122
LAMKNALE_00085	K01652
LAMKNALE_00086	K07749
LAMKNALE_00087	K00289
LAMKNALE_00088	K01938
LAMKNALE_00089	K00077
LAMKNALE_00090	K03742
LAMKNALE_00092	K02000
LAMKNALE_00093	K02001
LAMKNALE_00095	K04564
LAMKNALE_00096	K00252
LAMKNALE_00097	K07305
LAMKNALE_00098	K03883
LAMKNALE_00100	K05568
LAMKNALE_00101	K05568
LAMKNALE_00102	K05567
LAMKNALE_00103	K05566
LAMKNALE_00104	K05566
LAMKNALE_00105	K05571
LAMKNALE_00107	K05569
LAMKNALE_00108	K02426
LAMKNALE_00109	K09160
LAMKNALE_00110	K03392
LAMKNALE_00113	K00101
LAMKNALE_00114	K11601
LAMKNALE_00115	K11603
LAMKNALE_00116	K11602
LAMKNALE_00117	K11602
LAMKNALE_00118	K00010
LAMKNALE_00121	K01995
LAMKNALE_00122	K06861
LAMKNALE_00123	K11956
LAMKNALE_00124	K11955
LAMKNALE_00125	K11954
LAMKNALE_00127	K01649
LAMKNALE_00128	K00053
LAMKNALE_00129	K01653
LAMKNALE_00130	K01652
LAMKNALE_00131	K03553
LAMKNALE_00133	K06204
LAMKNALE_00134	K00384
LAMKNALE_00135	K22071
LAMKNALE_00137	K19802
LAMKNALE_00138	K15523
LAMKNALE_00140	K01649
LAMKNALE_00141	K01271
LAMKNALE_00142	K00015
LAMKNALE_00143	K00058
LAMKNALE_00144	K16048
LAMKNALE_00145	K05884
LAMKNALE_00148	K00020
LAMKNALE_00150	K16043
LAMKNALE_00152	K00266
LAMKNALE_00153	K00174
LAMKNALE_00154	K00175
LAMKNALE_00155	K00382
LAMKNALE_00156	K10010
LAMKNALE_00157	K10037
LAMKNALE_00158	K10016
LAMKNALE_00159	K10015
LAMKNALE_00163	K22522
LAMKNALE_00164	K01649
LAMKNALE_00165	K01883
LAMKNALE_00167	K01885
LAMKNALE_00168	K01916
LAMKNALE_00169	K01626
LAMKNALE_00170	K00383
LAMKNALE_00172	K01807
LAMKNALE_00173	K01091
LAMKNALE_00175	K02231
LAMKNALE_00176	K02230
LAMKNALE_00177	K19221
LAMKNALE_00178	K02232
LAMKNALE_00179	K02227
LAMKNALE_00180	K04720
LAMKNALE_00181	K00768
LAMKNALE_00183	K01840
LAMKNALE_00184	K05539
LAMKNALE_00186	K07636
LAMKNALE_00188	K02198
LAMKNALE_00191	K18800
LAMKNALE_00192	K02517
LAMKNALE_00195	K13893
LAMKNALE_00196	K03723
LAMKNALE_00197	K09159
LAMKNALE_00198	K03655
LAMKNALE_00203	K12960
LAMKNALE_00206	K00249
LAMKNALE_00207	K03782
LAMKNALE_00212	K06158
LAMKNALE_00213	K09861
LAMKNALE_00214	K07043
LAMKNALE_00217	K00003
LAMKNALE_00218	K02446
LAMKNALE_00219	K07462
LAMKNALE_00222	K03937
LAMKNALE_00224	K23537
LAMKNALE_00225	K23535
LAMKNALE_00226	K23536
LAMKNALE_00227	K07335
LAMKNALE_00228	K03593
LAMKNALE_00230	K01760
LAMKNALE_00232	K02337
LAMKNALE_00233	K02967
LAMKNALE_00234	K02357
LAMKNALE_00235	K09903
LAMKNALE_00236	K02838
LAMKNALE_00237	K00806
LAMKNALE_00238	K00981
LAMKNALE_00239	K00099
LAMKNALE_00240	K11749
LAMKNALE_00241	K07277
LAMKNALE_00242	K02536
LAMKNALE_00243	K02372
LAMKNALE_00244	K00677
LAMKNALE_00245	K09949
LAMKNALE_00246	K00748
LAMKNALE_00247	K01647
LAMKNALE_00248	K01885
LAMKNALE_00249	K01356
LAMKNALE_00250	K03750
LAMKNALE_00251	K03637
LAMKNALE_00252	K01609
LAMKNALE_00253	K00766
LAMKNALE_00254	K01658
LAMKNALE_00255	K01657
LAMKNALE_00257	K01803
LAMKNALE_00259	K01937
LAMKNALE_00260	K01875
LAMKNALE_00261	K03787
LAMKNALE_00262	K06194
LAMKNALE_00263	K06923
LAMKNALE_00264	K03210
LAMKNALE_00265	K03072
LAMKNALE_00266	K03074
LAMKNALE_00267	K04094
LAMKNALE_00269	K03701
LAMKNALE_00270	K03111
LAMKNALE_00271	K02469
LAMKNALE_00272	K00954
LAMKNALE_00273	K03768
LAMKNALE_00274	K07568
LAMKNALE_00275	K00773
LAMKNALE_00277	K07080
LAMKNALE_00285	K03520
LAMKNALE_00286	K00108
LAMKNALE_00290	K00248
LAMKNALE_00291	K18703
LAMKNALE_00292	K02618
LAMKNALE_00293	K06978
LAMKNALE_00295	K03392
LAMKNALE_00296	K00010
LAMKNALE_00297	K04042
LAMKNALE_00298	K00820
LAMKNALE_00300	K03555
LAMKNALE_00301	K00990
LAMKNALE_00302	K03980
LAMKNALE_00303	K01867
LAMKNALE_00305	K22074
LAMKNALE_00308	K03711
LAMKNALE_00309	K00655
LAMKNALE_00310	K06168
LAMKNALE_00311	K06217
LAMKNALE_00312	K07042
LAMKNALE_00313	K03820
LAMKNALE_00314	K00789
LAMKNALE_00315	K03439
LAMKNALE_00316	K09748
LAMKNALE_00317	K02600
LAMKNALE_00318	K02519
LAMKNALE_00320	K03177
LAMKNALE_00321	K02956
LAMKNALE_00322	K00962
LAMKNALE_00323	K00208
LAMKNALE_00324	K09458
LAMKNALE_00325	K01716
LAMKNALE_00326	K03711
LAMKNALE_00328	K21029
LAMKNALE_00329	K01520
LAMKNALE_00330	K13038
LAMKNALE_00331	K03688
LAMKNALE_00332	K06127
LAMKNALE_00333	K10563
LAMKNALE_00334	K07511
LAMKNALE_00337	K02313
LAMKNALE_00338	K02338
LAMKNALE_00339	K04043
LAMKNALE_00340	K03686
LAMKNALE_00341	K00215
LAMKNALE_00342	K01834
LAMKNALE_00344	K00867
LAMKNALE_00345	K11755
LAMKNALE_00346	K02500
LAMKNALE_00347	K01814
LAMKNALE_00348	K02501
LAMKNALE_00350	K01693
LAMKNALE_00351	K01419
LAMKNALE_00352	K03667
LAMKNALE_00354	K08304
LAMKNALE_00357	K02342
LAMKNALE_00358	K00859
LAMKNALE_00360	K09773
LAMKNALE_00361	K01599
LAMKNALE_00362	K00230
LAMKNALE_00363	K03628
LAMKNALE_00364	K00344
LAMKNALE_00365	K03650
LAMKNALE_00366	K03495
LAMKNALE_00367	K03501
LAMKNALE_00368	K03496
LAMKNALE_00369	K03497
LAMKNALE_00372	K01869
LAMKNALE_00376	K06997
LAMKNALE_00378	K01142
LAMKNALE_00380	K03466
LAMKNALE_00381	K14267
LAMKNALE_00382	K03320
LAMKNALE_00383	K04751
LAMKNALE_00384	K10805
LAMKNALE_00385	K06126
LAMKNALE_00386	K09791
LAMKNALE_00388	K03671
LAMKNALE_00390	K01464
LAMKNALE_00391	K00602
LAMKNALE_00393	K03500
LAMKNALE_00395	K01895
LAMKNALE_00397	K00057
LAMKNALE_00398	K01409
LAMKNALE_00399	K01749
LAMKNALE_00403	K23107
LAMKNALE_00407	K00014
LAMKNALE_00408	K02433
LAMKNALE_00409	K03392
LAMKNALE_00414	K07552
LAMKNALE_00416	K16050
LAMKNALE_00418	K03685
LAMKNALE_00419	K03595
LAMKNALE_00420	K03584
LAMKNALE_00421	K02621
LAMKNALE_00422	K03442
LAMKNALE_00423	K01698
LAMKNALE_00424	K21470
LAMKNALE_00425	K00643
LAMKNALE_00426	K00600
LAMKNALE_00427	K07738
LAMKNALE_00428	K11752
LAMKNALE_00429	K00793
LAMKNALE_00430	K00794
LAMKNALE_00431	K03625
LAMKNALE_00432	K00946
LAMKNALE_00435	K03684
LAMKNALE_00436	K03953
LAMKNALE_00437	K06153
LAMKNALE_00438	K00799
LAMKNALE_00439	K18979
LAMKNALE_00441	K02520
LAMKNALE_00442	K02916
LAMKNALE_00443	K02887
LAMKNALE_00444	K01889
LAMKNALE_00445	K01890
LAMKNALE_00446	K03596
