GPLBGAJO_00002	K05884
GPLBGAJO_00008	K00951
GPLBGAJO_00009	K03711
GPLBGAJO_00010	K01939
GPLBGAJO_00011	K00645
GPLBGAJO_00014	K21572
GPLBGAJO_00019	K05349
GPLBGAJO_00021	K01201
GPLBGAJO_00022	K03292
GPLBGAJO_00023	K01210
GPLBGAJO_00024	K00059
GPLBGAJO_00027	K07240
GPLBGAJO_00030	K03046
GPLBGAJO_00031	K03043
GPLBGAJO_00032	K02935
GPLBGAJO_00033	K02864
GPLBGAJO_00034	K02863
GPLBGAJO_00035	K02867
GPLBGAJO_00036	K02601
GPLBGAJO_00039	K02358
GPLBGAJO_00045	K04763
GPLBGAJO_00047	K00248
GPLBGAJO_00049	K00639
GPLBGAJO_00052	K13038
GPLBGAJO_00060	K00762
GPLBGAJO_00062	K02005
GPLBGAJO_00063	K12340
GPLBGAJO_00067	K13292
GPLBGAJO_00068	K07029
GPLBGAJO_00069	K00486
GPLBGAJO_00075	K13985
GPLBGAJO_00076	K01673
GPLBGAJO_00077	K00954
GPLBGAJO_00083	K03320
GPLBGAJO_00086	K13292
GPLBGAJO_00088	K18707
GPLBGAJO_00090	K06911
GPLBGAJO_00100	K01784
GPLBGAJO_00102	K01963
GPLBGAJO_00103	K02437
GPLBGAJO_00112	K02551
GPLBGAJO_00117	K00605
GPLBGAJO_00119	K11927
GPLBGAJO_00124	K03841
GPLBGAJO_00125	K00928
GPLBGAJO_00126	K00889
GPLBGAJO_00127	K22071
GPLBGAJO_00129	K03270
GPLBGAJO_00131	K01092
GPLBGAJO_00132	K01028
GPLBGAJO_00133	K01029
GPLBGAJO_00135	K00024
GPLBGAJO_00137	K02004
GPLBGAJO_00138	K07568
GPLBGAJO_00139	K08591
GPLBGAJO_00141	K00606
GPLBGAJO_00144	K04043
GPLBGAJO_00145	K00324
GPLBGAJO_00146	K00324
GPLBGAJO_00147	K00325
GPLBGAJO_00148	K09761
GPLBGAJO_00159	K03545
GPLBGAJO_00160	K01358
GPLBGAJO_00161	K03544
GPLBGAJO_00162	K06902
GPLBGAJO_00166	K02034
GPLBGAJO_00168	K03748
GPLBGAJO_00169	K01778
GPLBGAJO_00172	K04771
GPLBGAJO_00175	K03569
GPLBGAJO_00178	K05515
GPLBGAJO_00179	K05837
GPLBGAJO_00180	K01069
GPLBGAJO_00188	K01251
GPLBGAJO_00191	K11536
GPLBGAJO_00192	K01847
GPLBGAJO_00193	K03932
GPLBGAJO_00199	K06950
GPLBGAJO_00201	K07560
GPLBGAJO_00202	K00858
GPLBGAJO_00205	K01658
GPLBGAJO_00206	K11381
GPLBGAJO_00208	K04759
GPLBGAJO_00210	K02477
GPLBGAJO_00212	K03832
GPLBGAJO_00213	K01662
GPLBGAJO_00214	K22736
GPLBGAJO_00215	K01669
GPLBGAJO_00217	K00059
GPLBGAJO_00218	K01669
GPLBGAJO_00219	K06876
GPLBGAJO_00223	K01002
