HLOLMFMH_00002	K03327
HLOLMFMH_00003	K02493
HLOLMFMH_00004	K02835
HLOLMFMH_00005	K02492
HLOLMFMH_00009	K00948
HLOLMFMH_00010	K02897
HLOLMFMH_00011	K01056
HLOLMFMH_00012	K06942
HLOLMFMH_00018	K00078
HLOLMFMH_00019	K08150
HLOLMFMH_00022	K02004
HLOLMFMH_00023	K02003
HLOLMFMH_00024	K02005
HLOLMFMH_00026	K02521
HLOLMFMH_00027	K00053
HLOLMFMH_00028	K02168
HLOLMFMH_00029	K02429
HLOLMFMH_00031	K01847
HLOLMFMH_00032	K04043
HLOLMFMH_00033	K00529
HLOLMFMH_00035	K01897
HLOLMFMH_00036	K01424
HLOLMFMH_00037	K01271
HLOLMFMH_00038	K11102
HLOLMFMH_00043	K03566
HLOLMFMH_00044	K03088
HLOLMFMH_00046	K02500
HLOLMFMH_00047	K14652
HLOLMFMH_00048	K03296
HLOLMFMH_00050	K01095
HLOLMFMH_00051	K00946
HLOLMFMH_00052	K03625
HLOLMFMH_00053	K00794
HLOLMFMH_00054	K14652
HLOLMFMH_00055	K00793
HLOLMFMH_00056	K11752
HLOLMFMH_00057	K07738
HLOLMFMH_00059	K00600
HLOLMFMH_00060	K03215
HLOLMFMH_00067	K01669
HLOLMFMH_00068	K06876
HLOLMFMH_00071	K13787
HLOLMFMH_00072	K10027
HLOLMFMH_00073	K02291
HLOLMFMH_00076	K01823
HLOLMFMH_00080	K05605
HLOLMFMH_00082	K00128
HLOLMFMH_00083	K22443
HLOLMFMH_00090	K14540
HLOLMFMH_00092	K01008
HLOLMFMH_00093	K06917
HLOLMFMH_00095	K08683
HLOLMFMH_00097	K02501
HLOLMFMH_00098	K01693
HLOLMFMH_00099	K02014
HLOLMFMH_00101	K03575
HLOLMFMH_00109	K11744
HLOLMFMH_00111	K07090
HLOLMFMH_00114	K02837
HLOLMFMH_00115	K01772
HLOLMFMH_00116	K11414
HLOLMFMH_00117	K00147
HLOLMFMH_00118	K00969
HLOLMFMH_00119	K09710
HLOLMFMH_00120	K00783
HLOLMFMH_00121	K05515
HLOLMFMH_00122	K05837
HLOLMFMH_00123	K08305
HLOLMFMH_00124	K03642
HLOLMFMH_00125	K07258
HLOLMFMH_00126	K09158
HLOLMFMH_00127	K03801
HLOLMFMH_00128	K03644
HLOLMFMH_00130	K02346
HLOLMFMH_00131	K07789
HLOLMFMH_00132	K03585
HLOLMFMH_00134	K01507
HLOLMFMH_00135	K03087
HLOLMFMH_00136	K12943
HLOLMFMH_00137	K08974
HLOLMFMH_00138	K00573
HLOLMFMH_00139	K06176
HLOLMFMH_00140	K01770
HLOLMFMH_00141	K00991
HLOLMFMH_00143	K01689
HLOLMFMH_00144	K01627
HLOLMFMH_00145	K01937
HLOLMFMH_00146	K04075
HLOLMFMH_00147	K09898
HLOLMFMH_00149	K03216
HLOLMFMH_00150	K03840
HLOLMFMH_00155	K01749
HLOLMFMH_00156	K02477
HLOLMFMH_00157	K01755
HLOLMFMH_00158	K06202
HLOLMFMH_00159	K01586
HLOLMFMH_00160	K01778
HLOLMFMH_00162	K12573
HLOLMFMH_00163	K11527
HLOLMFMH_00165	K02884
HLOLMFMH_00166	K00554
HLOLMFMH_00167	K02860
HLOLMFMH_00168	K02959
HLOLMFMH_00169	K03106
HLOLMFMH_00175	K18453
HLOLMFMH_00177	K03386
HLOLMFMH_00178	K07390
HLOLMFMH_00182	K00821
HLOLMFMH_00183	K00611
HLOLMFMH_00184	K03624
HLOLMFMH_00185	K01955
HLOLMFMH_00186	K01956
HLOLMFMH_00187	K00215
HLOLMFMH_00188	K03686
HLOLMFMH_00189	K04043
HLOLMFMH_00190	K03687
HLOLMFMH_00191	K03631
HLOLMFMH_00192	K00962
HLOLMFMH_00193	K02956
HLOLMFMH_00194	K03177
HLOLMFMH_00195	K02834
HLOLMFMH_00196	K02519
HLOLMFMH_00197	K02600
HLOLMFMH_00198	K09748
HLOLMFMH_00200	K05801
HLOLMFMH_00201	K01913
HLOLMFMH_00203	K06929
HLOLMFMH_00204	K00605
HLOLMFMH_00206	K01807
HLOLMFMH_00207	K01754
HLOLMFMH_00208	K00873
HLOLMFMH_00209	K01934
HLOLMFMH_00213	K01262
HLOLMFMH_00214	K03185
HLOLMFMH_00215	K06126
HLOLMFMH_00216	K00564
HLOLMFMH_00217	K06183
HLOLMFMH_00218	K01698
HLOLMFMH_00219	K01845
HLOLMFMH_00220	K08973
HLOLMFMH_00221	K00145
HLOLMFMH_00224	K15724
HLOLMFMH_00226	K09001
HLOLMFMH_00227	K19304
HLOLMFMH_00228	K01866
HLOLMFMH_00229	K00820
HLOLMFMH_00230	K04042
HLOLMFMH_00231	K02114
HLOLMFMH_00232	K02112
HLOLMFMH_00233	K02115
HLOLMFMH_00234	K02111
HLOLMFMH_00235	K02113
HLOLMFMH_00236	K02109
HLOLMFMH_00237	K02110
HLOLMFMH_00238	K02108
HLOLMFMH_00240	K03497
HLOLMFMH_00241	K03496
HLOLMFMH_00242	K03501
HLOLMFMH_00243	K03495
HLOLMFMH_00246	K08998
HLOLMFMH_00247	K03217
HLOLMFMH_00248	K03650
HLOLMFMH_00249	K02313
HLOLMFMH_00250	K02338
HLOLMFMH_00251	K03629
HLOLMFMH_00252	K02470
HLOLMFMH_00254	K00655
HLOLMFMH_00255	K01879
HLOLMFMH_00256	K01878
HLOLMFMH_00257	K00963
HLOLMFMH_00259	K03181
HLOLMFMH_00260	K03179
HLOLMFMH_00262	K09861
HLOLMFMH_00264	K07126
HLOLMFMH_00265	K03281
HLOLMFMH_00268	K10806
HLOLMFMH_00270	K03559
HLOLMFMH_00271	K10563
HLOLMFMH_00272	K00954
HLOLMFMH_00273	K08316
HLOLMFMH_00274	K03110
HLOLMFMH_00275	K09812
HLOLMFMH_00276	K09811
HLOLMFMH_00277	K03089
HLOLMFMH_00279	K03439
HLOLMFMH_00280	K03773
HLOLMFMH_00284	K03611
HLOLMFMH_00286	K01919
HLOLMFMH_00288	K03152
HLOLMFMH_00289	K05939
HLOLMFMH_00291	K03182
HLOLMFMH_00292	K03628
HLOLMFMH_00293	K03671
HLOLMFMH_00294	K00382
HLOLMFMH_00295	K13283
HLOLMFMH_00297	K02428
HLOLMFMH_00300	K00641
HLOLMFMH_00302	K02221
HLOLMFMH_00303	K00286
HLOLMFMH_00304	K06997
HLOLMFMH_00305	K02669
HLOLMFMH_00306	K02669
HLOLMFMH_00307	K02670
HLOLMFMH_00308	K07447
HLOLMFMH_00309	K07735
HLOLMFMH_00311	K01920
HLOLMFMH_00312	K07658
HLOLMFMH_00315	K00666
HLOLMFMH_00317	K01783
HLOLMFMH_00318	K01657
HLOLMFMH_00319	K01658
HLOLMFMH_00320	K00766
HLOLMFMH_00321	K01609
HLOLMFMH_00323	K10914
HLOLMFMH_00324	K07397
HLOLMFMH_00329	K01945
HLOLMFMH_00330	K12119
HLOLMFMH_00331	K00602
HLOLMFMH_00332	K03557
HLOLMFMH_00333	K05540
HLOLMFMH_00334	K00087
HLOLMFMH_00336	K01969
HLOLMFMH_00337	K00253
HLOLMFMH_00339	K16048
HLOLMFMH_00340	K00219
HLOLMFMH_00341	K12663
HLOLMFMH_00346	K03545
HLOLMFMH_00347	K01358
HLOLMFMH_00348	K03544
HLOLMFMH_00349	K01338
HLOLMFMH_00350	K03530
HLOLMFMH_00352	K08307
HLOLMFMH_00354	K03469
HLOLMFMH_00355	K02342
HLOLMFMH_00356	K03578
HLOLMFMH_00358	K09930
HLOLMFMH_00361	K04754
HLOLMFMH_00365	K01703
HLOLMFMH_00366	K01704
HLOLMFMH_00367	K00052
HLOLMFMH_00368	K00133
HLOLMFMH_00370	K06173
HLOLMFMH_00371	K01817
HLOLMFMH_00372	K01963
HLOLMFMH_00373	K11754
HLOLMFMH_00375	K03558
HLOLMFMH_00376	K00764
HLOLMFMH_00377	K10764
HLOLMFMH_00378	K07304
HLOLMFMH_00379	K02031
HLOLMFMH_00380	K15582
HLOLMFMH_00381	K15581
HLOLMFMH_00382	K15580
HLOLMFMH_00383	K02343
HLOLMFMH_00384	K09747
HLOLMFMH_00385	K06187
HLOLMFMH_00386	K03684
HLOLMFMH_00387	K09902
HLOLMFMH_00388	K09160
HLOLMFMH_00390	K09516
HLOLMFMH_00392	K03088
HLOLMFMH_00397	K01897
HLOLMFMH_00398	K03186
HLOLMFMH_00400	K03654
HLOLMFMH_00401	K13821
HLOLMFMH_00402	K03719
HLOLMFMH_00403	K01775
HLOLMFMH_00404	K00824
HLOLMFMH_00405	K06350
HLOLMFMH_00406	K06351
HLOLMFMH_00407	K07160
HLOLMFMH_00410	K01881
HLOLMFMH_00414	K01876
HLOLMFMH_00417	K01159
HLOLMFMH_00418	K03550
HLOLMFMH_00419	K03551
HLOLMFMH_00420	K07107
HLOLMFMH_00421	K03562
HLOLMFMH_00422	K03559
HLOLMFMH_00424	K03641
HLOLMFMH_00425	K03640
HLOLMFMH_00427	K10026
HLOLMFMH_00428	K06920
HLOLMFMH_00434	K01885
HLOLMFMH_00435	K15537
HLOLMFMH_00437	K22443
HLOLMFMH_00440	K01132
HLOLMFMH_00441	K00059
HLOLMFMH_00443	K00666
HLOLMFMH_00446	K10680
HLOLMFMH_00448	K00249
HLOLMFMH_00449	K12663
HLOLMFMH_00450	K00117
HLOLMFMH_00451	K13299
HLOLMFMH_00453	K00784
HLOLMFMH_00460	K01130
HLOLMFMH_00462	K07516
HLOLMFMH_00463	K02371
HLOLMFMH_00464	K11729
HLOLMFMH_00465	K01796
HLOLMFMH_00466	K00860
HLOLMFMH_00467	K00958
HLOLMFMH_00470	K11927
HLOLMFMH_00471	K03321
HLOLMFMH_00474	K04079
HLOLMFMH_00475	K00057
HLOLMFMH_00477	K08296
HLOLMFMH_00480	K01495
HLOLMFMH_00481	K07320
HLOLMFMH_00482	K01736
HLOLMFMH_00484	K00616
HLOLMFMH_00485	K05539
HLOLMFMH_00488	K01113
HLOLMFMH_00489	K03703
HLOLMFMH_00490	K00995
HLOLMFMH_00493	K12308
HLOLMFMH_00495	K00059
HLOLMFMH_00496	K00883
HLOLMFMH_00497	K01631
HLOLMFMH_00499	K21600
HLOLMFMH_00504	K19810
HLOLMFMH_00505	K11991
HLOLMFMH_00506	K18691
HLOLMFMH_00507	K01952
HLOLMFMH_00510	K03925
HLOLMFMH_00511	K03438
HLOLMFMH_00513	K03587
HLOLMFMH_00514	K01928
HLOLMFMH_00515	K01929
HLOLMFMH_00516	K01000
HLOLMFMH_00517	K01925
HLOLMFMH_00518	K03588
HLOLMFMH_00519	K02563
HLOLMFMH_00520	K01924
HLOLMFMH_00521	K01921
HLOLMFMH_00522	K03589
HLOLMFMH_00523	K03590
HLOLMFMH_00524	K03531
HLOLMFMH_00525	K02535
HLOLMFMH_00527	K03070
HLOLMFMH_00528	K00620
HLOLMFMH_00529	K03574
HLOLMFMH_00531	K00859
HLOLMFMH_00532	K02654
HLOLMFMH_00533	K02653
HLOLMFMH_00534	K02653
HLOLMFMH_00536	K02652
HLOLMFMH_00538	K02682
HLOLMFMH_00539	K00767
HLOLMFMH_00542	K09941
HLOLMFMH_00544	K01961
HLOLMFMH_00546	K00219
HLOLMFMH_00548	K00249
HLOLMFMH_00551	K09478
HLOLMFMH_00553	K03305
HLOLMFMH_00554	K01283
HLOLMFMH_00556	K00059
HLOLMFMH_00557	K00626
HLOLMFMH_00561	K03315
HLOLMFMH_00562	K00626
HLOLMFMH_00563	K00059
