MEPKJAOO_00001	K02950
MEPKJAOO_00002	K02992
MEPKJAOO_00003	K02355
MEPKJAOO_00004	K02946
MEPKJAOO_00005	K02906
MEPKJAOO_00006	K02926
MEPKJAOO_00007	K02892
MEPKJAOO_00008	K02886
MEPKJAOO_00009	K02965
MEPKJAOO_00010	K02890
MEPKJAOO_00011	K02982
MEPKJAOO_00012	K02878
MEPKJAOO_00014	K02961
MEPKJAOO_00015	K02874
MEPKJAOO_00016	K02895
MEPKJAOO_00017	K02931
MEPKJAOO_00018	K02954
MEPKJAOO_00019	K02994
MEPKJAOO_00020	K02933
MEPKJAOO_00021	K02881
MEPKJAOO_00022	K02988
MEPKJAOO_00023	K02907
MEPKJAOO_00024	K02876
MEPKJAOO_00025	K03076
MEPKJAOO_00026	K01265
MEPKJAOO_00027	K02518
MEPKJAOO_00029	K02952
MEPKJAOO_00030	K02948
MEPKJAOO_00031	K02986
MEPKJAOO_00032	K03040
MEPKJAOO_00033	K02879
MEPKJAOO_00034	K01956
MEPKJAOO_00035	K01689
MEPKJAOO_00036	K01647
MEPKJAOO_00037	K16239
MEPKJAOO_00040	K01897
MEPKJAOO_00042	K02314
MEPKJAOO_00043	K01962
MEPKJAOO_00044	K00919
MEPKJAOO_00045	K03628
MEPKJAOO_00047	K07095
MEPKJAOO_00050	K08591
MEPKJAOO_00055	K01924
MEPKJAOO_00058	K07139
MEPKJAOO_00061	K11720
MEPKJAOO_00062	K00773
MEPKJAOO_00064	K02914
MEPKJAOO_00065	K01955
MEPKJAOO_00071	K02805
MEPKJAOO_00074	K01784
MEPKJAOO_00076	K07058
MEPKJAOO_00077	K00767
MEPKJAOO_00078	K00783
MEPKJAOO_00079	K02428
MEPKJAOO_00080	K00954
MEPKJAOO_00085	K23269
MEPKJAOO_00088	K03741
MEPKJAOO_00092	K18682
MEPKJAOO_00094	K01921
MEPKJAOO_00097	K06180
MEPKJAOO_00098	K18285
MEPKJAOO_00102	K04066
MEPKJAOO_00103	K06180
MEPKJAOO_00104	K00606
MEPKJAOO_00107	K04043
MEPKJAOO_00110	K08307
MEPKJAOO_00111	K01662
MEPKJAOO_00112	K01893
MEPKJAOO_00113	K03092
MEPKJAOO_00120	K02433
MEPKJAOO_00125	K01520
MEPKJAOO_00127	K01715
MEPKJAOO_00128	K02115
MEPKJAOO_00129	K02111
MEPKJAOO_00131	K02109
MEPKJAOO_00133	K02108
MEPKJAOO_00140	K00099
MEPKJAOO_00141	K11749
MEPKJAOO_00143	K14085
MEPKJAOO_00144	K01710
MEPKJAOO_00149	K00057
MEPKJAOO_00151	K19430
MEPKJAOO_00153	K16698
MEPKJAOO_00162	K13444
MEPKJAOO_00165	K03168
MEPKJAOO_00166	K06168
MEPKJAOO_00170	K03075
MEPKJAOO_00171	K04078
MEPKJAOO_00172	K04077
