KNGECOPJ_00001	K11536
KNGECOPJ_00007	K07259
KNGECOPJ_00012	K09931
KNGECOPJ_00013	K03783
KNGECOPJ_00018	K00362
KNGECOPJ_00021	K13680
KNGECOPJ_00023	K06178
KNGECOPJ_00026	K01597
KNGECOPJ_00028	K01126
KNGECOPJ_00029	K22071
KNGECOPJ_00031	K03593
KNGECOPJ_00032	K07443
KNGECOPJ_00033	K03439
KNGECOPJ_00034	K07636
KNGECOPJ_00035	K07658
KNGECOPJ_00038	K01866
KNGECOPJ_00041	K01465
KNGECOPJ_00042	K00721
KNGECOPJ_00044	K01719
KNGECOPJ_00046	K03718
KNGECOPJ_00047	K06973
KNGECOPJ_00048	K15383
KNGECOPJ_00049	K01869
KNGECOPJ_00050	K09811
KNGECOPJ_00052	K06153
KNGECOPJ_00053	K03177
KNGECOPJ_00054	K03517
KNGECOPJ_00055	K00278
KNGECOPJ_00056	K00767
KNGECOPJ_00057	K09903
KNGECOPJ_00058	K02838
KNGECOPJ_00060	K01893
KNGECOPJ_00061	K03092
KNGECOPJ_00066	K03561
KNGECOPJ_00068	K00457
KNGECOPJ_00069	K00500
KNGECOPJ_00071	K01555
KNGECOPJ_00074	K03424
KNGECOPJ_00076	K00658
KNGECOPJ_00077	K00164
KNGECOPJ_00078	K03502
KNGECOPJ_00079	K03503
KNGECOPJ_00081	K00632
KNGECOPJ_00082	K07516
KNGECOPJ_00090	K00249
KNGECOPJ_00092	K05349
KNGECOPJ_00095	K03555
KNGECOPJ_00097	K00950
KNGECOPJ_00098	K04773
KNGECOPJ_00099	K09125
KNGECOPJ_00100	K06182
KNGECOPJ_00103	K03544
KNGECOPJ_00104	K01358
KNGECOPJ_00105	K03545
KNGECOPJ_00106	K02959
KNGECOPJ_00107	K02860
KNGECOPJ_00108	K00252
KNGECOPJ_00113	K02014
KNGECOPJ_00116	K02564
KNGECOPJ_00122	K21572
KNGECOPJ_00125	K10805
KNGECOPJ_00126	K01809
KNGECOPJ_00127	K01132
KNGECOPJ_00130	K21573
KNGECOPJ_00131	K02529
KNGECOPJ_00132	K16211
KNGECOPJ_00133	K01838
KNGECOPJ_00134	K00691
KNGECOPJ_00135	K01208
KNGECOPJ_00136	K01226
KNGECOPJ_00139	K02834
KNGECOPJ_00143	K03596
KNGECOPJ_00147	K01673
KNGECOPJ_00149	K13274
KNGECOPJ_00150	K01256
KNGECOPJ_00152	K02348
KNGECOPJ_00153	K01808
KNGECOPJ_00154	K12573
KNGECOPJ_00158	K01886
KNGECOPJ_00160	K01885
KNGECOPJ_00162	K03495
KNGECOPJ_00164	K02341
KNGECOPJ_00165	K00927
KNGECOPJ_00172	K01945
KNGECOPJ_00176	K02613
KNGECOPJ_00177	K04659
KNGECOPJ_00182	K03744
KNGECOPJ_00185	K12941
KNGECOPJ_00194	K09022
KNGECOPJ_00204	K01740
KNGECOPJ_00207	K16055
KNGECOPJ_00208	K22934
KNGECOPJ_00210	K09117
KNGECOPJ_00211	K03531
KNGECOPJ_00212	K03590
KNGECOPJ_00214	K01924
KNGECOPJ_00215	K02563
KNGECOPJ_00216	K03588
KNGECOPJ_00217	K01925
KNGECOPJ_00218	K01000
KNGECOPJ_00219	K01928
KNGECOPJ_00220	K03587
KNGECOPJ_00222	K03438
KNGECOPJ_00223	K03925
KNGECOPJ_00224	K16050
KNGECOPJ_00225	K03978
KNGECOPJ_00228	K01916
KNGECOPJ_00229	K02479
KNGECOPJ_00230	K02316
KNGECOPJ_00231	K02523
KNGECOPJ_00232	K06941
KNGECOPJ_00233	K07568
KNGECOPJ_00234	K00800
KNGECOPJ_00236	K07025
KNGECOPJ_00238	K03630
KNGECOPJ_00239	K07133
KNGECOPJ_00241	K07734
KNGECOPJ_00242	K01924
KNGECOPJ_00243	K03979
KNGECOPJ_00244	K00939
KNGECOPJ_00245	K01589
KNGECOPJ_00246	K01588
KNGECOPJ_00247	K01284
KNGECOPJ_00249	K00281
KNGECOPJ_00250	K00648
KNGECOPJ_00251	K02066
KNGECOPJ_00252	K02065
KNGECOPJ_00253	K00971
KNGECOPJ_00255	K00059
KNGECOPJ_00256	K00627
KNGECOPJ_00257	K00161
KNGECOPJ_00260	K01929
KNGECOPJ_00273	K07260
KNGECOPJ_00275	K09861
KNGECOPJ_00276	K06180
KNGECOPJ_00278	K01921
KNGECOPJ_00279	K00954
KNGECOPJ_00281	K00762
KNGECOPJ_00284	K03524
KNGECOPJ_00285	K09710
KNGECOPJ_00286	K03798
KNGECOPJ_00288	K00981
KNGECOPJ_00289	K01613
KNGECOPJ_00290	K01873
KNGECOPJ_00293	K00812
KNGECOPJ_00294	K00075
KNGECOPJ_00295	K07560
KNGECOPJ_00296	K06949
KNGECOPJ_00297	K15633
KNGECOPJ_00299	K01265
KNGECOPJ_00304	K03734
KNGECOPJ_00306	K00351
KNGECOPJ_00307	K00350
KNGECOPJ_00308	K00349
KNGECOPJ_00309	K00348
KNGECOPJ_00310	K00347
KNGECOPJ_00311	K00346
KNGECOPJ_00314	K00294
KNGECOPJ_00315	K03501
KNGECOPJ_00316	K00508
KNGECOPJ_00317	K00812
KNGECOPJ_00318	K04516
KNGECOPJ_00319	K04517
KNGECOPJ_00320	K10206
KNGECOPJ_00321	K04518
KNGECOPJ_00323	K01990
KNGECOPJ_00324	K00297
KNGECOPJ_00325	K00548
KNGECOPJ_00326	K00548
KNGECOPJ_00327	K10764
KNGECOPJ_00328	K07397
KNGECOPJ_00329	K00641
KNGECOPJ_00330	K00789
KNGECOPJ_00332	K01480
KNGECOPJ_00333	K01468
