LLFADLJE_00001	K02371
LLFADLJE_00003	K03704
LLFADLJE_00006	K18707
LLFADLJE_00009	K12368
LLFADLJE_00014	K03572
LLFADLJE_00016	K00794
LLFADLJE_00018	K03629
LLFADLJE_00020	K00940
LLFADLJE_00021	K06881
LLFADLJE_00023	K03773
LLFADLJE_00024	K12736
LLFADLJE_00025	K19302
LLFADLJE_00026	K19005
LLFADLJE_00029	K07588
LLFADLJE_00030	K01883
LLFADLJE_00031	K08998
LLFADLJE_00039	K05995
LLFADLJE_00040	K14652
LLFADLJE_00041	K07091
LLFADLJE_00043	K03466
LLFADLJE_00045	K11065
LLFADLJE_00046	K03327
LLFADLJE_00049	K07456
LLFADLJE_00050	K03648
LLFADLJE_00052	K00757
LLFADLJE_00054	K07658
LLFADLJE_00058	K15738
LLFADLJE_00060	K02032
LLFADLJE_00061	K00973
LLFADLJE_00065	K09516
LLFADLJE_00068	K04096
LLFADLJE_00071	K03723
LLFADLJE_00076	K19428
LLFADLJE_00077	K19430
LLFADLJE_00078	K19421
LLFADLJE_00080	K01929
LLFADLJE_00084	K01489
LLFADLJE_00085	K00648
LLFADLJE_00086	K01951
LLFADLJE_00090	K12941
LLFADLJE_00091	K01847
LLFADLJE_00092	K01847
LLFADLJE_00094	K00876
LLFADLJE_00096	K01669
LLFADLJE_00098	K05770
LLFADLJE_00100	K00432
LLFADLJE_00101	K00059
LLFADLJE_00103	K01495
LLFADLJE_00106	K01669
LLFADLJE_00107	K06876
LLFADLJE_00108	K01669
LLFADLJE_00111	K08869
LLFADLJE_00114	K00384
LLFADLJE_00117	K00632
LLFADLJE_00118	K07516
LLFADLJE_00120	K02481
LLFADLJE_00121	K00372
LLFADLJE_00122	K03782
LLFADLJE_00124	K02342
LLFADLJE_00128	K03453
LLFADLJE_00130	K09761
LLFADLJE_00135	K02621
LLFADLJE_00136	K02622
LLFADLJE_00137	K01586
LLFADLJE_00140	K22074
LLFADLJE_00141	K03593
LLFADLJE_00143	K03439
LLFADLJE_00146	K00761
LLFADLJE_00150	K00942
LLFADLJE_00151	K00969
LLFADLJE_00155	K02341
LLFADLJE_00156	K00927
LLFADLJE_00160	K01886
LLFADLJE_00165	K13274
LLFADLJE_00168	K02613
LLFADLJE_00169	K00133
LLFADLJE_00170	K07146
LLFADLJE_00173	K05366
LLFADLJE_00174	K01028
LLFADLJE_00175	K01029
LLFADLJE_00176	K01142
LLFADLJE_00177	K08307
LLFADLJE_00179	K01867
LLFADLJE_00180	K00655
LLFADLJE_00181	K11068
LLFADLJE_00185	K16089
LLFADLJE_00187	K10805
LLFADLJE_00189	K00252
LLFADLJE_00190	K00499
LLFADLJE_00191	K03759
LLFADLJE_00192	K01482
LLFADLJE_00194	K03797
LLFADLJE_00199	K03564
LLFADLJE_00200	K10773
LLFADLJE_00201	K03088
LLFADLJE_00202	K03701
LLFADLJE_00206	K02477
LLFADLJE_00207	K12235
LLFADLJE_00209	K01463
LLFADLJE_00210	K01758
LLFADLJE_00212	K03270
LLFADLJE_00214	K00573
LLFADLJE_00215	K03810
LLFADLJE_00216	K00074
LLFADLJE_00218	K02005
LLFADLJE_00219	K02004
LLFADLJE_00220	K02004
LLFADLJE_00221	K02003
LLFADLJE_00225	K06207
LLFADLJE_00227	K00318
LLFADLJE_00228	K01735
LLFADLJE_00229	K00754
LLFADLJE_00230	K00615
LLFADLJE_00233	K02314
LLFADLJE_00237	K03437
LLFADLJE_00238	K00886
LLFADLJE_00239	K06013
LLFADLJE_00240	K00951
LLFADLJE_00241	K03711
LLFADLJE_00242	K01939
LLFADLJE_00244	K00821
LLFADLJE_00246	K01681
LLFADLJE_00247	K03686
LLFADLJE_00248	K03687
LLFADLJE_00249	K00790
LLFADLJE_00251	K03657
LLFADLJE_00258	K16092
LLFADLJE_00259	K02016
LLFADLJE_00261	K00508
LLFADLJE_00262	K00812
LLFADLJE_00263	K03531
LLFADLJE_00264	K03590
LLFADLJE_00266	K01924
LLFADLJE_00267	K02563
LLFADLJE_00268	K03588
LLFADLJE_00269	K01925
LLFADLJE_00270	K01000
LLFADLJE_00271	K01928
LLFADLJE_00272	K03587
LLFADLJE_00274	K03438
LLFADLJE_00275	K03925
LLFADLJE_00276	K16050
LLFADLJE_00277	K03978
LLFADLJE_00278	K06180
LLFADLJE_00281	K01434
LLFADLJE_00283	K01784
LLFADLJE_00284	K00645
LLFADLJE_00285	K04762
LLFADLJE_00288	K00615
LLFADLJE_00289	K06287
LLFADLJE_00291	K03664
LLFADLJE_00295	K17677
LLFADLJE_00296	K01555
LLFADLJE_00297	K00600
LLFADLJE_00299	K09760
LLFADLJE_00301	K01258
LLFADLJE_00307	K03088
LLFADLJE_00311	K01256
LLFADLJE_00314	K03718
LLFADLJE_00315	K14287
LLFADLJE_00316	K11381
LLFADLJE_00317	K00359
LLFADLJE_00318	K06180
LLFADLJE_00319	K07552
LLFADLJE_00327	K07636
LLFADLJE_00328	K00859
LLFADLJE_00330	K03210
LLFADLJE_00332	K03625
LLFADLJE_00333	K00263
LLFADLJE_00334	K18889
LLFADLJE_00336	K02361
LLFADLJE_00339	K01990
LLFADLJE_00343	K03771
LLFADLJE_00344	K03924
LLFADLJE_00348	K01144
LLFADLJE_00350	K22468
LLFADLJE_00351	K22468
LLFADLJE_00354	K04487
LLFADLJE_00355	K01892
LLFADLJE_00356	K01495
LLFADLJE_00357	K03070
LLFADLJE_00359	K00798
LLFADLJE_00364	K01468
LLFADLJE_00366	K01679
LLFADLJE_00369	K00537
LLFADLJE_00370	K02836
LLFADLJE_00372	K00869
LLFADLJE_00376	K01620
LLFADLJE_00378	K03088
LLFADLJE_00385	K03111
LLFADLJE_00386	K03575
LLFADLJE_00387	K03530
LLFADLJE_00388	K08301
LLFADLJE_00389	K03703
LLFADLJE_00390	K03101
LLFADLJE_00392	K01870
LLFADLJE_00395	K06950
LLFADLJE_00399	K01715
LLFADLJE_00400	K13598
LLFADLJE_00401	K01869
LLFADLJE_00403	K04759
LLFADLJE_00410	K00088
LLFADLJE_00419	K00254
LLFADLJE_00420	K01890
LLFADLJE_00421	K01246
LLFADLJE_00422	K03655
LLFADLJE_00425	K02961
LLFADLJE_00427	K02878
LLFADLJE_00428	K02982
LLFADLJE_00429	K02890
LLFADLJE_00430	K02965
LLFADLJE_00431	K02886
LLFADLJE_00432	K02892
LLFADLJE_00433	K02926
LLFADLJE_00434	K02906
LLFADLJE_00435	K02946
LLFADLJE_00436	K02355
LLFADLJE_00437	K02992
