NPBHCDIL_00005	K00285
NPBHCDIL_00006	K18384
NPBHCDIL_00012	K03321
NPBHCDIL_00015	K00632
NPBHCDIL_00016	K07516
NPBHCDIL_00021	K01897
NPBHCDIL_00023	K01952
NPBHCDIL_00027	K00849
NPBHCDIL_00035	K03932
NPBHCDIL_00038	K01681
NPBHCDIL_00039	K03924
NPBHCDIL_00040	K03771
NPBHCDIL_00042	K03771
NPBHCDIL_00043	K00088
NPBHCDIL_00047	K00254
NPBHCDIL_00048	K01258
NPBHCDIL_00052	K00263
NPBHCDIL_00053	K18889
NPBHCDIL_00056	K02371
NPBHCDIL_00057	K00566
NPBHCDIL_00058	K19519
NPBHCDIL_00060	K03217
NPBHCDIL_00061	K01937
NPBHCDIL_00062	K09954
NPBHCDIL_00064	K01951
NPBHCDIL_00065	K01641
NPBHCDIL_00070	K02003
NPBHCDIL_00071	K00798
NPBHCDIL_00073	K03070
NPBHCDIL_00074	K09781
NPBHCDIL_00078	K07588
NPBHCDIL_00080	K00748
NPBHCDIL_00081	K19302
NPBHCDIL_00084	K03327
NPBHCDIL_00086	K21572
NPBHCDIL_00088	K01302
NPBHCDIL_00089	K02481
NPBHCDIL_00090	K03686
NPBHCDIL_00091	K03687
NPBHCDIL_00095	K00826
NPBHCDIL_00098	K01277
NPBHCDIL_00099	K06199
NPBHCDIL_00100	K09164
NPBHCDIL_00103	K01847
NPBHCDIL_00104	K01591
NPBHCDIL_00105	K02835
NPBHCDIL_00106	K01933
NPBHCDIL_00107	K01915
NPBHCDIL_00108	K07301
NPBHCDIL_00112	K16089
NPBHCDIL_00114	K08301
NPBHCDIL_00115	K03530
NPBHCDIL_00116	K03575
NPBHCDIL_00117	K03111
NPBHCDIL_00122	K02888
NPBHCDIL_00123	K02899
NPBHCDIL_00125	K01251
NPBHCDIL_00127	K03811
NPBHCDIL_00131	K02014
NPBHCDIL_00133	K03624
NPBHCDIL_00134	K02503
NPBHCDIL_00135	K07698
NPBHCDIL_00138	K00684
NPBHCDIL_00140	K01246
NPBHCDIL_00141	K03177
NPBHCDIL_00142	K06153
NPBHCDIL_00144	K09811
NPBHCDIL_00145	K01869
NPBHCDIL_00146	K06973
NPBHCDIL_00147	K14157
NPBHCDIL_00149	K01610
NPBHCDIL_00150	K01719
NPBHCDIL_00152	K00721
NPBHCDIL_00153	K01465
NPBHCDIL_00155	K00091
NPBHCDIL_00156	K01866
NPBHCDIL_00157	K07636
NPBHCDIL_00158	K07658
NPBHCDIL_00161	K03439
NPBHCDIL_00163	K07443
NPBHCDIL_00164	K03593
NPBHCDIL_00166	K01895
NPBHCDIL_00167	K00252
NPBHCDIL_00168	K00499
NPBHCDIL_00169	K03759
NPBHCDIL_00171	K15460
NPBHCDIL_00172	K02860
NPBHCDIL_00173	K02959
NPBHCDIL_00175	K02337
NPBHCDIL_00176	K03671
NPBHCDIL_00184	K09793
NPBHCDIL_00187	K01159
NPBHCDIL_00193	K05592
NPBHCDIL_00202	K01489
NPBHCDIL_00203	K00161
NPBHCDIL_00204	K00627
NPBHCDIL_00205	K11166
NPBHCDIL_00209	K02065
NPBHCDIL_00210	K02066
NPBHCDIL_00211	K01077
NPBHCDIL_00214	K11608
NPBHCDIL_00215	K00281
NPBHCDIL_00217	K01284
NPBHCDIL_00218	K01588
NPBHCDIL_00219	K01589
NPBHCDIL_00220	K00939
NPBHCDIL_00221	K03979
NPBHCDIL_00222	K01924
NPBHCDIL_00224	K03320
NPBHCDIL_00225	K00208
NPBHCDIL_00226	K00648
NPBHCDIL_00228	K03630
NPBHCDIL_00230	K08723
NPBHCDIL_00234	K07478
NPBHCDIL_00236	K03218
NPBHCDIL_00242	K02950
NPBHCDIL_00243	K02992
NPBHCDIL_00244	K02355
NPBHCDIL_00245	K02946
NPBHCDIL_00246	K02906
NPBHCDIL_00247	K02926
NPBHCDIL_00248	K02892
NPBHCDIL_00249	K02886
NPBHCDIL_00250	K02965
NPBHCDIL_00251	K02890
NPBHCDIL_00252	K02982
NPBHCDIL_00253	K02878
NPBHCDIL_00255	K02961
NPBHCDIL_00256	K02874
NPBHCDIL_00257	K02895
NPBHCDIL_00258	K02931
NPBHCDIL_00259	K02954
NPBHCDIL_00260	K02994
NPBHCDIL_00261	K02933
NPBHCDIL_00262	K02881
NPBHCDIL_00265	K03525
