IGCIMHPM_00002	K00457
IGCIMHPM_00005	K00813
IGCIMHPM_00006	K01800
IGCIMHPM_00007	K01626
IGCIMHPM_00008	K11175
IGCIMHPM_00009	K01933
IGCIMHPM_00012	K10763
IGCIMHPM_00014	K00860
IGCIMHPM_00015	K00958
IGCIMHPM_00019	K03296
IGCIMHPM_00020	K01962
IGCIMHPM_00021	K04075
IGCIMHPM_00023	K00059
IGCIMHPM_00025	K04760
IGCIMHPM_00027	K09791
IGCIMHPM_00028	K02503
IGCIMHPM_00029	K01872
IGCIMHPM_00030	K03640
IGCIMHPM_00031	K03641
IGCIMHPM_00033	K03560
IGCIMHPM_00034	K03562
IGCIMHPM_00035	K07107
IGCIMHPM_00036	K03551
IGCIMHPM_00037	K03550
IGCIMHPM_00038	K01159
IGCIMHPM_00039	K01876
IGCIMHPM_00042	K01881
IGCIMHPM_00045	K08997
IGCIMHPM_00046	K04751
IGCIMHPM_00048	K20862
IGCIMHPM_00049	K03733
IGCIMHPM_00051	K01778
IGCIMHPM_00052	K01586
IGCIMHPM_00054	K01755
IGCIMHPM_00056	K02477
IGCIMHPM_00057	K01749
IGCIMHPM_00061	K09913
IGCIMHPM_00062	K05592
IGCIMHPM_00063	K18979
IGCIMHPM_00064	K06925
IGCIMHPM_00065	K01448
IGCIMHPM_00066	K03572
IGCIMHPM_00067	K00791
IGCIMHPM_00068	K03666
IGCIMHPM_00069	K03665
IGCIMHPM_00070	K04088
IGCIMHPM_00071	K04087
IGCIMHPM_00073	K02502
IGCIMHPM_00074	K01939
IGCIMHPM_00077	K03182
IGCIMHPM_00078	K03628
IGCIMHPM_00080	K03671
IGCIMHPM_00084	K03773
IGCIMHPM_00085	K16482
IGCIMHPM_00086	K07740
IGCIMHPM_00089	K01919
IGCIMHPM_00094	K01945
IGCIMHPM_00095	K00602
IGCIMHPM_00096	K00259
IGCIMHPM_00098	K00059
IGCIMHPM_00099	K00059
IGCIMHPM_00101	K02666
IGCIMHPM_00102	K00891
IGCIMHPM_00103	K01735
IGCIMHPM_00104	K03112
IGCIMHPM_00105	K00265
IGCIMHPM_00106	K00266
IGCIMHPM_00107	K01599
IGCIMHPM_00108	K00640
IGCIMHPM_00110	K00661
IGCIMHPM_00111	K02486
IGCIMHPM_00113	K01652
IGCIMHPM_00114	K03801
IGCIMHPM_00116	K07258
IGCIMHPM_00117	K03642
IGCIMHPM_00118	K08305
IGCIMHPM_00119	K05837
IGCIMHPM_00120	K05515
IGCIMHPM_00121	K00783
IGCIMHPM_00122	K09710
IGCIMHPM_00123	K00969
IGCIMHPM_00124	K00147
IGCIMHPM_00126	K01791
IGCIMHPM_00128	K02851
IGCIMHPM_00130	K03215
IGCIMHPM_00131	K03639
IGCIMHPM_00133	K14445
IGCIMHPM_00134	K03386
IGCIMHPM_00135	K03580
IGCIMHPM_00136	K01623
IGCIMHPM_00137	K00615
IGCIMHPM_00138	K00134
IGCIMHPM_00139	K00927
IGCIMHPM_00141	K01495
IGCIMHPM_00142	K01807
IGCIMHPM_00143	K01934
IGCIMHPM_00148	K09808
IGCIMHPM_00149	K09810
IGCIMHPM_00150	K09808
IGCIMHPM_00151	K02238
IGCIMHPM_00152	K03561
IGCIMHPM_00154	K00912
IGCIMHPM_00155	K00979
IGCIMHPM_00156	K01104
IGCIMHPM_00157	K00075
IGCIMHPM_00158	K09773
IGCIMHPM_00159	K01007
IGCIMHPM_00160	K00507
IGCIMHPM_00162	K02453
IGCIMHPM_00163	K11962
IGCIMHPM_00164	K11961
IGCIMHPM_00165	K11960
IGCIMHPM_00166	K11959
IGCIMHPM_00167	K11527
IGCIMHPM_00168	K11527
IGCIMHPM_00170	K00111
IGCIMHPM_00171	K01874
IGCIMHPM_00172	K03617
IGCIMHPM_00173	K03616
IGCIMHPM_00174	K03615
IGCIMHPM_00175	K03614
IGCIMHPM_00176	K03612
IGCIMHPM_00177	K03613
IGCIMHPM_00182	K01649
IGCIMHPM_00183	K03719
IGCIMHPM_00184	K02523
IGCIMHPM_00187	K09024
IGCIMHPM_00188	K01676
IGCIMHPM_00191	K04077
IGCIMHPM_00192	K04078
IGCIMHPM_00194	K03797
IGCIMHPM_00195	K00383
IGCIMHPM_00197	K02302
IGCIMHPM_00198	K01875
IGCIMHPM_00199	K06199
IGCIMHPM_00200	K07478
IGCIMHPM_00202	K03466
IGCIMHPM_00203	K03574
IGCIMHPM_00204	K00620
IGCIMHPM_00205	K03070
IGCIMHPM_00207	K02535
IGCIMHPM_00208	K03531
IGCIMHPM_00209	K03590
IGCIMHPM_00213	K03070
IGCIMHPM_00217	K06173
IGCIMHPM_00218	K01817
IGCIMHPM_00219	K01696
IGCIMHPM_00220	K01695
IGCIMHPM_00221	K01963
IGCIMHPM_00222	K11754
IGCIMHPM_00224	K03558
IGCIMHPM_00225	K00764
IGCIMHPM_00226	K10764
IGCIMHPM_00230	K12663
IGCIMHPM_00233	K00209
IGCIMHPM_00234	K16639
IGCIMHPM_00235	K07461
IGCIMHPM_00237	K02486
IGCIMHPM_00238	K02485
IGCIMHPM_00239	K01768
IGCIMHPM_00240	K07376
IGCIMHPM_00241	K03601
IGCIMHPM_00242	K00088
IGCIMHPM_00243	K01951
IGCIMHPM_00246	K05349
IGCIMHPM_00251	K07178
IGCIMHPM_00254	K00567
IGCIMHPM_00255	K01990
IGCIMHPM_00256	K01992
IGCIMHPM_00257	K08139
IGCIMHPM_00262	K08300
IGCIMHPM_00263	K06179
IGCIMHPM_00264	K01091
IGCIMHPM_00265	K04773
IGCIMHPM_00266	K07640
IGCIMHPM_00267	K02483
IGCIMHPM_00270	K02911
IGCIMHPM_00271	K03621
IGCIMHPM_00272	K00645
IGCIMHPM_00273	K00059
IGCIMHPM_00274	K02078
IGCIMHPM_00275	K09458
IGCIMHPM_00276	K02619
IGCIMHPM_00277	K00928
IGCIMHPM_00278	K14267
IGCIMHPM_00279	K00990
IGCIMHPM_00281	K01409
IGCIMHPM_00283	K02970
IGCIMHPM_00284	K09117
IGCIMHPM_00285	K02316
IGCIMHPM_00286	K03086
IGCIMHPM_00287	K01738
IGCIMHPM_00292	K06940
IGCIMHPM_00299	K00526
IGCIMHPM_00300	K00525
IGCIMHPM_00306	K00767
IGCIMHPM_00307	K02650
IGCIMHPM_00308	K02652
IGCIMHPM_00310	K01267
IGCIMHPM_00312	K06153
IGCIMHPM_00317	K16052
IGCIMHPM_00318	K10773
IGCIMHPM_00320	K03734
IGCIMHPM_00321	K00351
IGCIMHPM_00322	K00350
IGCIMHPM_00323	K03771
IGCIMHPM_00325	K07102
IGCIMHPM_00326	K00992
IGCIMHPM_00327	K11249
IGCIMHPM_00331	K01783
IGCIMHPM_00332	K01657
IGCIMHPM_00333	K01658
IGCIMHPM_00334	K00766
IGCIMHPM_00335	K01609
IGCIMHPM_00336	K10914
IGCIMHPM_00337	K07397
IGCIMHPM_00341	K08311
IGCIMHPM_00342	K08484
IGCIMHPM_00343	K07090
IGCIMHPM_00344	K13292
IGCIMHPM_00345	K00560
IGCIMHPM_00347	K03561
IGCIMHPM_00348	K03561
IGCIMHPM_00349	K03559
IGCIMHPM_00352	K03320
IGCIMHPM_00353	K15507
IGCIMHPM_00355	K03314
IGCIMHPM_00356	K02517
IGCIMHPM_00357	K03208
IGCIMHPM_00362	K14441
IGCIMHPM_00363	K09761
IGCIMHPM_00364	K07304
IGCIMHPM_00365	K06133
IGCIMHPM_00368	K03806
IGCIMHPM_00371	K03719
IGCIMHPM_00372	K01104
IGCIMHPM_00373	K03111
IGCIMHPM_00374	K03701
IGCIMHPM_00376	K02879
IGCIMHPM_00377	K03040
IGCIMHPM_00378	K02986
IGCIMHPM_00379	K02948
IGCIMHPM_00380	K02952
IGCIMHPM_00381	K02919
IGCIMHPM_00382	K03076
IGCIMHPM_00383	K02876
IGCIMHPM_00384	K02907
IGCIMHPM_00385	K02988
IGCIMHPM_00386	K02881
IGCIMHPM_00387	K02933
IGCIMHPM_00388	K02994
IGCIMHPM_00389	K02954
IGCIMHPM_00390	K02931
IGCIMHPM_00391	K02895
IGCIMHPM_00392	K02874
IGCIMHPM_00393	K02961
IGCIMHPM_00394	K02904
IGCIMHPM_00395	K02878
IGCIMHPM_00396	K02982
IGCIMHPM_00397	K02890
IGCIMHPM_00398	K02965
IGCIMHPM_00399	K02886
IGCIMHPM_00400	K02892
IGCIMHPM_00401	K02926
IGCIMHPM_00402	K02906
IGCIMHPM_00403	K02946
IGCIMHPM_00405	K02355
IGCIMHPM_00407	K07511
IGCIMHPM_00409	K00639
IGCIMHPM_00412	K01637
IGCIMHPM_00414	K01392
IGCIMHPM_00415	K15580
IGCIMHPM_00416	K15581
IGCIMHPM_00417	K15582
IGCIMHPM_00418	K02031
IGCIMHPM_00421	K01768
IGCIMHPM_00422	K00833
IGCIMHPM_00423	K10716
IGCIMHPM_00424	K00839
IGCIMHPM_00427	K07560
IGCIMHPM_00428	K06207
IGCIMHPM_00429	K03308
IGCIMHPM_00431	K00528
IGCIMHPM_00432	K05541
IGCIMHPM_00433	K16092
IGCIMHPM_00439	K02495
IGCIMHPM_00440	K00974
IGCIMHPM_00441	K01525
IGCIMHPM_00442	K06195
IGCIMHPM_00443	K02528
IGCIMHPM_00444	K00097
IGCIMHPM_00446	K07462
IGCIMHPM_00447	K01733
IGCIMHPM_00448	K00003
IGCIMHPM_00449	K03981
IGCIMHPM_00450	K04763
IGCIMHPM_00454	K01092
IGCIMHPM_00455	K15396
IGCIMHPM_00456	K13643
IGCIMHPM_00457	K04487
IGCIMHPM_00458	K22068
IGCIMHPM_00459	K13628
IGCIMHPM_00460	K04082
IGCIMHPM_00461	K04044
IGCIMHPM_00462	K04755
IGCIMHPM_00464	K19166
IGCIMHPM_00465	K18831
IGCIMHPM_00467	K03526
IGCIMHPM_00468	K00940
IGCIMHPM_00469	K06941
IGCIMHPM_00472	K01892
IGCIMHPM_00475	K03977
IGCIMHPM_00476	K19302
IGCIMHPM_00477	K06194
IGCIMHPM_00478	K03087
IGCIMHPM_00480	K03797
IGCIMHPM_00481	K22719
IGCIMHPM_00483	K03676
IGCIMHPM_00484	K03071
IGCIMHPM_00485	K03656
IGCIMHPM_00487	K07391
IGCIMHPM_00489	K04751
IGCIMHPM_00490	K03320
IGCIMHPM_00492	K00033
IGCIMHPM_00495	K16092
IGCIMHPM_00499	K12343
IGCIMHPM_00501	K03704
IGCIMHPM_00503	K03386
IGCIMHPM_00504	K03664
IGCIMHPM_00506	K09801
IGCIMHPM_00508	K03711
IGCIMHPM_00509	K03631
IGCIMHPM_00510	K03687
IGCIMHPM_00511	K04043
IGCIMHPM_00512	K03686
IGCIMHPM_00513	K00215
IGCIMHPM_00514	K01956
IGCIMHPM_00515	K01955
IGCIMHPM_00516	K03624
IGCIMHPM_00517	K06168
IGCIMHPM_00520	K06217
IGCIMHPM_00521	K07042
IGCIMHPM_00522	K06189
IGCIMHPM_00523	K03820
IGCIMHPM_00525	K09798
IGCIMHPM_00529	K00789
IGCIMHPM_00530	K06287
IGCIMHPM_00532	K13010
